C1,C2,C3,C4,C5,C6,C7,C8,time
-5.686343089489891,-4.1229387990568185,-4.375068089129601,-4.215278917231754,-4.865113942472959,-6.466598126680432,-4.068910171483513,-3.851474889421474,10
-5.625218505862146,-4.129178629362484,-4.386602293274445,-4.2358866592360265,-4.919235564080336,-6.334794893121279,-4.073894910832564,-3.852299730539182,11
-5.541172203373997,-4.137758396032775,-4.4024618239736055,-4.264222304491901,-4.993652793790478,-6.153565446977444,-4.080748927437508,-3.8534338870760365,12
-5.439934611740544,-4.148093114976535,-4.421565349588502,-4.298353877186477,-5.083291729577694,-5.935266341395097,-4.089004901984371,-3.85480003017725,13
-5.32723616067689,-4.159597802102608,-4.442831538480559,-4.336349401506854,-5.183078469416294,-5.69225412952041,-4.0981955151591825,-3.8563208309880377,14
-5.208807279898133,-4.171687473319836,-4.465179059011193,-4.376276901640132,-5.287939111280586,-5.436885364499551,-4.107853447647966,-3.8579189606536115,15
-5.090378399119377,-4.183777144537064,-4.487526579541829,-4.41620440177341,-5.392799753144877,-5.181516599478693,-4.117511380136751,-3.8595170903191853,16
-4.977679948055722,-4.195281831663137,-4.508792768433885,-4.4541999260937875,-5.492586492983478,-4.938504387604006,-4.126701993311562,-3.861037891129973,17
-4.87644235642227,-4.205616550606897,-4.527896294048783,-4.488331498788364,-5.582225428770696,-4.720205282021659,-4.134957967858425,-3.862404034231187,18
-4.792396053934121,-4.214196317277188,-4.543755824747944,-4.516667144044239,-5.656642658480838,-4.5389758358778245,-4.141811984463368,-3.863538190768041,19
-4.731271470306376,-4.220436147582854,-4.555290028892787,-4.53727488604851,-5.710764280088213,-4.407172602318671,-4.146796723812419,-3.8643630318857483,20
-4.688030252420757,-4.2263055235731395,-4.564130815786138,-4.552552231839147,-5.743345545846938,-4.3083288238208945,-4.149881998359352,-3.864412356669046,21
-4.653445814650347,-4.234050814825872,-4.572626664388619,-4.5662247063788595,-5.757321372531202,-4.217524789517221,-4.151421068687042,-3.8633279833019887,22
-4.626966237947284,-4.243502368542765,-4.58077109754835,-4.578352360741857,-5.753887354895423,-4.134437622537875,-4.151521787675159,-3.861194611578766,23
-4.608039603263711,-4.254490531925533,-4.588557638113452,-4.588995246002351,-5.734239087694025,-4.0587444460130735,-4.1502920082033725,-3.85809694129357,24
-4.596113991551769,-4.266845652175889,-4.595979808932043,-4.598213413234553,-5.699572165681427,-3.990122383073039,-4.147839583151354,-3.8541196722405897,25
-4.590637483763598,-4.280398076495549,-4.603031132852243,-4.606066913512672,-5.651082183612049,-3.928248556847989,-4.144272365398774,-3.8493475042140135,26
-4.5910581608513406,-4.2949781520862285,-4.609705132722175,-4.612615797910924,-5.589964736240314,-3.8728000904681483,-4.139698207825303,-3.8438651370080352,27
-4.596824103767135,-4.310416226149641,-4.615995331389957,-4.617920117503515,-5.517415418320642,-3.8234541070637347,-4.134224963310611,-3.837757270416843,28
-4.607383393463126,-4.326542645887501,-4.621895251703709,-4.622039923364659,-5.434629824607451,-3.7798877297649685,-4.127960484734369,-3.8311086042346263,29
-4.62218411089145,-4.3431877585015215,-4.627398416511553,-4.625035266568565,-5.342803549855166,-3.741778081702072,-4.121012624976246,-3.824003838255577,30
-4.640674337004251,-4.360181911193419,-4.632498348661605,-4.626966198189447,-5.243132188818204,-3.708802286005264,-4.113489236915915,-3.816527672273885,31
-4.662302152753669,-4.377355451164908,-4.637188571001988,-4.627892769301513,-5.136811336250986,-3.6806374658047654,-4.105498173433043,-3.8087648060837394,32
-4.686515639091846,-4.394538725617704,-4.6414626063808235,-4.627875030978978,-5.025036586907937,-3.6569607442307985,-4.097147287407305,-3.800799939479332,33
-4.7127628769709204,-4.411562081753519,-4.645313977646228,-4.626973034296049,-4.909003535543473,-3.6374492444135815,-4.088544431718368,-3.792717772254852,34
-4.7404919473430365,-4.428255866774068,-4.648736207646324,-4.62524683032694,-4.789907776912017,-3.6217800894833365,-4.079797459245904,-3.78460300420449,35
-4.7691509311603335,-4.444450427881066,-4.651722819229231,-4.622756470145862,-4.6689449057679875,-3.6096304025702834,-4.071014222869582,-3.7765403351224363,36
-4.798187909374952,-4.459976112276229,-4.654267335243069,-4.619562004827023,-4.547310516865808,-3.6006773068046427,-4.062302575469076,-3.7686144648028805,37
-4.827050962939033,-4.4746632671612705,-4.656363278535956,-4.615723485444638,-4.426200204959898,-3.5945979253166347,-4.053770369924051,-3.760910093040014,38
-4.855188172804718,-4.488342239737904,-4.658004171956016,-4.6113009630729165,-4.306809564804678,-3.5910693812364802,-4.045525459114183,-3.7535119196280253,39
-4.8820476199241485,-4.500843377207845,-4.659183538351367,-4.606354488786069,-4.1903341911545695,-3.5897687976943997,-4.0376756959191376,-3.7465046443611056,40
-4.9070773852494645,-4.511997026772808,-4.659894900570128,-4.600944113658309,-4.077969678763992,-3.590373297820614,-4.030328933218589,-3.739972967033446,41
-4.929725549732807,-4.521633535634507,-4.660131781460422,-4.595129888763845,-3.970911622387366,-3.592560004745344,-4.023593023892206,-3.734001587439235,42
-4.949440194326316,-4.529583250994657,-4.659887703870366,-4.588971865176888,-3.870355616779113,-3.5960060415988084,-4.017575820819659,-3.728675205372664,43
-4.9656693999821355,-4.535676520054973,-4.6591561906480825,-4.582530093971652,-3.777497256693654,-3.60038853151123,-4.01238517688062,-3.7240785206279234,44
-4.977861247652403,-4.539743690017169,-4.657930764641689,-4.575864626222346,-3.6935321368854104,-3.605384597612828,-4.008128944954758,-3.720296232999202,45
-4.985463818289262,-4.541615108082958,-4.656204948699307,-4.569035513003181,-3.6196558521088016,-3.610671363033823,-4.004914977921743,-3.7174130422806915,46
-4.987925192844853,-4.541121121454058,-4.653972265669057,-4.562102805388369,-3.557063997118247,-3.6159259509044355,-4.002851128661247,-3.715513648266581,47
-4.984693452271315,-4.53809207733218,-4.651226238399059,-4.55512655445212,-3.506952166668169,-3.6208254843548873,-4.002045250052938,-3.714682750751061,48
-4.97521667752079,-4.53235832291904,-4.647960389737432,-4.548166811268648,-3.4705159555129894,-3.625047086515397,-4.00260519497649,-3.7150050495283233,49
-4.958942949545421,-4.523750205416355,-4.644168242532298,-4.54128362691216,-3.448950958407128,-3.6282678805161868,-4.004638816311572,-3.716565244392556,50
-4.9317399862282905,-4.509910670943451,-4.638609528459601,-4.531933530464149,-3.430139682267065,-3.631847367603994,-4.00848359869758,-3.719589349748817,51
-4.892226192796835,-4.4898079894828085,-4.630535191959845,-4.518352003506816,-3.402815273859236,-3.6370467685563557,-4.014068355594046,-3.7239820283320064,52
-4.843975681219733,-4.465260494030869,-4.620675575027984,-4.501767525865453,-3.369449287712993,-3.6433957857996924,-4.020887933110835,-3.729345952431083,53
-4.790562563465659,-4.438086517584072,-4.609761019658967,-4.48340857736534,-3.3325132783576867,-3.6504241217604227,-4.028437177357814,-3.735283794335,54
-4.735560951503282,-4.410104393138855,-4.598521867847749,-4.464503637831768,-3.294478800322669,-3.657661478864967,-4.036210934444853,-3.7413982263327163,55
-4.682544957301281,-4.383132453691664,-4.587688461589282,-4.446281187090022,-3.25781740813729,-3.6646375595397442,-4.043704050481818,-3.7472919207131876,56
-4.6350886928283295,-4.358989032238933,-4.577991142878521,-4.429969704965388,-3.2250006563309035,-3.6708820662111736,-4.050411371578576,-3.7525675497653705,57
-4.5967662700531,-4.339492461777104,-4.570160253710416,-4.416797671283151,-3.1985000994328576,-3.675924701305675,-4.055827743844996,-3.756827785778222,58
-4.571151800944267,-4.326461075302617,-4.5649261360799205,-4.407993565868599,-3.1807872919725066,-3.6792951672496694,-4.059448013390946,-3.759675301040698,59
-4.561819397470507,-4.321713205811912,-4.563019131981989,-4.404785868547019,-3.1743337884792004,-3.6805231664695737,-4.060767026326292,-3.760712767841755,60
-4.549001018404077,-4.318716909092362,-4.565067089356435,-4.381057931123435,-3.1763232038752927,-3.682305141069555,-4.0606428052949965,-3.761482996117217,61
-4.5142082752237664,-4.310584103710723,-4.57062583080136,-4.316653529545135,-3.181723045664685,-3.687141929269503,-4.060305633924339,-3.763573615722042,62
-4.4629347589580455,-4.298598916832519,-4.578817660299145,-4.2217417798508,-3.1896807072490527,-3.6942698276694275,-4.059808749799159,-3.7666545288238895,63
-4.400674060635386,-4.284045475623273,-4.58876488183217,-4.106491798079108,-3.1993435820300715,-3.702925132869336,-4.059205390504299,-3.7703956375904193,64
