C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-1.4671701674012416,-6.742226672786193,-7.000000000000002,-6.820536221165549,-6.591681899968463,-6.828151115190797,-6.89344967141998,-6.938392654875293,-6.753154884759081,-1.8327562221228708,-6.9371876774079375,-7.000000000000005,-7.000000000000003,-7.000000000000006,-6.883797230599399,-7,-1.5590859022909758,-0.6101536125700382,10
-1.6044398674302256,-6.652035179497552,-6.833741145540098,-6.699724452111998,-6.456142729406712,-6.682180470179502,-6.751446478885271,-6.779395333431758,-6.638794634363362,-1.971718906692361,-6.769338844884919,-6.805983158545503,-6.804804442007598,-6.838032966280503,-6.682313390004209,-6.799708435764166,-1.7271864958287204,-0.9040088698932383,11
-1.7931857049700783,-6.5280218762256705,-6.605135220657731,-6.533608269663366,-6.269776369884306,-6.481470833288972,-6.556192089150047,-6.5607740164469,-6.48154929006925,-2.1627925979754097,-6.538546700165767,-6.539210001545564,-6.536410549768042,-6.615328294916186,-6.405273109185819,-6.5243075349398945,-1.958324811943119,-1.3080598487126378,12
-2.0205386456430827,-6.378642215466358,-6.329768992958513,-6.333513777168421,-6.045289618641405,-6.239706952489013,-6.3209993015144335,-6.297434702806048,-6.292140125351339,-2.3929495442936277,-6.2605470712995155,-6.217869607886545,-6.21311790684312,-6.347070395318256,-6.071565498200024,-6.192574631674294,-2.2367414199900084,-1.794757618654188,13
-2.2736296550715216,-6.212351649715426,-6.0232292300480665,-6.110767077975938,-5.795389272918178,-5.970573575749438,-6.0591809152785645,-6.004283391394536,-6.081288413684233,-2.6491619939686246,-5.951075786335198,-5.860151056454806,-5.853226096794624,-6.0484436768979215,-5.70007966710263,-5.823287060114476,-2.5466768893252247,-2.336553249343837,14
-2.539589698877678,-6.037605631468683,-5.701102699532003,-5.876694275434683,-5.532782129954787,-5.687755451040053,-5.784049729742565,-5.696226081097692,-5.859715428542527,-2.9184021953220123,-5.625868673321849,-5.484243426136709,-5.47503470318434,-5.734632549066382,-5.309704725949434,-5.435222154407547,-2.872371789304605,-2.905897810407538,15
-2.805549742683834,-5.86285961322194,-5.378976169015939,-5.642621472893428,-5.270174986991394,-5.404937326330668,-5.508918544206566,-5.388168770800848,-5.638142443400822,-3.1876423966753995,-5.300661560308498,-5.108335795818611,-5.096843309574055,-5.420821421234843,-4.919329784796236,-5.047157248700619,-3.1980666892839853,-3.4752423714712384,16
-3.0586407521122734,-5.69656904747101,-5.072436406105491,-5.419874773700943,-5.020274641268167,-5.135803949591092,-5.247100157970695,-5.095017459389337,-5.427290731733716,-3.4438548463503973,-4.99119027534418,-4.7506172443868735,-4.736951499525558,-5.122194702814507,-4.54784395369884,-4.6778696771408,-3.5080021586192025,-4.017038002160889,17
-3.285993692785278,-5.547189386711698,-4.797070178406275,-5.219780281206,-4.795787890025268,-4.894040068791136,-5.011907370335083,-4.831678145748487,-5.2378815670158065,-3.674011792668615,-4.71319064647793,-4.429276850727855,-4.413658856600638,-4.85393680321658,-4.214136342713044,-4.3461367738752,-3.7864187666660922,-4.503735772102438,18
-3.4747395303251305,-5.423176083439816,-4.568464253523908,-5.053664098757367,-4.6094215305028605,-4.693330431900605,-4.816652980599858,-4.613056828763629,-5.080636222721694,-3.865085483951663,-4.4823985017587775,-4.162503693727915,-4.145264964361082,-4.631232131852261,-3.9370960618946484,-4.0707358730509275,-4.017557082780491,-4.9077867509218365,19
-3.612009230354114,-5.332984590151174,-4.4022053990640035,-4.932852329703817,-4.47388235994111,-4.547359786889309,-4.674649788065149,-4.454059507320095,-4.966275972325974,-4.0040481685211535,-4.314549669235759,-3.968486852273413,-3.9500694063686765,-4.469265098132758,-3.735612221299454,-3.8704443088150935,-4.185657676318235,-5.201642008245037,20
-3.7121018846690856,-5.266752716177677,-4.2792404660982255,-4.84643352969664,-4.374118678301722,-4.440335818712132,-4.5688725402500054,-4.337791631928169,-4.890642964022938,-4.10457019113686,-4.191204986517425,-3.8267499547952637,-3.8069735907854394,-4.35154483684384,-3.5885164053004437,-3.72393644154221,-4.308006944579154,-5.4206449925557445,21
-3.7983808036560043,-5.208652889816717,-4.169707374068724,-4.775373633603562,-4.286213768781946,-4.346842653546882,-4.473201133006421,-4.236884120149062,-4.841184189344734,-4.1895678131387255,-4.082912981709786,-3.704019278847536,-3.682065321191868,-4.250797122986723,-3.4613485883898285,-3.596731336322698,-4.413024248939627,-5.619082250774106,22
-3.8715732808208037,-5.158192492012339,-4.07297949313685,-4.718814813597997,-4.2095769034752655,-4.266129701197765,-4.387306088133936,-4.150531171444499,-4.8160281867727495,-4.2598821577186134,-3.9888910186080535,-3.59928787700132,-3.5744237742774705,-4.1660313262957676,-3.3530604658022507,-3.4878733843775276,-4.5016496048703125,-5.797819500180732,23
-3.932406609669421,-5.114878903708587,-3.9884301934639512,-4.6758992418533625,-4.143617354475161,-4.197446371468985,-4.310857927432094,-4.077926985276205,-4.813303494788373,-4.316354348068388,-3.908356461007442,-3.511548801827707,-3.483128126731757,-4.096256816505338,-3.262603732772353,-3.3964069769276692,-4.574823027841876,-5.957722458056239,24
