C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,time
-4.233585083700621,-6.74222667278619,-7.000000000000002,-6.591681899968464,-6.874546184316973,-6.8281511151907965,-6.938392654875288,-6.7860675667912105,-1.8327562221228708,-6.9371876774079455,-7.0000000000000036,-7,-7.000000000000002,-6.883161888491833,-1.5590859022909755,-0.6101536125700382,10
-4.238391233953994,-6.652035179497549,-6.833741145540098,-6.4561427294067135,-6.7380370645366385,-6.682180470179501,-6.779395333431753,-6.666883984484592,-1.971718906692361,-6.769338844884926,-6.805460678950552,-6.838032966280497,-6.7985017168737825,-6.682017677034514,-1.7271864958287202,-0.9040088698932383,11
-4.24499969055238,-6.528021876225668,-6.605135220657731,-6.2697763698843065,-6.550337024838679,-6.481470833288972,-6.560774016446894,-6.503006558812992,-2.1627925979754097,-6.538546700165774,-6.537969112507556,-6.61532829491618,-6.5214415775752315,-6.405444386280697,-1.9583248119431187,-1.3080598487126378,12
-4.252959876909528,-6.378642215466355,-6.329768992958513,-6.045289618641406,-6.3242437952025,-6.239706952489014,-6.29743470280604,-6.3056087506176555,-2.3929495442936277,-6.260547071299522,-6.2157633620194,-6.3470703953182515,-6.18771004614743,-6.0722992860545055,-2.236741419990008,-1.794757618654188,13
-4.261821216439182,-6.212351649715424,-6.0232292300480665,-5.795389272918178,-6.072555105607511,-5.970573575749438,-6.004283391394526,-6.0858640207398285,-2.6491619939686246,-5.9510757863352035,-5.857081488834474,-6.048443676897918,-5.816197586633464,-5.701439646180065,-2.5466768893252243,-2.336553249343837,14
-4.271133132555091,-6.037605631468681,-5.701102699532003,-5.532782129954786,-5.808068686033113,-5.687755451040054,-5.696226081097678,-5.854945830020755,-2.9184021953220123,-5.625868673321852,-5.48016155430116,-5.73463254906638,-5.425794663076413,-5.311722736481499,-2.8723717893046046,-2.905897810407538,15
-4.280445048671,-5.862859613221938,-5.378976169015939,-5.270174986991394,-5.543582266458717,-5.4049373263306695,-5.388168770800831,-5.624027639301683,-3.1876423966753995,-5.300661560308501,-5.1032416197678465,-5.420821421234842,-5.035391739519364,-4.922005826782934,-3.198066689283985,-3.4752423714712384,16
-4.2893063882006555,-5.696569047471007,-5.072436406105491,-5.020274641268166,-5.2918935768637265,-5.135803949591095,-5.095017459389315,-5.404282909423855,-3.4438548463503973,-4.991190275344182,-4.74455974658292,-5.122194702814507,-4.663879280005396,-4.551146186908492,-3.5080021586192016,-4.017038002160889,17
-4.297266574557802,-5.547189386711696,-4.797070178406275,-4.795787890025267,-5.065800347227549,-4.894040068791138,-4.831678145748462,-5.206885101228519,-3.674011792668615,-4.713190646477931,-4.422353996094766,-4.853936803216581,-4.3301477485775965,-4.218001086682302,-3.786418766666091,-4.503735772102438,18
-4.303875031156188,-5.423176083439813,-4.568464253523908,-4.609421530502859,-4.878100307529589,-4.693330431900607,-4.613056828763603,-5.043007675556918,-3.865085483951663,-4.482398501758778,-4.15486242965177,-4.631232131852264,-4.053087609279045,-3.9414277959284845,-4.017557082780489,-4.9077867509218365,19
-4.308681181409561,-5.332984590151172,-4.4022053990640035,-4.473882359941109,-4.741591187749255,-4.547359786889312,-4.454059507320068,-4.9238240932503,-4.0040481685211535,-4.314549669235759,-3.960323108602317,-4.469265098132761,-3.8515893261528253,-3.7402835844711655,-4.185657676318233,-5.201642008245037,20
-4.313609881311583,-5.266752716177675,-4.2792404660982255,-4.374118678301719,-4.640832796773214,-4.440335818712135,-4.337791631928141,-4.844856321431425,-4.10457019113686,-4.191204986517425,-3.8176643852287797,-4.351544836843843,-3.704166361940536,-3.593442140068041,-4.3080069445791525,-5.4206449925557445,21
-4.32072633338037,-5.208652889816716,-4.169707374068724,-4.286213768781944,-4.551542151679762,-4.346842653546885,-4.236884120149034,-4.7928951966331566,-4.1895678131387255,-4.082912981709786,-3.6930488120717264,-4.250797122986726,-3.576099081077847,-3.4665071082694228,-4.413024248939625,-5.619082250774106,22
-4.329790480816339,-5.158192492012338,-4.07297949313685,-4.209576903475263,-4.473252794735737,-4.266129701197768,-4.150531171444472,-4.766017483811886,-4.2598821577186134,-3.9888910186080535,-3.5855657508668406,-4.16603132629577,-3.466428300148947,-3.3584306955883574,-4.501649604870311,-5.797819500180732,23
