C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,time
-5.9060128097576685,-7.000000000000002,-6.591681899968464,-6.828151115190796,-6.9263122503033845,-6.786067566791211,-1.8327562221228708,-6.963051574945846,-6.88038554823899,-7.000000000000001,-1.4728193304981632,10
-5.8474871976496985,-6.833741145540098,-6.4561427294067135,-6.6821804701795005,-6.771693771009358,-6.666883984484593,-1.971718906692361,-6.7961794316608914,-6.6796790221177025,-6.8380329662804975,-1.652352166198222,11
-5.76701448100124,-6.605135220657731,-6.2697763698843065,-6.481470833288971,-6.559093361980068,-6.503006558812992,-2.1627925979754097,-6.566730234644079,-6.403707548700913,-6.61532829491618,-1.8992098152858023,12
-5.670081435947414,-6.329768992958513,-6.045289618641406,-6.239706952489012,-6.30300650564933,-6.305608750617655,-2.3929495442936277,-6.290348247328371,-6.071287364812495,-6.347070395318252,-2.1965610744140247,13
-5.562174838623345,-6.0232292300480665,-5.795389272918178,-5.970573575749437,-6.017928684450962,-6.085864020739827,-2.6491619939686246,-5.982677733146737,-5.701234707276325,-6.048443676897918,-2.527574740236007,14
-5.448781465164151,-5.701102699532003,-5.532782129954787,-5.6877554510400525,-5.718355380818777,-5.854945830020753,-2.9184021953220123,-5.659362955532137,-5.312365812916279,-5.734632549066379,-2.8754196094048714,15
-5.335388091704959,-5.378976169015939,-5.270174986991394,-5.404937326330668,-5.418782077186593,-5.624027639301679,-3.1876423966753995,-5.3360481779175375,-4.92349691855623,-5.420821421234842,-3.2232644785737357,16
-5.227481494380889,-5.072436406105491,-5.020274641268166,-5.135803949591092,-5.133704255988223,-5.404282909423851,-3.4438548463503973,-5.028377663735903,-4.553444261020058,-5.122194702814507,-3.554278144395719,17
-5.130548449327064,-4.797070178406275,-4.7957878900252675,-4.894040068791136,-4.877617399657486,-5.206885101228513,-3.674011792668615,-4.751995676420196,-4.221024077131634,-4.85393680321658,-3.851629403523941,18
-5.050075732678604,-4.568464253523908,-4.60942153050286,-4.693330431900605,-4.665016990628196,-5.043007675556914,-3.865085483951663,-4.522546479403384,-3.9450526037148346,-4.631232131852263,-4.098487052611521,19
-4.9915501205706345,-4.4022053990640035,-4.4738823599411095,-4.547359786889309,-4.5103985113341665,-4.923824093250294,-4.0040481685211535,-4.355674336118429,-3.744346077593535,-4.469265098132759,-4.278019888311579,20
-4.949038437888977,-4.2792404660982255,-4.37411867830172,-4.440335818712132,-4.397161019494473,-4.844856321431419,-4.10457019113686,-4.233027560995686,-3.5978043698640625,-4.351544836843841,-4.40915585803157,21
-4.9126773710046,-4.169707374068724,-4.286213768781945,-4.346842653546882,-4.298549250377031,-4.792895196633151,-4.1895678131387255,-4.125312502824954,-3.471088690410279,-4.250797122986723,-4.522665885470032,22
-4.882058488280338,-4.07297949313685,-4.209576903475264,-4.266129701197765,-4.213827202738917,-4.766017483811881,-4.2598821577186134,-4.031760476578357,-3.3631572842373623,-4.1660313262957684,-4.619483231716713,23
-4.856773358079026,-3.9884301934639512,-4.14361735447516,-4.197446371468985,-4.142258875337213,-4.7622999479240065,-4.316354348068388,-3.951602797228022,-3.2729683963504885,-4.096256816505339,-4.7005411578613625,24
-4.836413548763503,-3.915432845211379,-4.087744393875117,-4.140042074164746,-4.083108266928997,-4.77981935392592,-4.359825507379912,-3.884070779746076,-3.199480271754838,-4.040482963349802,-4.766772924993725,25
-4.8205706286966015,-3.85336081854048,-4.041367293768614,-4.093166219089251,-4.035639376271348,-4.816652466774016,-4.391136758845049,-3.828395739104645,-3.141651155455585,-3.997719136563518,-4.81911179420355,26
-4.80883616624116,-3.8015874836126073,-4.003895326249137,-4.056068216046706,-3.9991162021213467,-4.870876051424692,-4.411129225655663,-3.7838089902758565,-3.098439292457909,-3.966974705880853,-4.858491026580586,27
-4.800801729760011,-3.759486210589108,-3.9747377634101664,-4.027997474841315,-3.9728027432360715,-4.940566872834338,-4.420644031003616,-3.749541848231837,-3.068802927766988,-3.9472590410361703,-4.885843883214579,28
-4.796058887615994,-3.7264303696313315,-3.953303877345184,-4.00820340527728,-3.9559629983726015,-5.023801695959351,-4.420522298080773,-3.7248256279447114,-3.051700306387997,-3.937581511763833,-4.902103625195278,29
-4.794199208171943,-3.701793330900629,-3.939002940147674,-3.9959354171588086,-3.9478609662880157,-5.118657285756125,-4.411605150078994,-3.708891644386609,-3.0460896733261165,-3.9369514877982055,-4.90820351361243,30
