C1,C2,C3,C4,C5,C6,C7,time
-6.86623106926417,-6.7952989468907425,-6.68903375722961,-6.977567027645701,-6.999999999999992,-6.882691368995747,-1.5028140714668885,10
-6.719629033411644,-6.64988298826222,-6.51579207993642,-6.809380486343522,-6.873804710249546,-6.6824341838395585,-1.6789660612394,11
-6.518051234114424,-6.449936045148002,-6.277584773658286,-6.578123992053026,-6.700286186842684,-6.407080554249798,-1.9211750471766027,12
-6.275241612233677,-6.20909086366951,-5.9906532456414405,-6.29956503302129,-6.4912752381935075,-6.075404591334858,-2.2129267802373245,13
-6.004944108630585,-5.940980189948172,-5.671238903132124,-5.989471097495397,-6.258602672716124,-5.706180406203134,-2.5377070113803915,14
-5.720902664166315,-5.659236770105409,-5.33558315337657,-5.663609673722425,-6.014099298824636,-5.318182109963018,-2.879001491564632,15
-5.436861219702048,-5.377493350262646,-4.999927403621016,-5.337748249949452,-5.769595924933147,-4.930183813722904,-3.2202959717488726,16
-5.166563716098954,-5.1093826765413075,-4.680513061111698,-5.027654314423558,-5.536923359455763,-4.560959628591185,-3.54507620289194,17
-4.923754094218209,-4.868537495062817,-4.393581533094855,-4.749095355391824,-5.327912410806588,-4.229283665676255,-3.836827935952662,18
-4.722176294920987,-4.668590551948598,-4.155374226816718,-4.5178388611013265,-5.154393887399725,-3.9539300360865064,-4.079036921889864,19
-4.575574259068461,-4.523174593320076,-3.982132549523529,-4.349652319799148,-5.028198597649279,-3.753672850930332,-4.255188911662375,20
-4.469159060276634,-4.416813205753438,-3.854970671009993,-4.226564268813279,-4.940459201425498,-3.607459545838264,-4.383773719123676,21
-4.378407833191167,-4.324447202689978,-3.7436510593571737,-4.119524453793212,-4.87345126737424,-3.481028149200044,-4.494907712775755,22
-4.302463610217724,-4.245335170548778,-3.6473875692408377,-4.027682175468271,-4.82571996707302,-3.37333866126288,-4.589516475550203,23
-4.240469423761971,-4.17873569574892,-3.5653940553367516,-3.9501867345677786,-4.795810472099353,-3.283351082273979,-4.668525590378612,24
-4.191568306229577,-4.123907364709487,-3.4968843723206833,-3.886187431821064,-4.782267954030756,-3.210025412480552,-4.732860640192572,25
-4.154903290026201,-4.080108763849557,-3.441072374868399,-3.8348335679574466,-4.783637584444742,-3.152321652129804,-4.783447207923673,26
-4.129617407557513,-4.0465984795882175,-3.3971719176556676,-3.795274443706256,-4.798464534918831,-3.1091998014689466,-4.821210876503507,27
-4.114853691229176,-4.022635098344547,-3.3643968553582555,-3.7666593597968143,-4.825293977030537,-3.0796198607451863,-4.847077228863664,28
-4.109755173446858,-4.007477206537628,-3.341961042651929,-3.748137616958447,-4.862671082357374,-3.0625418302057317,-4.861971847935734,29
-4.113464886616219,-4.000383390586541,-3.329078334212456,-3.738858515920478,-4.909141022476859,-3.056925710097791,-4.866820316651308,30
-4.12512586314293,-4.000612236910371,-3.3249625847156037,-3.737971357412233,-4.963248968966509,-3.061731500668573,-4.862548217941979,31
-4.143881135432653,-4.007422331928198,-3.3288276488371378,-3.7446254421630356,-5.023540093403838,-3.0759192021652852,-4.850081134739333,32
-4.168873735891055,-4.020072262059104,-3.339887381252829,-3.7579700709022132,-5.088559567366365,-3.0984488148351383,-4.8303446499749665,33
-4.199246696923801,-4.037820613722172,-3.3573556366384407,-3.7771545443590884,-5.156852562431602,-3.1282803389253377,-4.8042643465804655,34
-4.234143050936555,-4.059925973336481,-3.3804462696697426,-3.8013281632629856,-5.226964250177066,-3.1643737746830927,-4.772765807487423,35
-4.272705830334983,-4.085646927321117,-3.4083731350225004,-3.829640228343232,-5.297439802180274,-3.205689122355612,-4.736774615627429,36
-4.314078067524751,-4.11424206209516,-3.440350087372482,-3.86124004032915,-5.366824390018741,-3.251186382190105,-4.697216353932074,37
-4.357402794911524,-4.144969964077691,-3.475590981395454,-3.895276899950064,-5.433663185269981,-3.2998255544337773,-4.65501660533295,38
-4.401823044900967,-4.177089219687793,-3.5133096717671846,-3.9309001079353005,-5.496501359511513,-3.3505666393338394,-4.611100952761645,39
-4.446481849898745,-4.209858415344548,-3.55272001316344,-3.9672589650141834,-5.553884084320852,-3.4023696371374994,-4.566394979149754,40
-4.490522242310524,-4.242536137467037,-3.5930358602599872,-4.003502771916038,-5.604356531275513,-3.4541945480919645,-4.521824267428864,41
-4.53308725454197,-4.274380972474344,-3.633471067732595,-4.038780829370189,-5.646463871953011,-3.505001372444445,-4.478314400530566,42
-4.573319918998745,-4.3046515067855475,-3.6732394902570285,-4.07224243810596,-5.678751277930863,-3.5537501104421474,-4.436790961386452,43
-4.610363268086519,-4.332606326819732,-3.711554982509056,-4.103036898852676,-5.699763920786586,-3.59940076233228,-4.398179532928113,44
-4.6433603342109535,-4.3575040189959795,-3.7476313991644448,-4.130313512339664,-5.7080469720976925,-3.6409133283620534,-4.3634056980871385,45
-4.671454149777716,-4.3786031697333705,-3.780682594898961,-4.153221579296247,-5.702145603441701,-3.6772478087786733,-4.3333950397951195,46
-4.693787747192471,-4.395162365450989,-3.8099224243883723,-4.17091040045175,-5.680604986396126,-3.707364203829349,-4.309073140983647,47
-4.7095041588608835,-4.406440192567914,-3.834564742308446,-4.1825292765354964,-5.641970292538484,-3.7302225137612894,-4.291365584584311,48
-4.717746417188619,-4.41169523750323,-3.8538234033349505,-4.187227508276814,-5.584786693446291,-3.7447827388217023,-4.281197953528702,49
-4.717657554581344,-4.410186086676018,-3.8669122621436514,-4.184154396405024,-5.507599360697063,-3.7500048792577965,-4.279495830748414,50
-4.711437646434147,-4.403146497076786,-3.8802586778276438,-4.17423237676542,-5.387485785629282,-3.750287690467143,-4.2833854785801035,51
-4.702402889344424,-4.392921107804909,-3.899645077251836,-4.159820100062638,-5.213014242282653,-3.750698489231081,-4.289035404992558,52
-4.691370497521294,-4.380434828442768,-3.9233179167497196,-4.14222118931502,-4.999966076286519,-3.751200117872471,-4.295934561365557,53
-4.6791576851738785,-4.366612568572744,-3.949523652654784,-4.122739267540908,-4.76412263327022,-3.751755418714174,-4.303571899078874,54
-4.666581666511299,-4.352379237777216,-3.976508741300519,-4.102677957758644,-4.521265258863103,-3.7523272340790492,-4.3114363695122915,55
-4.6544596557426745,-4.338659745638568,-4.0025196390204165,-4.083340882986569,-4.287175298694509,-3.7528784062899576,-4.319016924045585,56
-4.643608867077127,-4.326379001739178,-4.025802802147965,-4.066031666243028,-4.077634098393784,-3.7533717776697584,-4.325802514058534,57
