C1,C2,C3,time
-6.843998785999572,-6.985724472138175,-6.8089679592092995,10
-6.6937117314138455,-6.8290506044048165,-6.614057014356884,11
-6.487067031358473,-6.613624036271449,-6.346054465184795,12
-6.238154097200863,-6.354132942838072,-6.023233212772947,13
-5.961062340308431,-6.065265499204692,-5.663866158201263,14
-5.669881172048587,-5.761709880471309,-5.286226202549657,15
-5.378700003788742,-5.458154261737927,-4.908586246898049,16
-5.101608246896309,-5.169286818104546,-4.549219192326355,17
-4.8526953127387005,-4.909795724671171,-4.226397939914495,18
-4.646050612683326,-4.694369156537803,-3.9583953907423868,19
-4.495763558097598,-4.537695288804445,-3.763484445889947,20
-4.386414431529524,-4.424529849384809,-3.621175416049747,21
-4.29263129634817,-4.329132878872455,-3.498121839669667,22
-4.21357523515253,-4.25044902138715,-3.3933114594625855,23
-4.148407330541597,-4.1874229210486655,-3.3057320181413816,24
-4.0962886651143675,-4.1389992219767695,-3.2343712584189346,25
-4.056380321469834,-4.1041225682912295,-3.178216923008123,26
-4.027843382206993,-4.081737604111818,-3.136256754621827,27
-4.009838929924839,-4.0707889735583,-3.107478495972926,28
-4.001528047222364,-4.070221320750448,-3.090869889774297,29
-4.0020718166985665,-4.078979289808029,-3.0854186787388214,30
-4.010631320952438,-4.096007524850813,-3.0901126055793773,31
-4.026367642582975,-4.120250669998569,-3.103939413008844,32
-4.048441864189172,-4.150653369371067,-3.1258868437401017,33
-4.076015068370023,-4.186160267088075,-3.154942640486028,34
-4.108248337724523,-4.225716007269361,-3.1900945459595027,35
-4.144302754851666,-4.268265234034697,-3.230330302873405,36
-4.183339402350447,-4.312752591503851,-3.2746376539406143,37
-4.224519362819862,-4.3581227237965905,-3.3220043418740093,38
-4.267003718858903,-4.403320275032686,-3.3714181093864695,39
-4.309953553066566,-4.447289889331906,-3.4218666991908737,40
-4.352529948041846,-4.4889762108140205,-3.4723378540001018,41
-4.393893986383737,-4.5273238835987994,-3.521819316527033,42
-4.433206750691234,-4.561277551806009,-3.5692988294845445,43
