C1,C2,C3,C4,time
-6.843998785999527,-7.000000000000001,-6.985724472138162,-6.8089679592093955,10
-6.693711731413802,-6.804162122499699,-6.829050604404803,-6.614057014356948,11
-6.487067031358433,-6.534885040936784,-6.613624036271436,-6.346054465184836,12
-6.238154097200827,-6.210528556326909,-6.354132942838061,-6.023233212772971,13
-5.9610623403084,-5.849452469685728,-6.065265499204683,-5.663866158201274,14
-5.669881172048561,-5.470016582028893,-5.7617098804713,-5.286226202549661,15
-5.378700003788722,-5.090580694372057,-5.458154261737918,-4.908586246898048,16
-5.101608246896294,-4.729504607730877,-5.169286818104538,-4.549219192326354,17
-4.852695312738689,-4.405148123121002,-4.909795724671165,-4.226397939914495,18
-4.646050612683318,-4.1358710415580875,-4.694369156537796,-3.9583953907423863,19
-4.4957635580975905,-3.9400331640577853,-4.5376952888044375,-3.763484445889947,20
-4.386414431529517,-3.7966305225281753,-4.424529849384802,-3.621175416049747,21
-4.292631296348165,-3.6717842196030994,-4.329132878872447,-3.498121839669667,22
-4.213575235152524,-3.5645416623868567,-4.250449021387142,-3.3933114594625855,23
-4.148407330541591,-3.4739502579837462,-4.187422921048658,-3.305732018141381,24
-4.096288665114361,-3.399057413498067,-4.1389992219767615,-3.2343712584189346,25
-4.056380321469828,-3.338910536034116,-4.1041225682912215,-3.1782169230081228,26
-4.027843382206989,-3.2925570326961955,-4.08173760411181,-3.136256754621827,27
-4.009838929924833,-3.2590443105886022,-4.070788973558293,-3.1074784959729254,28
-4.00152804722236,-3.237419776815635,-4.0702213207504405,-3.0908698897742966,29
-4.002071816698563,-3.2267308384815934,-4.0789792898080215,-3.085418678738821,30
-4.010631320952435,-3.226024902690776,-4.0960075248508065,-3.0901126055793764,31
-4.026367642582972,-3.234349376547482,-4.120250669998563,-3.103939413008843,32
-4.04844186418917,-3.250751667156011,-4.150653369371061,-3.125886843740101,33
-4.076015068370022,-3.2742791816206607,-4.18616026708807,-3.154942640486027,34
-4.108248337724521,-3.3039793270457296,-4.225716007269357,-3.190094545959502,35
-4.144302754851664,-3.338899510535519,-4.268265234034693,-3.2303303028734036,36
-4.183339402350446,-3.3780871391943252,-4.3127525915038465,-3.2746376539406135,37
-4.224519362819861,-3.4205896201264485,-4.358122723796587,-3.322004341874008,38
-4.267003718858902,-3.465454360436188,-4.403320275032683,-3.371418109386468,39
-4.309953553066566,-3.5117287672278414,-4.447289889331904,-3.4218666991908724,40
-4.352529948041846,-3.5584602476057086,-4.488976210814018,-3.4723378540001004,41
-4.393893986383738,-3.604696208674089,-4.527323883598797,-3.521819316527031,42
-4.433206750691235,-3.649484057537279,-4.561277551806008,-3.569298829484543,43
-4.469629323563332,-3.6918712012995805,-4.589781859555419,-3.6137641355855163,44
-4.502322787599025,-3.7309050470652916,-4.6117814509668005,-3.6542029775428295,45
-4.530448225397306,-3.76563300193871,-4.626220970159921,-3.689603098069362,46
-4.553166719557172,-3.7951024730241354,-4.632045061254552,-3.718952239877993,47
-4.569639352677617,-3.818360867425867,-4.628198368370458,-3.741238145681601,48
-4.579027207357636,-3.834455592248204,-4.613625535627413,-3.7554485581930668,49
-4.580491366196224,-3.8424340545954445,-4.587271207145184,-3.760571220125268,50
-4.576686426540582,-3.847369890793353,-4.542613506691216,-3.7609018936644723,51
-4.571159543391143,-3.8545394630808256,-4.477745752017205,-3.7613822150827345,52
-4.564410635826755,-3.863294267431861,-4.398535378219292,-3.761968738221621,53
-4.556939622926259,-3.8729857998204547,-4.310849820393618,-3.7626180169226933,54
-4.549246423768499,-3.8829655562206047,-4.220556513636326,-3.763286605027516,55
-4.5418309574323175,-3.89258503260631,-4.1335228930435575,-3.763931056377652,56
-4.535193142996561,-3.901195724951566,-4.055616393711453,-3.764507924814666,57
-4.529832899540071,-3.9081491292303716,-3.9927044507361558,-3.76497376418012,58
-4.526250146141692,-3.912796741416723,-3.9506544992138064,-3.76528512831558,59
-4.524944801880266,-3.9144900574846186,-3.9353339742405478,-3.7653985710626077,60
-4.520077174090214,-3.916449355217276,-3.9304080337994645,-3.7658341912328246,61
-4.506865041517214,-3.921767449063059,-3.91703762403081,-3.7670165888376985,62
-4.487394530357005,-3.929604639993688,-3.897333862266476,-3.7687590695185658,63
-4.463751766805323,-3.9391212289808806,-3.873407865838358,-3.7708749389167626,64
-4.438022877057903,-3.9494775169963536,-3.8473707520783464,-3.7731775026736227,65
-4.412293987310484,-3.9598338050118276,-3.821333638318335,-3.7754800664304833,66
-4.388651223758801,-3.969350393999019,-3.7974076418902163,-3.7775959358286797,67
-4.369180712598592,-3.9771875849296476,-3.7777038801258827,-3.7793384165095465,68
-4.355968580025592,-3.9825056787754316,-3.7643334703572284,-3.780520814114421,69
-4.35110095223554,-3.9844649765080886,-3.759407529916145,-3.780956434284638,70
-4.347861332726606,-3.986532941044259,-3.7563455019914445,-3.7814470816595613,71
-4.339068079773784,-3.9921459876424343,-3.748034283338685,-3.7827788388200676,72
-4.326109601738048,-4.000417845787114,-3.7357861716398815,-3.7847414283197613,73
-4.310374306980369,-4.010462244962797,-3.7209134645770496,-3.787124572712247,74
-4.293250603861717,-4.0213929146539815,-3.7047284598322023,-3.7897179945511277,75
-4.276126900743066,-4.032323584345166,-3.6885434550873555,-3.7923114163900093,76
-4.260391605985385,-4.042367983520849,-3.673670748024523,-3.7946945607824945,77
-4.247433127949648,-4.050639841665529,-3.6614226363257196,-3.7966571502821878,78
-4.238639874996828,-4.056252888263704,-3.65311141767296,-3.7979889074426945,79
-4.235400255487893,-4.058320852799874,-3.6500493897482595,-3.7984795548176176,80
-4.232376754952025,-4.060376147083782,-3.648899664678964,-3.801374226254224,81
-4.224170110640384,-4.065954802997246,-3.6457789823480193,-3.809231191582155,82
-4.212076108496912,-4.074175980132877,-3.641180082070837,-3.82080987732858,83
-4.197390534465554,-4.084158838083288,-3.6355957031628305,-3.834869710020669,84
-4.181409174490252,-4.0950225364410855,-3.6295185849394116,-3.8501701161855872,85
-4.165427814514949,-4.105886234798884,-3.6234414667159927,-3.8654705223505066,86
-4.1507422404835905,-4.115869092749294,-3.6178570878079856,-3.8795303550425935,87
-4.138648238340119,-4.124090269884925,-3.613258187530804,-3.8911090407890194,88
-4.130441594028477,-4.12966892579839,-3.610137505199859,-3.8989660061169507,89
-4.12741809349261,-4.1317242200822974,-3.6089877801305636,-3.901860677553557,90
-4.118693256654574,-4.130900181139934,-3.6098176412593443,-3.9075891970311147,91
-4.095011556665621,-4.128663504010659,-3.6120701214660342,-3.9231380356130585,92
-4.060112209313479,-4.125367348241203,-3.6153895659811557,-3.9460521135232898,93
-4.017734430385879,-4.121364873378292,-3.619420320035233,-3.973876350985715,94
-3.971617435670549,-4.117009238968654,-3.6238067288587867,-4.004155668224235,95
-3.9255004409552194,-4.112653604559015,-3.628193137682341,-4.034434985462756,96
-3.8831226620276182,-4.108651129696104,-3.632223891736418,-4.062259222925181,97
-3.848223314675477,-4.105354973926648,-3.6355433362515397,-4.085173300835413,98
-3.824541614686524,-4.1031182967973745,-3.6377958164582296,-4.100722139417355,99
-3.8158167778484886,-4.10229425785501,-3.63862567758701,-4.1064506588949135,100
-3.8066795286629884,-4.09736752919108,-3.6418725162944496,-4.1099279214737425,101
-3.7818784237309164,-4.083994979960412,-3.6506853642146435,-4.119366205616277,102
-3.7453294269889157,-4.064288065304691,-3.6636727190444023,-4.133275255931592,103
-3.70094850237363,-4.0403582403656015,-3.679443078480539,-4.1501648170287595,104
-3.6526516138217007,-4.014316960284827,-3.696604940219863,-4.168544633516854,105
-3.604354725269771,-3.988275680204053,-3.713766801959188,-4.186924450004948,106
-3.559973800654485,-3.964345855264963,-3.729537161395324,-4.203814011102116,107
-3.523424803912485,-3.9446389406092424,-3.7425245162250826,-4.217723061417431,108
-3.4986236989804134,-3.931266391378575,-3.751337364145277,-4.227161345559965,109
