C1,C2,C3,C4,C5,C6,C7,C8,C9,time
-6.635811117690003,-6.635035132513668,-6.923632988196087,-7,-1.0807297740569684,-6.641688385925082,-6.8026963908826525,-2.154242368224612,-6.8872948494884545,10
-6.515853272408677,-6.53438002645706,-6.770403310116327,-6.756186680317007,-1.2585210995599234,-6.500380679641156,-6.606358186614876,-2.2455715551049242,-6.680546880285045,11
-6.350911235146853,-6.395979255629226,-6.559712502756659,-6.420943365752892,-1.5029841721264858,-6.306082583500756,-6.336393155746683,-2.371149187065353,-6.396268422630355,12
-6.152231053899656,-6.22926923622297,-6.305925848437058,-6.017127555027934,-1.797451054990755,-6.072041694968,-6.011208004928175,-2.522413152835869,-6.0538420986372,13
-5.931058776662209,-6.0436863844311,-6.023408629477504,-5.567596746862417,-2.125253811386828,-5.81150561150701,-5.649209440809459,-2.690801341146444,-5.672650530418404,14
-5.69864045142964,-5.848667116446424,-5.726526128197972,-5.095208439976617,-2.469724504548803,-5.537721930581901,-5.268804170040639,-2.8677516407270485,-5.272076340086785,15
-5.466222126197069,-5.6536478484617465,-5.42964362691844,-4.622820133090818,-2.8141951977107778,-5.263938249656792,-4.8883988992718175,-3.044701940307653,-4.871502149755167,16
-5.245049848959623,-5.468064996669878,-5.147126407958885,-4.1732893249253,-3.1419979541068512,-5.0034021661958,-4.526400335153101,-3.213090128618228,-4.4903105815363675,17
-5.046369667712427,-5.301354977263623,-4.893339753639286,-3.7694735142003433,-3.43646483697112,-4.769361277663047,-4.201215184334593,-3.3643540943887444,-4.147884257543211,18
-4.8814276304506015,-5.162954206435787,-4.682648946279618,-3.434230199636228,-3.680927909537682,-4.575063181522646,-3.931250153466398,-3.489931726349173,-3.8636057998885147,19
-4.761469785169275,-5.06229910037918,-4.529419268199859,-3.1904168799532346,-3.8587192350406374,-4.433755475238719,-3.7349119491986196,-3.581260913229485,-3.6568578306851,20
-4.675720477289814,-4.990674055701486,-4.417278784023283,-3.0125608745285373,-3.9888837415145777,-4.330299823272365,-3.591611315004364,-3.6479443954021984,-3.5059303462016524,21
