C1,C2,C3,C4,C5,C6,C7,C8,time
-6.635811117690003,-6.894501648446223,-7,-6.752888542017282,-7.000000000000003,-1.0807297740569684,-2.1245972522956835,-6.858187580295474,10
-6.515853272408677,-6.74625834987531,-6.756186680317007,-6.60307062705281,-6.811901775266001,-1.2585210995599234,-2.2218818858661447,-6.655084901071017,11
-6.350911235146853,-6.542423814340305,-6.420943365752892,-6.397070993976664,-6.5532667162567515,-1.5029841721264858,-2.3556482570255284,-6.375818717137383,12
-6.152231053899656,-6.296895851082228,-6.017127555027934,-6.1489350723167595,-6.241729031541062,-1.797451054990755,-2.5167759313766047,-6.039429904671863,13
-5.931058776662209,-6.023572269342107,-5.567596746862417,-5.872708291601019,-5.894922929687748,-2.125253811386828,-2.696144474522142,-5.664959339851756,14
-5.69864045142964,-5.736350878360962,-5.095208439976617,-5.582436081357359,-5.530482619265621,-2.469724504548803,-2.8846334520649104,-5.271447898854354,15
-5.466222126197069,-5.449129487379817,-4.622820133090818,-5.292163871113699,-5.166042308843495,-2.8141951977107778,-3.073122429607679,-4.87793645785695,16
-5.245049848959623,-5.175805905639694,-4.1732893249253,-5.015937090397958,-4.819236206990181,-3.1419979541068512,-3.2524909727532165,-4.503465893036841,17
-5.046369667712427,-4.930277942381619,-3.7694735142003433,-4.767801168738054,-4.5076985222744925,-3.43646483697112,-3.4136186471042924,-4.16707708057132,18
-4.8814276304506015,-4.726443406846614,-3.434230199636228,-4.561801535661908,-4.249063463265242,-3.680927909537682,-3.547385018263676,-3.8878108966376828,19
-4.761469785169275,-4.5782001082757,-3.1904168799532346,-4.411983620697437,-4.0609652385312405,-3.8587192350406374,-3.6446696518341373,-3.6847082174132213,20
-4.675720477289814,-4.4700748113118545,-3.0125608745285373,-4.302725073716778,-3.9236818461866765,-3.9888837415145777,-3.7157528537593816,-3.5364512652771136,21
-4.6052626622739945,-4.376803464269229,-2.859090140989493,-4.208481315878073,-3.805076037277291,-4.102156436603371,-3.7773263743739594,-3.4083212168186425,22
-4.549130303177547,-4.297597651895609,-2.7287131354316605,-4.128414433638245,-3.7041591497692323,-4.199404502955031,-3.829886945866902,-3.2992573795302595,23
-4.506357363056207,-4.231668958938782,-2.6201383139505956,-4.0616865134542195,-3.6199425216286465,-4.281495123217569,-3.8739313004272447,-3.2081990609044184,24
-4.475977804965706,-4.178228970146534,-2.5320741326418577,-4.007459641782921,-3.551437490821683,-4.349295480038996,-3.9099561702440195,-3.134085568433572,25
-4.457025591961776,-4.136489270266651,-2.4632290476010024,-3.964895905081272,-3.497655395314486,-4.403672756067324,-3.9384582875062595,-3.0758562096101723,26
-4.448534687100155,-4.105661444046923,-2.412311514923589,-3.9331573898062002,-3.4576075730732048,-4.445494133950565,-3.9599343844029993,-3.032450291926674,27
-4.449539053436571,-4.084957076235135,-2.378029990705175,-3.9114061824146287,-3.430305362063986,-4.475626796336732,-3.974881193123271,-3.0028071228755286,28
-4.45907265402676,-4.0735877515790735,-2.359092931041316,-3.8988043693634817,-3.414760100252977,-4.494937925873835,-3.983795445856109,-2.985866009949189,29
-4.476169451926453,-4.070765054826525,-2.354208792027571,-3.894514037109684,-3.409983125606325,-4.504294705209886,-3.987173874790545,-2.9805662606401087,30
-4.499863410191385,-4.075700570725278,-2.362086029759498,-3.89769727211016,-3.4149857760901763,-4.504564316992896,-3.985513212115614,-2.9858471824407404,31
-4.529188491877287,-4.087605884023119,-2.3814331003326537,-3.907516160821834,-3.4287793896706797,-4.496613943870878,-3.9793101900203474,-3.0006480828435365,32
-4.563178660039896,-4.105692579467833,-2.4109584598425964,-3.923132789701633,-3.4503753043139826,-4.481310768491847,-3.9690615406937813,-3.0239082693409514,33
-4.600867877734941,-4.129172241807209,-2.4493705643848824,-3.943709245206478,-3.478784857986231,-4.45952197350381,-3.9552639963249465,-3.054567049425436,34
-4.641290108018157,-4.1572564557890335,-2.4953778700550697,-3.968407613793295,-3.513019388653572,-4.43211474155478,-3.9384142891028766,-3.0915637305894443,35
-4.683479313945277,-4.189156806161093,-2.5476888329487166,-3.996389981919009,-3.5520902342821534,-4.399956255292769,-3.9190091512166063,-3.13383762032543,36
-4.7264694585720335,-4.224084877671174,-2.605011909161381,-4.026818436040545,-3.595008732838124,-4.363913697365789,-3.8975453148551678,-3.180328026125845,37
-4.76929450495416,-4.261252255067064,-2.666055554788619,-4.058855062614825,-3.6407862222876286,-4.3248542504218515,-3.874519512207594,-3.2299742554831408,38
-4.81098841614739,-4.299870523096549,-2.729528225925989,-4.091661948098776,-3.688434040596815,-4.283645097108969,-3.8504284754629197,-3.281715615889773,39
-4.850585155207456,-4.339151266507416,-2.794138378669048,-4.124401178949321,-3.7369635257318308,-4.241153420075153,-3.825768936810177,-3.334491414838193,40
-4.887118685190091,-4.378306070047453,-2.8585944691133536,-4.156234841623386,-3.785386015658822,-4.198246401968415,-3.8010376284383995,-3.3872409598208537,41
-4.919622969151031,-4.416546518464447,-2.921604953354466,-4.186325022577895,-3.83271284834394,-4.155791225436768,-3.7767312825366215,-3.4389035583302094,42
-4.947131970146003,-4.4530841965061825,-2.981878287487938,-4.213833808269771,-3.8779553617533273,-4.114655073128221,-3.7533466312938737,-3.488418517858711,43
-4.9686796512307465,-4.487130688920447,-3.0381229276093302,-4.237923285155942,-3.9201248938531332,-4.075705127690788,-3.731380406899192,-3.5347251458988125,44
-4.983299975460991,-4.517897580455031,-3.0890473298142,-4.2577555396933295,-3.9582327826095054,-4.039808571772481,-3.7113293415416084,-3.576762749942967,45
-4.99002690589247,-4.544596455857715,-3.1333599501981038,-4.272492658338858,-3.991290365988589,-4.00783258802131,-3.6936901674101565,-3.6134706374836263,46
-4.987894405580915,-4.566438899876292,-3.169769244856601,-4.281296727549455,-4.018308981956534,-3.9806443590852885,-3.67895961669387,-3.6437881160132437,47
-4.975936437582064,-4.582636497258547,-3.1969836698852467,-4.283329833782041,-4.0382999684794845,-3.9591110676124277,-3.667634421581781,-3.6666544930242737,48
-4.953186964951646,-4.592400832752263,-3.2137116813796007,-4.277754063493543,-4.0502746635235916,-3.9440998962507394,-3.6602113142629245,-3.681009076009167,49
-4.918679950745397,-4.594943491105233,-3.2186617354352194,-4.263731503140886,-4.0532444050550005,-3.936478027648236,-3.6571870269263327,-3.685791172460378,50
-4.862910268432174,-4.593120041242209,-3.216785603596188,-4.238351897079125,-4.050693068801372,-3.9314937534621053,-3.6562837859960453,-3.685301108411183,51
-4.781901751787419,-4.590471380492267,-3.2140604193920477,-4.201486629879925,-4.0469871132212845,-3.9242538223450247,-3.6549717790973064,-3.6845892635514024,52
-4.68298180432674,-4.587237086209675,-3.21073268189654,-4.156470248325124,-4.0424617503772575,-3.9154131024382393,-3.6533696802209574,-3.6837200258583023,53
-4.57347782956574,-4.583656735748698,-3.207048890183405,-4.1066372991965565,-4.037452192331812,-3.90562646188299,-3.6515961633578384,-3.6827577833091505,54
-4.460717231020026,-4.579969906463602,-3.2032555433263856,-4.055322329276062,-4.0322936511474685,-3.8955487688205217,-3.64976990249879,-3.681766923881212,55
-4.352027412205205,-4.576416175708655,-3.199599140399223,-4.005859885345477,-4.027321338886747,-3.885834891392078,-3.648009571634653,-3.680811835551756,56
-4.254735776636881,-4.57323512083812,-3.196326180475657,-3.9615845141866384,-4.02287046761217,-3.877139697738901,-3.646433844756269,-3.6799569062980475,57
-4.176169727830661,-4.570666319206267,-3.1936831626294304,-3.925830762581384,-4.019276249386254,-3.870118056002235,-3.6451613958544766,-3.679266524097353,58
-4.123656669302153,-4.568949348167358,-3.191916585934284,-3.901933177311551,-4.016873896271525,-3.865424834323324,-3.6443108989201183,-3.6788050769269423,59
-4.10452400456696,-4.5683237850756635,-3.1912729494639596,-3.893226305158976,-4.015998620330499,-3.8637149008434104,-3.6440010279440345,-3.6786369527640788,60
-4.067633861814513,-4.569188236482356,-3.1941131370985345,-3.888224550623369,-4.01807565939446,-3.8662655944763737,-3.6454059132614742,-3.679779713977184,61
-3.9675034743435864,-4.571534604586234,-3.201822217820952,-3.874648359741006,-4.023713336853786,-3.873188905765845,-3.6492191734088104,-3.682881494412754,62
-3.8199429033337995,-4.574992410213003,-3.213182968359251,-3.854641341598577,-4.032021493109633,-3.8833916802976973,-3.654838714678569,-3.687452539265174,63
-3.6407622099647745,-4.579191174188366,-3.226978165441472,-3.8303471052827707,-4.042109968563163,-3.8957807636578043,-3.6616624433632765,-3.6930030937288265,64
-3.4457714554161294,-4.5837604173380235,-3.2419905857956532,-3.803909259880275,-4.053088603615533,-3.9092630014320378,-3.6690882657554575,-3.699043402998095,65
-3.2507807008674825,-4.588329660487683,-3.257003006149835,-3.77747141447778,-4.064067238667903,-3.922745239206272,-3.676514088147639,-3.7050837122673643,66
-3.0716000074984575,-4.592528424463045,-3.2707982032320553,-3.753177178161973,-4.074155714121432,-3.9351343225663786,-3.683337816832346,-3.710634266731017,67
-2.9240394364886706,-4.595986230089813,-3.282158953770355,-3.7331701600195437,-4.08246387037728,-3.9453370970982307,-3.6889573581021047,-3.7152053115834365,68
-2.8239090490177445,-4.598332598193693,-3.2898680344927724,-3.7195939691371813,-4.088101547836605,-3.9522604083877018,-3.692770618249441,-3.7183070920190064,69
-2.7870189062652986,-4.5991970496003844,-3.292708222127347,-3.714592214601574,-4.090178586900567,-3.954811102020665,-3.6941755035668806,-3.7194498532321116,70
-2.7720842108184978,-4.597483868904135,-3.29380807205041,-3.7096164137871814,-4.091142694219558,-3.9521246896119946,-3.695901735445958,-3.720482797263748,71
-2.7315471803200384,-4.592833807014313,-3.296793378984437,-3.6961106687195446,-4.093759556942533,-3.9448329987884594,-3.700587221974881,-3.723286502492475,72
-2.671808398532835,-4.585981084229313,-3.3011927786766875,-3.676207465461974,-4.097615986218496,-3.9340873491537764,-3.7074921494911894,-3.727418278619021,73
