C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,time
-4.146219602612829,-4.127728783121532,-3.7452020518793745,-4.894781211026657,-4.508523503347791,-4.066057113692986,-4.38044447917344,-4.369376293103892,-5.18617853393719,-4.319184044574399,-4.069298602100944,-3.883627111866829,-4.285860385109226,-3.861273164023229,-3.6693240669054905,-6.44847087676534,-3.806059353752618,-4.192506091829595,-3.8999014403699626,-3.917284705249659,10
-4.138097841845976,-4.134822818595972,-3.7513928583873466,-4.900271902087846,-4.481951578198405,-4.198364818742924,-4.391595630429892,-4.375342323869404,-5.1422339712184835,-4.331979482693593,-4.063806637852913,-3.870672191228987,-4.306794425472433,-3.8584536984703988,-3.6716762490236414,-6.316372465819569,-3.810118889060722,-4.185959575206513,-3.8971592559900436,-3.91400413853758,11
-4.1269304207915525,-4.144577117373326,-3.7599052173358087,-4.907821602296981,-4.445415181118,-4.380287913186588,-4.406928463407512,-4.383545616171982,-5.081810197480262,-4.349573210107485,-4.056255187011873,-3.8528591753519543,-4.335578730971843,-3.854576933335257,-3.6749104994360957,-6.134737150769134,-3.8157007501093654,-4.176958114849775,-3.8933887524676556,-3.909493359308472,12
-4.113478754521452,-4.156326613627867,-3.7701587406146366,-4.916915559367075,-4.401405430089329,-4.599422549675546,-4.425397557676008,-4.393426854627361,-5.009027015477403,-4.3707656544923985,-4.0471591212260725,-3.8314025880455285,-4.370250735323402,-3.8499071935133813,-3.6788063010692764,-5.915949157640201,-3.822424355463412,-4.166115446692793,-3.888847009588414,-3.904059920691593,13
-4.0985042581075675,-4.169406241533864,-3.7815730401137104,-4.927039021011141,-4.352413443095149,-4.843364880861367,-4.44595749280509,-4.404426723851272,-4.928004227964788,-4.394357243524662,-4.037033312143766,-3.8075169531195074,-4.408847872243064,-3.8447088039003505,-3.6831431368496093,-5.672392712458937,-3.8299091236877283,-4.1540453066689835,-3.8837911071379385,-3.8980113758161994,14
-4.082768346621789,-4.183150935265592,-3.7935677277229063,-4.9376772349421945,-4.300930338118214,-5.099711059395622,-4.467562848364464,-4.415985908459451,-4.842861637697293,-4.4191484048806,-4.0263926314132075,-3.782416794383688,-4.4494075754467755,-3.8392460893917413,-3.6877004897035186,-5.416452041251506,-3.8377744733471792,-4.141361430711761,-3.8784781249018456,-3.891655277811549,15
-4.06703243513601,-4.196895628997318,-3.8055624153321017,-4.948315448873249,-4.249447233141279,-5.356057237929876,-4.489168203923837,-4.4275450930676294,-4.757719047429799,-4.443939566236537,-4.015751950682648,-3.7573166356478693,-4.489967278650487,-3.8337833748831325,-3.6922578425574275,-5.160511370044074,-3.8456398230066307,-4.128677554754537,-3.8731651426657527,-3.8852991798068977,16
-4.052057938722125,-4.209975256903316,-3.8169767148311755,-4.958438910517315,-4.200455246147098,-5.599999569115697,-4.509728139052919,-4.438544962291541,-4.6766962599171835,-4.467531155268801,-4.0056261416003425,-3.7334310007218483,-4.528564415570148,-3.8285849852701013,-3.696594678337762,-4.91695492486281,-3.8531245912309475,-4.116607414730727,-3.868109240215277,-3.879250634931504,17
-4.038606272452025,-4.221724753157857,-3.8272302381100043,-4.967532867587409,-4.156445495118428,-5.819134205604656,-4.528197233321417,-4.448426200746919,-4.603913077914325,-4.488723599653715,-3.996530075814542,-3.7119744134154233,-4.563236419921709,-3.823915245448226,-3.7004904799709455,-4.698166931733878,-3.859848196584994,-4.105764746573746,-3.863567497336036,-3.873817196314625,18
-4.027438851397601,-4.231479051935211,-3.835742597058466,-4.9750825677965445,-4.119909098038021,-6.001057300048319,-4.543530066299036,-4.456629493049497,-4.543489304176103,-4.506317327067606,-3.9889786249735004,-3.6941613975383896,-4.592020725421117,-3.820038480313084,-3.703724730383402,-4.516531616683443,-3.8654300576336365,-4.096763286217006,-3.8597969938136476,-3.869306417085517,19
