C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,time
-4.146219602612829,-4.127728783121536,-3.7452020518793745,-4.894781211026657,-4.508523503347791,-4.066057113692986,-4.38044447917344,-4.369376293103892,-5.18617853393719,-4.319184044574398,-4.082389467158936,-3.883627111866827,-4.28173575392232,-3.861273164023228,-3.67239691184696,-6.4484708767653425,-3.8476296820435105,-3.806059353752617,-4.192506091829597,-3.8624882053622938,-3.915201745319088,10
-4.138097841845976,-4.134822818595976,-3.7513928583873466,-4.900271902087846,-4.481951578198405,-4.198364818742924,-4.391595630429892,-4.375342323869404,-5.1422339712184835,-4.331979482693592,-4.074813387594225,-3.8706721912289854,-4.302144386422663,-3.858453698470398,-3.6747810774616125,-6.316372465819572,-3.8632409527704503,-3.8101188890607203,-4.185959575206515,-3.860064054478461,-3.911890014580216,11
-4.1269304207915525,-4.144577117373329,-3.7599052173358087,-4.907821602296981,-4.445415181118,-4.380287913186588,-4.406928463407512,-4.383545616171982,-5.081810197480262,-4.349573210107484,-4.064396278192747,-3.8528591753519525,-4.330206256110633,-3.8545769333352564,-3.67805930518176,-6.134737150769137,-3.884706450019993,-3.8157007501093636,-4.176958114849777,-3.856730847013191,-3.907336384814266,12
-4.113478754521452,-4.156326613627868,-3.7701587406146366,-4.916915559367075,-4.401405430089329,-4.599422549675546,-4.425397557676008,-4.393426854627361,-5.009027015477403,-4.370765654492398,-4.051848396413693,-3.8314025880455267,-4.364008053689322,-3.8499071935133804,-3.6820080794810286,-5.9159491576402035,-3.9105626171614865,-3.8224243554634105,-4.166115446692795,-3.8527158471118423,-3.9018513307780083,13
-4.0985042581075675,-4.169406241533864,-3.7815730401137104,-4.927039021011141,-4.352413443095149,-4.843364880861367,-4.44595749280509,-4.404426723851272,-4.928004227964788,-4.39435724352466,-4.037879999716256,-3.8075169531195057,-4.4016364698618275,-3.8447088039003496,-3.686403884833045,-5.6723927124589375,-3.9393458975642814,-3.829909123687728,-4.154045306668987,-3.848246318919775,-3.8957453272282123,14
-4.082768346621789,-4.18315093526559,-3.7935677277229063,-4.9376772349421945,-4.300930338118214,-5.099711059395622,-4.467562848364464,-4.415985908459451,-4.842861637697293,-4.419148404880598,-4.0232013455596265,-3.782416794383687,-4.441178195331239,-3.8392460893917404,-3.6910232057114345,-5.416452041251507,-3.969592734597727,-3.837774473347179,-4.141361430711763,-3.8435495265823487,-3.8893288489216467,15
-4.06703243513601,-4.196895628997314,-3.8055624153321017,-4.948315448873249,-4.249447233141279,-5.356057237929876,-4.489168203923837,-4.4275450930676294,-4.757719047429799,-4.443939566236536,-4.008522691402997,-3.757316635647868,-4.480719920800651,-3.833783374883131,-3.6956425265898245,-5.160511370044076,-3.999839571631173,-3.8456398230066307,-4.128677554754539,-3.838852734244923,-3.882912370615081,16
-4.052057938722125,-4.209975256903312,-3.8169767148311755,-4.958438910517315,-4.200455246147098,-5.599999569115697,-4.509728139052919,-4.438544962291541,-4.6766962599171835,-4.4675311552688,-3.99455429470556,-3.733431000721847,-4.5183483369731565,-3.828584985270101,-3.700038331941841,-4.916954924862811,-4.028622852033968,-3.8531245912309475,-4.11660741473073,-3.8343832060528555,-3.8768063670652855,17
-4.038606272452025,-4.221724753157852,-3.8272302381100043,-4.967532867587409,-4.156445495118428,-5.819134205604656,-4.528197233321417,-4.448426200746919,-4.603913077914325,-4.488723599653714,-3.9820064129265065,-3.7119744134154216,-4.552150134551849,-3.823915245448225,-3.703987106241109,-4.698166931733878,-4.054479019175462,-3.859848196584995,-4.105764746573749,-3.830368206151508,-3.8713213130290285,18
-4.027438851397601,-4.231479051935205,-3.835742597058466,-4.9750825677965445,-4.119909098038021,-6.001057300048319,-4.543530066299036,-4.456629493049497,-4.543489304176103,-4.506317327067604,-3.971589303525027,-3.6941613975383887,-4.580212004239819,-3.820038480313083,-3.7072653339612565,-4.5165316166834435,-4.075944516425004,-3.865430057633638,-4.0967632862170085,-3.827034998686237,-3.8667676832630793,19
-4.019317090630748,-4.238573087409644,-3.841933403566438,-4.980573258857733,-4.093337172888636,-6.133365005098256,-4.554681217555487,-4.462595523815009,-4.499544741457396,-4.519112765186798,-3.9640132239603156,-3.6812064769005466,-4.60062063674016,-3.8172190147602527,-3.709649499575908,-4.384433205737672,-4.091555787151944,-3.869489592941741,-4.090216769593925,-3.824610847802404,-3.8634559525242076,20
-4.014247599873815,-4.245657809505329,-3.848463725124426,-4.984149030489492,-4.074871669104737,-6.23041131412232,-4.561982895254712,-4.4614867114590036,-4.467174073734145,-4.529429782259903,-3.957524571774209,-3.67110763598849,-4.6111439751384,-3.815430446236522,-3.7114515899225724,-4.284722362417875,-4.10160403547917,-3.8720566827496623,-4.083349911747839,-3.823498192501248,-3.8609154339368374,21
-4.011607520429065,-4.255655786165315,-3.8581973962150444,-4.986357652282987,-4.0608004882241975,-6.315012898463396,-4.566460629943787,-4.449360164986715,-4.438571959667181,-4.540329986677483,-3.949964562649199,-3.6610748886597064,-4.611306797645917,-3.8144364459271825,-3.7131367898968564,-4.191848484421663,-4.107540168305908,-3.873471792640839,-4.073157506378205,-3.823877058486871,-3.858469695923945,22
-4.011214064738261,-4.268309378592214,-3.8708581792163366,-4.987289891760196,-4.050833676384877,-6.387459927735596,-4.568108984767118,-4.4269986048984,-4.413508164038714,-4.551726416328792,-3.9414356812554567,-3.65114080278033,-4.601831047654587,-3.8141864493355673,-3.714711381059536,-4.105593899039654,-4.109640183166018,-3.873820219194755,-4.05990840740261,-3.825641089958924,-3.8561205961901264,23
-4.012884445243166,-4.283360947988642,-3.8861698365063466,-4.9870365164431085,-4.0446812797246405,-6.448042571553035,-4.566922522869113,-4.395184751694315,-4.39175245163096,-4.563532109103092,-3.932040412263156,-3.641337946216498,-4.583438668556286,-3.8146298919650112,-3.7161816449713854,-4.025740933562463,-4.1081800775933575,-3.8731872589908987,-4.043871468738643,-3.828683931117062,-3.853869992439978,24
-4.016435874385542,-4.300552855557211,-3.9038561304631165,-4.985688293853704,-4.042053344381346,-6.497050999529824,-4.5628958073941766,-4.354701325874717,-4.373074587226127,-4.575660102889637,-3.921881240342468,-3.631698886834345,-4.556851603742893,-3.8157162093188477,-3.7175538631931806,-3.952071915280707,-4.103435849121784,-3.8716582086087525,-4.025315544303889,-3.8328992261609365,-3.8517197423780982,25
-4.021685564607152,-4.319627462500531,-3.923640823464689,-4.983335991513965,-4.042659916492856,-6.534775381280077,-4.556023401486715,-4.30633104793986,-4.35724433560643,-4.588023435577685,-3.9110606501635643,-3.622256192500006,-4.52279179660628,-3.817394836900409,-3.7188343172856966,-3.884369171485003,-4.095683495285156,-3.8693183646278033,-4.004509488015935,-3.8381806192901995,-3.8496717037090806,26
-4.0284507283497595,-4.340327130021219,-3.945247677889109,-4.980070376945878,-4.046211042197034,-6.56150588641791,-4.546299868291136,-4.250856638390005,-4.344031461554081,-4.600535145056493,-3.8996811263966187,-3.6130424310796183,-4.4819811905383276,-3.819615210213031,-3.7200292888097093,-3.8224150294659696,-4.085199013617332,-3.8662530236275376,-3.9817221537923695,-3.8444217547045056,-3.8477277341375253,27
-4.036548578055128,-4.362394219321886,-3.9684004561144177,-4.975982217671423,-4.0524167676317395,-6.577532684557433,-4.533719770951844,-4.189060817725406,-4.333205729851293,-4.613108269215319,-3.8878451537118024,-3.6040901704393162,-4.435141728930909,-3.822326764760046,-3.721145059325994,-3.7659918165142225,-4.072258401652172,-3.862547482187439,-3.957222395550779,-3.8515162766035065,-3.8458896913680265,28
-4.045796326165018,-4.3855710916051445,-3.992822920518659,-4.971162281212586,-4.060987138934835,-6.58314594531276,-4.518277672613248,-4.121726306446319,-4.324536905280277,-4.62565584594342,-3.8756552167792866,-3.595431978445236,-4.3829953551759004,-3.8254789360447865,-3.7221879103953253,-3.7148818599203777,-4.057137656923531,-3.8582870368869946,-3.9312790672087496,-3.8593578291868544,-3.8441594331051814,29
-4.056011185121193,-4.40960010807361,-4.0182388334798755,-4.9657013350913495,-4.071632202244181,-6.5786358382980055,-4.499968136419752,-4.049635825053002,-4.317794752623244,-4.6380909131300525,-3.863213800269245,-3.5871004229635117,-4.326264012665181,-3.8290211595705883,-3.7231641235784783,-3.668867486975052,-4.040112776965268,-3.853556984305689,-3.904161022683869,-3.867840056654203,-3.8425388170535872,30
-4.067010367365417,-4.434223629929894,-4.044371957376112,-4.959690146829697,-4.08406200369764,-6.564292533127283,-4.478785725515764,-3.9735720940457115,-4.312749036662408,-4.650326508664475,-3.8506233888518495,-3.579128071860281,-4.265669644790624,-3.8329028708407837,-3.7240799804362297,-3.627731024968864,-4.0214597593112424,-3.848442621023008,-3.8761371158937243,-3.876856603205204,-3.841029700917841,31
-4.078611085339451,-4.459184018376609,-4.070946054585409,-4.953219483949611,-4.097986589433072,-6.540406199414704,-4.454725003045689,-3.894317833924703,-4.309169522179982,-4.6622756704359425,-3.837986467197271,-3.5715474930016784,-4.201934194944107,-3.837073505358706,-3.7249417625293533,-3.5912548011924295,-4.001454601495311,-3.8430292436184366,-3.847476200755902,-3.8863011130395106,-3.8396339424025374,32
-4.090630551485061,-4.48422363461637,-4.097684887485812,-4.946380113973077,-4.113116005588342,-6.507267006774386,-4.427780532153935,-3.8126557651902355,-4.306825973958179,-4.673851436333716,-3.825405519975684,-3.564391254253841,-4.135779606517508,-3.8414824986276916,-3.7257557514186272,-3.5592211429363667,-3.9803733010513347,-3.8374021486714627,-3.818447131187991,-3.8960672303567776,-3.8383533992122767,33
-4.102885978244005,-4.509084839851789,-4.124312218455363,-4.939262804422074,-4.129160298301308,-6.465165124820437,-4.397946875984908,-3.729368608342563,-4.305488156779209,-4.6849668442470485,-3.8129830318572586,-3.5576919234829023,-4.067927822902699,-3.8460792861510704,-3.726528228664823,-3.5314123774912898,-3.9584918555131683,-3.831646632761569,-3.789318761107575,-3.9060485993566547,-3.8371899290516516,34
-4.115194578058048,-4.533509995285478,-4.150551809872104,-4.93195832281859,-4.145829513709833,-6.414390723166975,-4.365218597683013,-3.645239083881944,-4.304925835425284,-4.6955349320652,-3.8008214875121675,-3.551482068554998,-3.99910078749156,-3.8508133034321785,-3.7272654758287187,-3.5076108321478174,-3.9360862624146717,-3.8258479924682423,-3.7603599444322438,-3.916138864238795,-3.836145389625261,35
-4.1273735633689554,-4.557241462120051,-4.17612742411408,-4.924557436684606,-4.162833697951779,-6.355233971428112,-4.329590260392656,-3.561049912308634,-4.304908774678619,-4.7054687376774265,-3.789023371610583,-3.545794257336265,-3.9300204436759656,-3.8556339859743485,-3.7279737744710877,-3.4875988341965667,-3.9134325192897035,-3.8200915243709677,-3.731839535079583,-3.9262316692028527,-3.835221638637701,36
-4.139240146618486,-4.580021601558123,-4.200762823559335,-4.917150913542106,-4.179882897165007,-6.2879850392179595,-4.291056427258247,-3.4775838141228896,-4.305206739321424,-4.714681298972986,-3.7776911688226775,-3.540661057692839,-3.861408734847793,-3.860490769280914,-3.7286594061527074,-3.471158710928154,-3.890806623672121,-3.8144625250492314,-3.7040263869671803,-3.9362206584484802,-3.834420533793569,37
-4.150611540248405,-4.601592774802303,-4.224181770585909,-4.909829520913071,-4.196687157487378,-6.212934096150632,-4.249611661424189,-3.3956235098249685,-4.305589494135913,-4.723085653841134,-3.766927363818623,-3.5361150374908545,-3.793987604398917,-3.865333088855209,-3.729328652434352,-3.4580727896331958,-3.8684845730957833,-3.809046291082518,-3.677189354012623,-3.9459994761753285,-3.8337439327974603,38
-4.161304956700474,-4.6216973430552075,-4.246108027571847,-4.902684026319489,-4.212956525056755,-6.1303713118402445,-4.20525052603489,-3.315951719915127,-4.3058268039042975,-4.73059484017113,-3.7568344412685915,-3.5321887645964476,-3.728478995721216,-3.8701103802005674,-3.7299877948767968,-3.448123397602309,-3.8467423650945474,-3.803928119050314,-3.651597290133497,-3.9554617665830527,-3.8331936933539725,39
