C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,time
-4.26698756952448,-4.127728783121538,-3.745202051879373,-5.22094399019747,-4.066057113692986,-4.38044447917344,-4.908430996548101,-5.1861785339371895,-4.130110862593843,-4.319184044574397,-4.082389467158933,-3.883627111866828,-4.2817357539223115,-3.8612731640232294,-3.7976910038824245,-6.4484708767653425,-3.847629682043512,-3.806059353752616,-3.8624882053622898,10
-4.252715753963449,-4.1348228185959774,-3.7513928583873453,-5.199120053025296,-4.198364818742924,-4.391595630429892,-4.913885961542228,-5.142233971218483,-4.1439089019181194,-4.331979482693591,-4.0748133875942205,-3.8706721912289863,-4.302144386422654,-3.858453698470399,-3.7977763774446838,-6.316372465819572,-3.8632409527704517,-3.81011888906072,-3.860064054478457,11
-4.233092007567032,-4.144577117373331,-3.7599052173358074,-5.169112139413558,-4.380287913186588,-4.406928463407512,-4.921386538409151,-5.081810197480261,-4.162881205988999,-4.349573210107483,-4.064396278192744,-3.8528591753519534,-4.330206256110626,-3.8545769333352573,-3.7978937660927823,-6.134737150769137,-3.884706450019994,-3.8157007501093627,-3.856730847013187,12
-4.209454313044075,-4.156326613627869,-3.7701587406146357,-5.132966243472145,-4.599422549675546,-4.425397557676008,-4.930421324180673,-5.009027015477403,-4.185734208619831,-4.370765654492397,-4.05184839641369,-3.831402588045527,-4.364008053689319,-3.8499071935133817,-3.7980351660552585,-5.915949157640203,-3.9105626171614873,-3.8224243554634096,-3.852715847111839,13
-4.1831406531034245,-4.169406241533865,-3.7815730401137095,-5.09272835931095,-4.843364880861367,-4.44595749280509,-4.940478915888594,-4.928004227964788,-4.2111743436239655,-4.39435724352466,-4.037879999716253,-3.807516953119506,-4.401636469861827,-3.844708803900351,-3.7981925735606548,-5.6723927124589375,-3.9393458975642823,-3.829909123687726,-3.848246318919772,14
-4.155489010453929,-4.183150935265591,-3.7935677277229054,-5.050444481039864,-5.099711059395621,-4.467562848364464,-4.951047910564713,-4.842861637697293,-4.237908044814751,-4.419148404880598,-4.023201345559625,-3.7824167943836873,-4.441178195331242,-3.8392460893917417,-3.79835798483751,-5.416452041251505,-3.969592734597728,-3.8377744733471775,-3.843549526582346,15
-4.127837367804431,-4.196895628997316,-3.8055624153321013,-5.008160602768776,-5.356057237929875,-4.489168203923837,-4.961616905240833,-4.7577190474297995,-4.264641746005537,-4.443939566236536,-4.008522691402996,-3.7573166356478684,-4.480719920800657,-3.8337833748831325,-3.798523396114365,-5.160511370044073,-3.999839571631173,-3.8456398230066293,-3.8388527342449206,16
-4.101523707863781,-4.209975256903313,-3.816976714831175,-4.967922718607582,-5.599999569115697,-4.509728139052919,-4.971674496948754,-4.676696259917184,-4.290081881009671,-4.4675311552688,-3.9945542947055603,-3.7334310007218474,-4.518348336973165,-3.8285849852701017,-3.7986808036197606,-4.916954924862807,-4.028622852033968,-3.853124591230946,-3.8343832060528538,17
-4.077886013340824,-4.221724753157853,-3.8272302381100043,-4.93177682266617,-5.819134205604655,-4.528197233321416,-4.980709282720277,-4.603913077914327,-4.312934883640503,-4.4887235996537145,-3.9820064129265074,-3.7119744134154216,-4.552150134551859,-3.8239152454482266,-3.798822203582236,-4.698166931733875,-4.054479019175462,-3.859848196584994,-3.830368206151506,18
-4.058262266944407,-4.231479051935206,-3.835742597058466,-4.901768909054431,-6.001057300048318,-4.543530066299036,-4.9882098595872,-4.543489304176105,-4.331907187711383,-4.506317327067605,-3.971589303525029,-3.6941613975383887,-4.580212004239829,-3.8200384803130842,-3.7989395922303317,-4.516531616683439,-4.075944516425004,-3.8654300576336365,-3.8270349986862358,19
-4.043990451383376,-4.238573087409645,-3.841933403566438,-4.879944971882257,-6.1333650050982556,-4.554681217555487,-4.993664824581326,-4.499544741457398,-4.345705227035659,-4.519112765186799,-3.964013223960318,-3.6812064769005466,-4.600620636740172,-3.817219014760254,-3.799024965792588,-4.384433205737667,-4.091555787151944,-3.8694895929417403,-3.824610847802403,20
-4.034455622950788,-4.24565780950533,-3.848463725124426,-4.864677895369608,-6.230411314122319,-4.561982895254712,-4.990250073521845,-4.467174073734147,-4.356536347570935,-4.5294297822599034,-3.9575245717742114,-3.67110763598849,-4.61114397513841,-3.8154304462365234,-3.7987244230669055,-4.28472236241787,-4.10160403547917,-3.872056682749662,-3.823498192501247,21
-4.028005176360774,-4.255655786165316,-3.8581973962150444,-4.852834286867906,-6.315012898463396,-4.566460629943787,-4.972182538025249,-4.438571959667183,-4.36744317261101,-4.5403299866774836,-3.949964562649201,-3.6610748886597064,-4.611306797645926,-3.814436445927184,-3.7977262031156895,-4.191848484421659,-4.107540168305908,-3.8734717926408386,-3.8238770584868695,22
-4.024420601953798,-4.268309378592216,-3.8708581792163366,-4.84420072518423,-6.387459927735596,-4.568108984767118,-4.94051236881929,-4.413508164038716,-4.378385051973529,-4.551726416328793,-3.941435681255459,-3.65114080278033,-4.601831047654596,-3.8141864493355686,-3.7960855125642343,-4.10559389903965,-4.109640183166017,-3.8738202191947555,-3.8256410899589226,23
-4.023483390070323,-4.283360947988643,-3.8861698365063466,-4.838563789125665,-6.448042571553034,-4.566922522869113,-4.89628971663172,-4.391752451630961,-4.389321335476141,-4.563532109103092,-3.9320404122631585,-3.6413379462164976,-4.583438668556295,-3.814629891965013,-3.793857558037838,-4.025740933562458,-4.108180077593357,-3.8731872589908987,-3.8286839311170606,24
-4.024975031050809,-4.3005528555572115,-3.9038561304631165,-4.835710057499292,-6.497050999529823,-4.5628958073941766,-4.8405647321902885,-4.373074587226129,-4.400211372936488,-4.575660102889637,-3.9218812403424708,-3.6316988868343447,-4.5568516037429,-3.8157162093188495,-3.791097546161795,-3.9520719152807033,-4.103435849121785,-3.8716582086087534,-3.8328992261609356,25
-4.028677015235719,-4.319627462500532,-3.923640823464689,-4.835426109112193,-6.534775381280076,-4.556023401486715,-4.774387566222747,-4.357244335606432,-4.411014514172216,-4.588023435577686,-3.911060650163567,-3.622256192500006,-4.522791796606287,-3.8173948369004105,-3.7878606835614,-3.8843691714849995,-4.095683495285155,-3.869318364627804,-3.838180619290198,26
-4.034370832965518,-4.34032713002122,-3.945247677889109,-4.837498522771451,-6.561505886417909,-4.546299868291136,-4.698808369456849,-4.344031461554083,-4.421690109000972,-4.600535145056494,-3.8996811263966213,-3.613042431079618,-4.481981190538334,-3.8196152102130325,-3.7842021768619527,-3.822415029465966,-4.085199013617333,-3.8662530236275385,-3.8444217547045048,27
-4.041837974580664,-4.362394219321887,-3.9684004561144177,-4.841713877284148,-6.577532684557432,-4.533719770951844,-4.6148772926203465,-4.3332057298512945,-4.432197507240402,-4.613108269215321,-3.8878451537118046,-3.604090170439316,-4.4351417289309145,-3.8223267647600467,-3.7801772326887457,-3.765991816514219,-4.072258401652172,-3.86254748218744,-3.851516276603505,28
-4.050859930421623,-4.385571091605146,-3.992822920518659,-4.847858751457365,-6.583145945312759,-4.518277672613248,-4.523644486440988,-4.324536905280278,-4.442496058708149,-4.625655845943421,-3.8756552167792893,-3.5954319784452355,-4.382995355175907,-3.8254789360447883,-3.7758410576670753,-3.7148818599203737,-4.057137656923531,-3.8582870368869955,-3.8593578291868536,29
-4.061218190828856,-4.409600108073612,-4.0182388334798755,-4.8557197240981855,-6.5786358382980055,-4.499968136419752,-4.426160101646528,-4.317794752623246,-4.45254511322186,-4.638090913130053,-3.8632138002692478,-3.5871004229635117,-4.3262640126651855,-3.829021159570589,-3.771248858422238,-3.6688674869750493,-4.040112776965268,-3.8535569843056896,-3.867840056654202,30
-4.072694246142825,-4.434223629929895,-4.044371957376112,-4.865083374013691,-6.564292533127283,-4.478785725515764,-4.323474288964717,-4.31274903666241,-4.462304020599181,-4.650326508664476,-3.850623388851852,-3.579128071860281,-4.265669644790628,-3.832902870840785,-3.7664558415795306,-3.6277310249688615,-4.0214597593112424,-3.848442621023009,-3.8768566032052036,31
-4.085069586703992,-4.459184018376609,-4.070946054585409,-4.8757362800109645,-6.540406199414704,-4.454725003045689,-4.216637199123306,-4.3091695221799835,-4.471732130657756,-4.662275670435943,-3.8379864671972737,-3.5715474930016784,-4.20193419494411,-3.8370735053587075,-3.761517213764247,-3.5912548011924272,-4.001454601495311,-3.843029243618438,-3.88630111303951,32
-4.098125702852823,-4.484223634616371,-4.097684887485812,-4.887465020897089,-6.507267006774386,-4.427780532153935,-4.10669898285005,-4.30682597395818,-4.4807887932152335,-4.673851436333717,-3.825405519975687,-3.5643912542538407,-4.13577960651751,-3.8414824986276925,-3.7564881816016857,-3.5592211429363645,-3.9803733010513347,-3.837402148671464,-3.8960672303567767,33
-4.1116440849297735,-4.5090848398517895,-4.124312218455363,-4.900056175479144,-6.465165124820438,-4.397946875984908,-3.9947097908726956,-4.30548815677921,-4.489433358089256,-4.684966844247049,-3.8129830318572613,-3.557691923482902,-4.0679278229027025,-3.8460792861510718,-3.75142395171714,-3.5314123774912884,-3.9584918555131683,-3.83164663276157,-3.906048599356654,34
-4.125406223275312,-4.5335099952854785,-4.150551809872104,-4.913296322564214,-6.414390723166975,-4.365218597683013,-3.8817197739189973,-4.304925835425285,-4.49762517509747,-4.6955349320652,-3.80082148751217,-3.551482068554998,-3.9991007874915625,-3.8508133034321794,-3.7463797307359066,-3.5076108321478165,-3.936086262414672,-3.8258479924682427,-3.916138864238794,35
-4.139193608229898,-4.557241462120052,-4.17612742411408,-4.926972040959379,-6.355233971428111,-4.329590260392657,-3.7687790827167067,-4.30490877467862,-4.505323594057521,-4.7054687376774265,-3.7890233716105857,-3.545794257336265,-3.9300204436759683,-3.8556339859743494,-3.741410725283282,-3.4875988341965654,-3.913432519289704,-3.820091524370968,-3.9262316692028523,36
-4.152787730133995,-4.580021601558124,-4.200762823559335,-4.940869909471725,-6.287985039217959,-4.291056427258248,-3.656937867993574,-4.3052067393214255,-4.512487964787057,-4.714681298972986,-3.7776911688226806,-3.540661057692839,-3.8614087348477946,-3.8604907692809154,-3.736572141984563,-3.471158710928153,-3.8908066236721215,-3.8144625250492314,-3.9362206584484793,37
-4.165970079328066,-4.601592774802303,-4.224181770585909,-4.95477650690833,-6.212934096150633,-4.249611661424189,-3.547246280477352,-4.305589494135914,-4.51907763710372,-4.723085653841134,-3.7669273638186254,-3.5361150374908545,-3.7939876043989194,-3.86533308885521,-3.731919187465043,-3.458072789633195,-3.8684845730957838,-3.8090462910825185,-3.945999476175328,38
-4.17852214615257,-4.621697343055208,-4.246108027571847,-4.968478412076278,-6.1303713118402445,-4.20525052603489,-3.4407544708957922,-4.3058268039042975,-4.525051960825157,-4.730594840171131,-3.756834441268594,-3.5321887645964476,-3.7284789957212174,-3.8701103802005683,-3.727507068350019,-3.448123397602309,-3.846742365094548,-3.803928119050314,-3.9554617665830523,39
-4.190225420947972,-4.640077667519448,-4.2662653568951905,-4.981762203782652,-6.040586855900909,-4.157967584234755,-3.338512589976647,-4.30568843340879,-4.530370285769013,-4.737121895852231,-3.747514885842758,-3.528914806875754,-3.6656048522065663,-3.874772078820323,-3.7233909912647882,-3.441092862126111,-3.8258559972022734,-3.7991933055321043,-3.9645011738713043,40
-4.200861394054735,-4.656476109397638,-4.284377520933985,-4.994414460834534,-5.943870897946739,-4.107757399168192,-3.241570788447666,-4.304944147431601,-4.534991961752934,-4.742579858773692,-3.7390711822112888,-3.5263257321949086,-3.6060871172468407,-3.879267620217808,-3.7196261628346448,-3.436763510495219,-3.806101466952817,-3.7949271471073742,-3.973011342239736,41
-4.21021155581332,-4.670635029892392,-4.300168282066272,-5.006221762039005,-5.840513607591847,-4.054614533979606,-3.150979217036602,-4.303363710754946,-4.538876338594567,-4.746881766824774,-3.73160581504436,-3.524454108420049,-3.5506477342339187,-3.883546439896358,-3.716267789684886,-3.43491767000025,-3.7877547718800386,-3.7912149403556112,-3.980885915888002,42
-4.21805739656419,-4.682296790206319,-4.313361402670096,-5.016970686203148,-5.730805154450347,-3.998533551813403,-3.0677880264712054,-4.300716888161034,-4.541982766111554,-4.749940657894729,-3.7252212690121422,-3.5233325034173077,-3.500008646559674,-3.887557973359304,-3.7133710784408063,-3.435337667931819,-3.7710919095177946,-3.7881419818562976,-3.9880185390157523,43
-4.224180406647806,-4.691203751542036,-4.323680645123498,-5.0264478121340455,-5.615035708136353,-3.9395090158139916,-2.9930473674792295,-4.29677344443208,-4.544270594121543,-4.751669569872819,-3.7200200287848086,-3.522993485052823,-3.4548917976159856,-3.8912516561099815,-3.7109912357277026,-3.437805831580545,-3.756388877399944,-3.7857935681889208,-3.994302855822642,44
-4.2283620764046335,-4.697098275102157,-4.330849771804523,-5.0344397186387795,-5.493495438263979,-3.877535489125777,-2.9278073907884266,-4.291303144350297,-4.54569917244218,-4.7519815406483,-3.7161045790325313,-3.523469621192729,-3.416019130794729,-3.8945769236517247,-3.7091834681708713,-3.4421044882370433,-3.743921673060347,-3.7842549959329674,-3.9996325105083232,45
-4.230383896175131,-4.69972272208929,-4.334592545091212,-5.040732984524429,-5.3664745144473365,-3.812607534893165,-2.8731182471265453,-4.284075752697894,-4.546227850891109,-4.750789608110426,-3.7135774044254815,-3.5247934797031615,-3.38411258948778,-3.897483211487866,-3.7080029823956067,-3.4480159651919315,-3.7339662940328586,-3.783611561667921,-4.0039011472724475,46
-4.230027356299762,-4.698819453706051,-4.33463272736161,-5.045114188598083,-5.23426310630054,-3.7447197162605628,-2.8300300872213384,-4.274861034257085,-4.545815979285977,-4.74800681014846,-3.712540989633833,-3.5269976284502564,-3.359894117087015,-3.8999199551217387,-3.7075049850272053,-3.455322589735826,-3.7267987378513374,-3.7839485619732676,-4.007002410314668,47
-4.22707394711899,-4.694130831155054,-4.33069408099376,-5.047369909666818,-5.097151383437702,-3.6738665963723753,-2.799593061800559,-4.263428753810081,-4.544422907444429,-4.743546184651653,-3.7130978193277553,-3.53011463530015,-3.34408565698431,-3.9018365900566776,-3.7077446826909637,-3.4638066891593446,-3.722695002049644,-3.7853512934284934,-4.008829943834639,48
-4.221305158973278,-4.685399215638911,-4.322500368365705,-5.047286726537719,-4.955429515472938,-3.6000427383730114,-2.782857321591958,-4.249548676139098,-4.542007985184109,-4.737320769509267,-3.715350378177424,-3.534177068118977,-3.3374091525715417,-3.9031825517960157,-3.708777282012177,-3.4732505907531035,-3.721931084161634,-3.787905052613083,-4.009277392032012,49
-4.212502482203087,-4.672366968360235,-4.309775351855488,-5.044651218017867,-4.80938767202036,-3.523242705406876,-2.7808730173232856,-4.232990566026346,-4.5385305623226655,-4.729243602610558,-3.719401150853009,-3.5392174947728727,-3.3405865472405867,-3.9039072758430877,-3.7106579896161422,-3.4834366218077197,-3.7247829817211677,-3.791695136106523,-4.008238399106441,50
-4.198264815242302,-4.6514492017803075,-4.2891119875631825,-5.039194766108238,-4.606483674071619,-3.4159854975603094,-2.7887388229263967,-4.208366362199807,-4.5330201165074415,-4.716869721309005,-3.7262292872220257,-3.5468076777246016,-3.35201918629051,-3.9044515088482283,-3.7138407242328126,-3.4978004391626127,-3.7312929538330906,-3.7977733847487296,-4.005748197480364,51
-4.177583824547437,-4.621065000689755,-4.259097319722532,-5.031268970998632,-4.311754509167975,-3.260188531418218,-2.8001643361747113,-4.172598358101402,-4.5250158922940855,-4.698895981316239,-3.7361475291011073,-3.557832833982951,-3.3686257203849235,-3.905242037081973,-3.718463820500825,-3.5186646702109607,-3.7407490447109923,-3.806602373652373,-4.0021310432935815,52
-4.1523301524929055,-4.583962684785212,-4.222446242912092,-5.021590738779365,-3.9518590967479486,-3.069943994872851,-2.8141160935583316,-4.128921850584255,-4.515241889862703,-4.676948148058741,-3.7482587490841066,-3.571295713233097,-3.3889040509625246,-3.906207355477952,-3.7241091089085003,-3.544142098074019,-3.7522959295518485,-3.817383500806068,-3.9977141163217818,53
-4.1243744414531145,-4.54289057376331,-4.1818736517104105,-5.010876975540751,-3.553456356250056,-2.8593440758164546,-2.8295606315673596,-4.0805721365014875,-4.504422109393395,-4.652651986962991,-3.7616658197648754,-3.586199065160214,-3.411352079462009,-3.9072759589697976,-3.730358419944159,-3.5723455058730424,-3.7650782835526306,-3.8293181641984297,-3.992824596340654,54
-4.095587333802475,-4.500596987320681,-4.140094440696039,-4.999844587373108,-3.143205207112823,-2.642480962141282,-2.845464486691898,-4.030784512706221,-4.493280551066262,-4.627633263455471,-3.7754716137372646,-3.6015456394494745,-3.4344677073220717,-3.90837634249114,-3.7367935840961186,-3.6013876767292854,-3.7782407819103128,-3.8416077618180737,-3.987789663125886,55
-4.067839471915396,-4.4598302451539595,-4.09982350444753,-4.989210480366752,-2.747764568774766,-2.4334468417395803,-2.8607941954220486,-3.982794276051578,-4.482541215061409,-4.603517742962665,-3.788779003595128,-3.616338185786055,-3.456748835981411,-3.9094370009756116,-3.7429964318527023,-3.629381393764004,-3.7909280998218704,-3.853453691653615,-3.9829364964531675,56
-4.043001498166289,-4.42333866695978,-4.063775737543434,-4.979691560611998,-2.3937933606744104,-2.246333902503602,-2.8745162942479134,-3.9398367233906804,-4.472928101558938,-4.5819311909110505,-3.8006908619323165,-3.6295794538551283,-3.476693366878722,-3.910386429356842,-3.748548793702228,-3.654439440098452,-3.8022849124842755,-3.8640573516936683,-3.9785922760981873,57
-4.02294405492956,-4.393870572434771,-4.034666034562301,-4.972004734199163,-2.1079505022502714,-2.0952343323255924,-2.8855973196595954,-3.9051471515766494,-4.465165210738951,-4.564499372727111,-3.810310061342682,-3.6402721933418696,-3.492799201452701,-3.911153122568463,-3.7530325001330174,-3.6746745988538847,-3.811455895094502,-3.87262013992685,-3.975084181836634,58
-4.009537784579623,-4.37417428127557,-4.0152092900826855,-4.966866907218565,-1.9168949129408752,-1.9942403190978053,-2.893003808147196,-3.881960857462609,-4.459976542781549,-4.552848053837327,-3.816739474420076,-3.6474191539314536,-3.5035642411420445,-3.9116655755441063,-3.756029381633389,-3.6881996531515573,-3.817585722849524,-3.878343454341774,-3.972739393444197,59
-4.004653329490887,-4.366998113178806,-4.008120398683134,-4.964994985760517,-1.8472855121847385,-1.9574440507124873,-2.895702296200818,-3.8735131379016794,-4.458086097866837,-4.548602999668182,-3.819081973758352,-3.6500230853090536,-3.5074863873854487,-3.911852283217403,-3.757121268691664,-3.693127386112725,-3.819819070946315,-3.880428692927057,-3.971885090696565,60
-3.9704935868312883,-4.363532293529521,-4.008566775914624,-4.965521840103847,-1.8545303071942063,-1.9639972176644498,-2.8963620886256467,-3.82395779447986,-4.459073371728326,-4.553132227190395,-3.820415913682346,-3.6513391928071184,-3.5093448585624096,-3.9122901626549886,-3.757828404542013,-3.693844085414997,-3.8191826461083687,-3.880809836090932,-3.9720636584439726,61
-3.8777742853266637,-4.3541250687671775,-4.009778371257237,-4.966951873321457,-1.8741947507913326,-1.9817843851054904,-2.898152953778753,-3.6894504337634944,-4.461753115066653,-4.565425844750686,-3.824036607761758,-3.6549114845875783,-3.514389280328446,-3.9134786925570055,-3.7597477732786744,-3.6957894120925934,-3.817455207262514,-3.8818443675357353,-3.9725483423297927,62
-3.741135314688268,-4.3402617901700395,-4.011563880183194,-4.969059290694777,-1.9031739308292035,-2.00799705291334,-2.900792123478067,-3.4912290600762166,-4.465702210512608,-4.583542754839536,-3.8293723674577334,-3.660175914579836,-3.5218231650362894,-3.9152302103073464,-3.7625763166800703,-3.6986562093016824,-3.8149095079107287,-3.8833689401912355,-3.9732626133194224,63
-3.5752165646273615,-4.323427809016373,-4.013731998164713,-4.971618297505238,-1.9383629351609037,-2.039826720965729,-2.9039968295415206,-3.2505316777416686,-4.470497540696983,-4.605541859947427,-3.8358515042314187,-3.6665684367132925,-3.530850025038671,-3.917357053289904,-3.7660109765246226,-3.7021373201984344,-3.81181830155499,-3.8852202069872006,-3.9741299423782595,64
-3.3946579248551982,-4.30510847658444,-4.016091420674012,-4.974403099034268,-1.9766568516395184,-2.0744648891403874,-2.907484303787043,-2.9885962910834833,-4.475715988250567,-4.629482062564836,-3.842902329543958,-3.673525004917347,-3.540673372688321,-3.919671558888569,-3.769748694590753,-3.7059255879390163,-3.8084543416972734,-3.887234820853397,-3.975073800471699,65
-3.214099285083033,-4.286789144152508,-4.018450843183313,-4.977187900563298,-2.014950768118134,-2.109103057315046,-2.910971778032566,-2.726660904425296,-4.4809344358041505,-4.653422265182246,-3.849953154856497,-3.6804815731214022,-3.5504967203379714,-3.921986064487234,-3.7734864126568826,-3.7097138556795985,-3.8050903818395576,-3.889249434719594,-3.9760176585651386,66
-3.0481805350221265,-4.2699551629988415,-4.020618961164832,-4.979746907373759,-2.0501397724498336,-2.140932725367435,-2.9141764840960187,-2.4859635220907474,-4.485729765988525,-4.6754213702901355,-3.8564322916301816,-3.6868740952548578,-3.5595235803403527,-3.9241129074697914,-3.776921072501435,-3.71319496657635,-3.801999175483818,-3.8911007015155583,-3.976884987623975,67
-2.9115415643837315,-4.2560918844017035,-4.022404470090788,-4.981854324747079,-2.0791189524877045,-2.1671453931752844,-2.916815653795333,-2.287742148403471,-4.48967886143448,-4.693538280378986,-3.8617680513261576,-3.6921385252471155,-3.5669574650481963,-3.9258644252201327,-3.7797496159028303,-3.7160617637854387,-3.7994534761320327,-3.892625274171058,-3.977599258613605,68
-2.8188222628791073,-4.24668465963936,-4.023616065433402,-4.983284357964689,-2.0987833960848308,-2.1849325606163252,-2.9186065189484394,-2.1532347876871056,-4.492358604772807,-4.7058318979392775,-3.8653887454055695,-3.695710817027576,-3.5720018868142325,-3.9270529551221496,-3.781668984639492,-3.7180070904630353,-3.7977260372861785,-3.8936598056158616,-3.9780839424994254,69
-2.7846625202195088,-4.243218839990075,-4.024062442664891,-4.983811212308019,-2.1060281910942984,-2.1914857275682875,-2.919266311373268,-2.1036794442652873,-4.493345878634296,-4.71036112546149,-3.8667226853295635,-3.69702692452564,-3.5738603579911934,-3.927490834559735,-3.782376120489841,-3.7187237897653076,-3.7970896124482323,-3.894040948779737,-3.9782625102468328,70
-2.7877283940957653,-4.246470660518445,-4.024970547065636,-4.981885076275472,-2.108085530376269,-2.192019564496471,-2.92078876333527,-2.100601213740631,-4.49437723251933,-4.706745867073387,-3.868219930953485,-3.698123893485944,-3.576120908329011,-3.9280967906681767,-3.7838434961446494,-3.7203837981260977,-3.7991054991241837,-3.895120788971976,-3.9791090747385858,71
-2.79605005175989,-4.255297030524017,-4.027435401867659,-4.976656992758559,-2.1136697369987605,-2.1934685504443983,-2.924921132946418,-2.092246016602279,-4.49717662163585,-4.696933022877108,-3.872283883361271,-3.7011013806639115,-3.582256687817372,-3.9297415286768036,-3.7878263729219865,-3.724889535105384,-3.804577191530337,-3.898051783779482,-3.9814068926447725,72
-2.808313547264916,-4.2683043126374915,-4.031067819470638,-4.968952448628371,-2.1218990941266425,-2.195603898157133,-2.9310109407944265,-2.0799330945036543,-4.501302037175985,-4.6824719893246955,-3.8782728658569563,-3.7054892565051265,-3.5912988891686415,-3.9321653531105696,-3.79369587554122,-3.731529568548543,-3.812640738234142,-3.902371144548438,-3.9847931506117846,73
-2.8232049346638766,-4.284098869489569,-4.035478612274257,-4.959596930756001,-2.131891884924785,-2.198196820379739,-2.938405707467008,-2.0649816890981825,-4.506311470331863,-4.664912162868196,-3.885545201744575,-3.710817391455174,-3.6022787050951837,-3.9351085684944294,-3.8008231287217185,-3.739592466300951,-3.8224321878030483,-3.9076160826250286,-3.988905035286014,74
