C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,time
-5.126169897958784,-4.127728783121535,-5.220943990197471,-4.301847637803328,-4.095119152528892,-4.057784347694484,-4.908430996548101,-5.1861785339371895,-4.319184044574399,-3.8452055847413846,-4.264422904381692,-4.294203314687439,-3.863628539742762,-4.120150456346926,-3.814031095272575,-6.4519765235887645,-3.9866316717450423,10
-5.074726925445654,-4.134822818595975,-5.199120053025297,-4.343287927508151,-4.108225625233504,-4.090875913307705,-4.913885961542228,-5.142233971218483,-4.331979482693593,-3.84742696965773,-4.270146201262529,-4.313236163918282,-3.866543725418688,-4.137098373059101,-3.814038703517849,-6.318020965044901,-3.993194313822436,11
-5.003992838240103,-4.144577117373328,-5.169112139413559,-4.400268325852282,-4.126247025202345,-4.1363768160258845,-4.921386538409151,-5.081810197480261,-4.349573210107485,-3.850481373917705,-4.278015734473679,-4.339406331610692,-3.870552105723086,-4.160401758538341,-3.814049164855102,-6.133832072047088,-4.0022179466788526,12
-4.918790415015233,-4.156326613627868,-5.132966243472146,-4.468903805675894,-4.14795462061936,-4.191184721572782,-4.9304213241806725,-5.009027015477403,-4.3707656544923985,-3.8541605426854018,-4.287494944932564,-4.370929488149273,-3.8753803819988373,-4.188471745592879,-3.8140617660113367,-5.911968178208813,-4.013087322619534,13
-4.823942434444152,-4.169406241533865,-5.09272835931095,-4.545309339819161,-4.172119679668488,-4.2521972956721585,-4.940478915888592,-4.928004227964788,-4.394357243524661,-3.8582562211249134,-4.298047273556606,-4.4060213039186396,-3.880755255588825,-4.21971946703095,-3.8140757937135605,-5.664987617143564,-4.025187193949729,14
-4.724271675199966,-4.183150935265591,-5.0504444810398645,-4.6255999011222535,-4.197513470533675,-4.316312204047774,-4.951047910564711,-4.842861637697293,-4.419148404880598,-3.8625601544003327,-4.309136161263227,-4.442897449303396,-3.8864034278359307,-4.252556055660788,-3.8140905346887775,-5.405448722464828,-4.037902312974679,15
-4.62460091595578,-4.196895628997316,-5.008160602768778,-4.705890462425347,-4.222907261398861,-4.38042711242339,-4.96161690524083,-4.7577190474297995,-4.443939566236536,-3.8668640876757516,-4.320225048969848,-4.479773594688153,-3.892051600083037,-4.285392644290626,-3.814105275663993,-5.145909827786092,-4.050617431999629,16
-4.529752935384699,-4.209975256903313,-4.967922718607584,-4.782295996568615,-4.247072320447989,-4.441439686522767,-4.971674496948751,-4.676696259917184,-4.4675311552688,-3.8709597661152637,-4.330777377593891,-4.514865410457518,-3.897426473673025,-4.316640365728697,-3.814119303366213,-4.898929266720843,-4.062717303329824,17
-4.444550512159829,-4.221724753157853,-4.931776822666171,-4.850931476392227,-4.268779915865004,-4.496247592069665,-4.980709282720272,-4.603913077914327,-4.488723599653714,-3.874638934882961,-4.340256588052777,-4.546388566996101,-3.9022547499487765,-4.3447103527832365,-3.8141319045224407,-4.677065372882569,-4.073586679270507,18
-4.373816424954277,-4.231479051935207,-4.901768909054432,-4.9079118747363575,-4.286801315833846,-4.541748494787844,-4.9882098595871955,-4.543489304176105,-4.506317327067604,-3.8776933391429353,-4.348126121263927,-4.572558734688509,-3.906263130253174,-4.368013738262476,-3.814142365859682,-4.492876479884756,-4.082610312126922,19
-4.322373452441148,-4.2385730874096454,-4.879944971882258,-4.94935216444118,-4.299907788538457,-4.574840060401065,-4.993664824581321,-4.499544741457398,-4.519112765186798,-3.879914724059281,-4.353849418144764,-4.591591583919351,-3.9091783159290996,-4.38496165497465,-3.814149974104942,-4.358920921340892,-4.089172954204316,20
-4.285448268862632,-4.245657809505331,-4.864677895369609,-4.979089999971615,-4.310347927348524,-4.599167374547583,-4.990250073521842,-4.467174073734147,-4.529429782259903,-3.8823590023937062,-4.356807443010434,-4.601144862692962,-3.9102723023721997,-4.396336918206467,-3.8137815270757005,-4.258054411170977,-4.094177218527213,21
