C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,time
-5.2430943186786125,-4.089391963722115,-4.666014792890961,-4.301847637803328,-4.12945022903773,-4.218203935735897,-4.643515965168563,-6.4503230976596635,-4.273163160703159,-4.308845531942118,-3.982909958572405,-4.089940295943748,-3.983381927265205,-3.814839057330578,-4.412952229623494,10
-5.2006005348036055,-4.096794014728758,-4.665495086667321,-4.343287927508151,-4.141319110841999,-4.23681617023848,-4.721093219559076,-6.321335575432988,-4.2764036787845665,-4.32628520212243,-3.994390369510478,-4.088406411827328,-3.9798896543828715,-3.8149936551990975,-4.391436144927324,11
-5.142171581975471,-4.10697183486289,-4.664780490609818,-4.400268325852282,-4.157638823322868,-4.262407992679533,-4.827761944346031,-6.143977732371311,-4.280859391146501,-4.350264748620359,-4.010175934550329,-4.086297321167249,-3.9750877791696637,-3.815206227268302,-4.36185152847009,12
-5.071791252432489,-4.11923148184264,-4.663919727176913,-4.468903805675893,-4.177296658811187,-4.293234506074436,-4.956249271930319,-5.930342148683381,-4.286226499218832,-4.3791492023565,-4.029190365166511,-4.083756825599426,-3.9693037022082995,-3.81546227998802,-4.326215513192056,13
-4.993443338412945,-4.132879013386135,-4.662961518827078,-4.54530933981916,-4.199179909637807,-4.327550813438575,-5.099282334712827,-5.692521404577949,-4.292201204431428,-4.411303594251451,-4.0503573728335835,-4.080928726759774,-3.962864824081498,-3.8157473198080827,-4.286545232033492,14
-4.911111632155119,-4.147220487211504,-4.6619545880187765,-4.6255999011222535,-4.222175868133577,-4.3636120177873305,-5.249588265094446,-5.442608080263768,-4.298479708214154,-4.445092955225805,-4.0726006690261,-4.077956826284209,-3.9560985453719777,-3.816046853178317,-4.244857817934662,15
-4.828779925897292,-4.161561961036871,-4.660947657210475,-4.705890462425347,-4.245171826629346,-4.3996732221360855,-5.399894195476066,-5.192694755949586,-4.304758211996881,-4.478882316200161,-4.094843965218616,-4.074984925808644,-3.949332266662458,-3.8163463865485516,-4.203170403835832,16
-4.750432011877748,-4.175209492580367,-4.65998944886064,-4.782295996568614,-4.267055077455966,-4.433989529500224,-5.542927258258574,-4.954874011844155,-4.310732917209476,-4.51103670809511,-4.116010972885689,-4.0721568269689925,-3.9428933885356563,-3.816631426368617,-4.163500122677268,17
-4.680051682334768,-4.187469139560117,-4.659128685427737,-4.850931476392226,-4.286712912944286,-4.464816042895127,-5.671414585842862,-4.741238428156226,-4.316100025281807,-4.539921161831253,-4.135025403501872,-4.06961633140117,-3.9371093115742926,-3.816887479088341,-4.127864107399236,18
-4.621622729506633,-4.197646959694249,-4.658414089370232,-4.907911874736357,-4.303032625425155,-4.49040786533618,-5.778083310629817,-4.563880585094549,-4.320555737643743,-4.563900708329181,-4.150810968541722,-4.067507240741092,-3.9323074363610844,-3.817100051157552,-4.098279490942001,19
-4.579128945631625,-4.2050490107008915,-4.6578943831465915,-4.949352164441179,-4.314901507229423,-4.5090200998387635,-5.8556605650203295,-4.434893062867873,-4.32379625572515,-4.581340378509493,-4.162291379479795,-4.065973356624671,-3.928815163478751,-3.8172546490260792,-4.0767634062458304,20
-4.549113234248976,-4.212141478509702,-4.658371364225176,-4.979089999971614,-4.324164319028854,-4.5228381225058465,-5.903383109489516,-4.337520977628055,-4.325170550026534,-4.589801563049314,-4.1703147896106065,-4.064146903047289,-3.925430574577713,-3.816996945798441,-4.063196176396575,21
-4.525194184869447,-4.22170757779157,-4.660523948289185,-5.00359869707369,-4.333390131056135,-4.535228819494953,-5.926423460211726,-4.246793684080504,-4.324335122967452,-4.588396858369979,-4.176520216064761,-4.061136645836568,-3.920803355749061,-3.816020190738453,-4.055784676856923,22
-4.506969118688619,-4.233528909376468,-4.664216535119347,-5.022946720509237,-4.342552699983505,-4.5462195589033,-5.926412383136701,-4.162480120264299,-4.321447473856352,-4.5778181040083945,-4.181017666070943,-4.057051199376777,-3.9150383142365155,-3.814381254534889,-4.054035869132385,23
-4.4940353569020735,-4.247387074094373,-4.66931352449639,-5.037202535040093,-4.351625782483202,-4.555837708828109,-5.904980644214183,-4.084349224218525,-4.316665102001687,-4.558757139501469,-4.183917146857838,-4.051999178052188,-3.9082402572838,-3.812137007876526,-4.057456714728479,24
