C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,time
-5.686343089489891,-4.089391963722115,-4.66601479289096,-4.301847637803327,-4.129450229037731,-4.19848459461167,-4.64351596516856,-6.450323097659664,-4.163229441847507,-3.9829099585724053,-3.8465910681516746,-4.412952229623496,10
-5.625218505862146,-4.096794014728758,-4.6654950866673195,-4.34328792750815,-4.141319110842,-4.220471312476623,-4.721093219559073,-6.321335575432989,-4.163605318610219,-3.9943903695104783,-3.8476127500072255,-4.391436144927326,11
-5.541172203373997,-4.10697183486289,-4.664780490609816,-4.400268325852281,-4.157638823322869,-4.2507030495409355,-4.82776194434603,-6.143977732371312,-4.1641221491589455,-4.01017593455033,-3.849017562558604,-4.361851528470091,12
-5.439934611740544,-4.119231481842639,-4.663919727176912,-4.468903805675893,-4.177296658811188,-4.287118551004763,-4.956249271930316,-5.930342148683382,-4.164744695047185,-4.029190365166512,-3.850709723131852,-4.326215513192057,13
-5.32723616067689,-4.132879013386134,-4.662961518827078,-4.54530933981916,-4.199179909637808,-4.327656562068272,-5.099282334712824,-5.692521404577952,-4.165437717828433,-4.050357372833584,-3.852593449053014,-4.286545232033493,14
-5.208807279898133,-4.147220487211502,-4.6619545880187765,-4.6255999011222535,-4.2221758681335775,-4.37025582793162,-5.249588265094444,-5.44260808026377,-4.166165979056185,-4.072600669026101,-3.8545729576481316,-4.244857817934663,15
-5.090378399119377,-4.16156196103687,-4.6609476572104755,-4.705890462425347,-4.245171826629346,-4.412855093794968,-5.3998941954760635,-5.192694755949589,-4.166894240283938,-4.094843965218618,-3.8565524662432478,-4.203170403835832,16
-4.977679948055722,-4.1752094925803664,-4.659989448860641,-4.782295996568614,-4.267055077455966,-4.453393104858476,-5.5429272582585725,-4.954874011844159,-4.167587263065186,-4.1160109728856895,-3.8584361921644073,-4.163500122677268,17
-4.87644235642227,-4.1874691395601165,-4.659128685427737,-4.850931476392227,-4.286712912944286,-4.489808606322305,-5.671414585842861,-4.7412384281562305,-4.168209808953426,-4.135025403501873,-3.860128352737651,-4.127864107399235,18
-4.792396053934121,-4.197646959694247,-4.6584140893702335,-4.9079118747363575,-4.303032625425155,-4.520040343386616,-5.778083310629816,-4.5638805850945525,-4.168726639502153,-4.150810968541724,-3.861533165289022,-4.098279490942,19
-4.731271470306376,-4.20504901070089,-4.657894383146593,-4.94935216444118,-4.314901507229423,-4.54202706125157,-5.855660565020329,-4.434893062867878,-4.169102516264863,-4.162291379479797,-3.862554847144564,-4.07676340624583,20
-4.688030252420757,-4.2121414785097,-4.658371364225178,-4.979089999971615,-4.324164319028854,-4.558228009433201,-5.903383109489515,-4.33752097762806,-4.168556361838988,-4.170314789610608,-3.862701617270119,-4.063196176396574,21
-4.653445814650347,-4.221707577791568,-4.660523948289187,-5.0035986970736905,-4.333390131056135,-4.5725148412139545,-5.926423460211725,-4.246793684080508,-4.166416036688922,-4.176520216064763,-3.8616077976016245,-4.055784676856922,22
-4.626966237947284,-4.233528909376466,-4.6642165351193485,-5.022946720509238,-4.342552699983505,-4.584944907443607,-5.9264123831367,-4.162480120264304,-4.162809709168608,-4.181017666070945,-3.8593667599202663,-4.054035869132384,23
-4.608039603263711,-4.247387074094371,-4.669313524496393,-5.037202535040094,-4.351625782483202,-4.595575558971936,-5.904980644214182,-4.0843492242185295,-4.157865547631988,-4.18391714685784,-3.856071876007233,-4.0574567147284775,24
-4.5961139915517695,-4.263063672775256,-4.675679316201046,-5.0464346054280895,-4.360583135227463,-4.6044641466487155,-5.863759009393912,-4.012169933982267,-4.151711720433006,-4.185328665654134,-3.8518165176437096,-4.065554175150717,25
-4.590637483763598,-4.2803403062490935,-4.683178310014037,-5.050711396435056,-4.369398514888525,-4.611668021323722,-5.80437824462563,-3.945711187594597,-4.144476395925602,-4.185362229688511,-3.846694056610883,-4.077835211904617,26
-4.5910581608513406,-4.298998575345861,-4.691674905716096,-5.050101372822829,-4.378045678138628,-4.617244533846737,-5.728469115859081,-3.8847419230946048,-4.136287742463721,-4.18412784618966,-3.8407978646899412,-4.093806786495694,27
-4.596824103767136,-4.318820080895528,-4.70103350308795,-5.044672999353242,-4.386498381650009,-4.62125103506753,-5.637662389044004,-3.8290310785213695,-4.127273928401305,-4.181735522386262,-3.834221313662069,-4.112975860429463,28
-4.607383393463126,-4.339586423728072,-4.711118501910325,-5.034494740788126,-4.394730382094903,-4.623744875835881,-5.53358883013014,-3.778347591913974,-4.117563122092295,-4.178295265507005,-3.8270577753084543,-4.134849395211437,29
-4.6221841108914505,-4.361079204673466,-4.7217943019639526,-5.019635061889317,-4.402715436145552,-4.624783407001566,-5.417879205067231,-3.7324604013114997,-4.107283491890636,-4.173917082780576,-3.819400621410283,-4.158934352347132,30
-4.640674337004252,-4.383080024561683,-4.732925303029561,-5.000162427418644,-4.4104273004741925,-4.624423979414361,-5.292164279805019,-3.6911384447530295,-4.096563206150269,-4.168710981435657,-3.8113432237487426,-4.184737693342065,31
-4.662302152753669,-4.405370484222698,-4.744375904887877,-4.976145302137943,-4.41783973175306,-4.622723943924043,-5.158074820293243,-3.654150660277645,-4.085530433225135,-4.162786968700936,-3.802978954105019,-4.211766379701747,32
-4.686515639091847,-4.427732184486485,-4.7560105073196315,-4.947652150809049,-4.424926486654395,-4.619740651380388,-5.01724159248165,-3.6212659859244285,-4.074313341469182,-4.156255051805099,-3.794401184260301,-4.239527372931697,33
-4.712762876970921,-4.449946726183018,-4.767693510105549,-4.914751438193791,-4.431661321850434,-4.6155314526331725,-4.871295362319976,-3.592253359732462,-4.063040099236346,-4.149225237976831,-3.7857032859957713,-4.267527634537428,34
-4.740491947343037,-4.471795710142271,-4.779289313026361,-4.877511629054005,-4.438017994013416,-4.610153698532171,-4.721866895757964,-3.5668817197408265,-4.051838874880574,-4.141807534444815,-3.7769786310926197,-4.295274126024456,35
-4.769150931160334,-4.4930607371942175,-4.790662315862795,-4.836001188151521,-4.443970259815577,-4.603664739927163,-4.570586958745357,-3.5449200039886053,-4.0408378367558075,-4.134111948437739,-3.7683205913320323,-4.322273808898295,36
-4.798187909374953,-4.513523408168832,-4.80167691839558,-4.790288580248176,-4.449491875929157,-4.596121927667925,-4.419086317231895,-3.52613715051488,-4.030165153215989,-4.126248487184288,-3.7598225384951953,-4.348033644664461,37
-4.827050962939034,-4.5329653238960885,-4.812197520405443,-4.740442270105801,-4.454556599026391,-4.587582612604229,-4.2689957371673195,-3.5103020973587324,-4.019948992615059,-4.118327157913148,-3.7515778443632954,-4.3720605948284685,38
