C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-5.686343089489891,-4.089391963722115,-4.666014792890962,-4.122914279203081,-4.198484594611671,-4.552404411204499,-6.450323097659664,-4.1111214483761325,-4.008608347351202,-3.851388958876512,10
-5.625218505862146,-4.096794014728758,-4.665495086667322,-4.144895205667278,-4.220471312476624,-4.620345141678828,-6.32133557543299,-4.11248540276858,-4.018765636638257,-3.8522023048761165,11
-5.541172203373997,-4.1069718348628905,-4.664780490609819,-4.175118979555547,-4.250703049540936,-4.713763646081031,-6.1439777323713125,-4.114360840058193,-4.032731909407957,-3.8533206556255593,12
-5.439934611740543,-4.11923148184264,-4.663919727176915,-4.211524889011872,-4.287118551004765,-4.826290480929137,-5.9303421486833825,-4.116619889520682,-4.0495549197896406,-3.8546677599373798,13
-5.327236160676889,-4.132879013386136,-4.66296151882708,-4.252052222180234,-4.327656562068272,-4.95155620274118,-5.692521404577952,-4.119134680431754,-4.068282421912649,-3.8561673666241205,14
-5.2088072798981315,-4.147220487211504,-4.661954588018778,-4.294640267204615,-4.37025582793162,-5.083191368035193,-5.442608080263771,-4.121777342067119,-4.0879621699063176,-3.857743224498319,15
-5.090378399119375,-4.161561961036872,-4.660947657210476,-4.337228312228994,-4.412855093794969,-5.214826533329205,-5.192694755949589,-4.124420003702485,-4.1076419178999855,-3.8593190823725187,16
-4.97767994805572,-4.175209492580369,-4.6599894488606415,-4.3777556453973565,-4.453393104858476,-5.340092255141249,-4.954874011844157,-4.1269347946135575,-4.126369420022993,-3.8608186890592577,17
-4.876442356422268,-4.187469139560119,-4.6591286854277385,-4.414161554853683,-4.489808606322305,-5.452619089989357,-4.741238428156229,-4.129193844076047,-4.143192430404678,-3.862165793371078,18
-4.792396053934119,-4.197646959694251,-4.658414089370234,-4.444385328741952,-4.520040343386616,-5.546037594391558,-4.563880585094552,-4.13106928136566,-4.157158703174377,-3.8632841441205175,19
-4.731271470306373,-4.205049010700893,-4.657894383146594,-4.4663662552061485,-4.54202706125157,-5.6139783248658865,-4.434893062867876,-4.132433235758107,-4.1673159924614325,-3.864097490120119,20
-4.688030252420754,-4.212141478509704,-4.658371364225179,-4.48245567380563,-4.558228009433201,-5.656904946951406,-4.337520977628058,-4.132749272162538,-4.174357321497654,-3.86413514304352,21
-4.653445814650344,-4.2217075777915705,-4.660523948289188,-4.496449018341454,-4.5725148412139545,-5.680336856708247,-4.246793684080506,-4.131638644982411,-4.179681673979369,-3.8630340111783092,22
-4.626966237947281,-4.23352890937647,-4.664216535119349,-4.508451718320145,-4.584944907443607,-5.685488206436041,-4.162480120264302,-4.129210017734889,-4.183395744732683,-3.8608792382579558,23
-4.608039603263708,-4.247387074094375,-4.669313524496394,-4.518569203248229,-4.595575558971936,-5.673573148434423,-4.084349224218528,-4.125572053937135,-4.185606228583707,-3.857755968015927,24
-4.596113991551767,-4.263063672775259,-4.675679316201047,-4.526906902632233,-4.6044641466487155,-5.645805835003023,-4.012169933982266,-4.120833417106316,-4.186419820358546,-3.8537493441856903,25
-4.5906374837635955,-4.280340306249097,-4.683178310014038,-4.533570245978683,-4.611668021323722,-5.603400418441475,-3.9457111875945956,-4.115102770759594,-4.18594321488331,-3.848944510500712,26
-4.591058160851338,-4.2989985753458635,-4.691674905716097,-4.538664662794106,-4.617244533846737,-5.547571051049412,-3.8847419230946034,-4.108488778414135,-4.184283106984107,-3.8434266106944612,27
-4.596824103767133,-4.318820080895531,-4.701033503087949,-4.542295582585027,-4.62125103506753,-5.479531885126465,-3.829031078521369,-4.101100103587102,-4.181546191487045,-3.837280788500406,28
-4.607383393463123,-4.339586423728075,-4.711118501910325,-4.544568434857972,-4.623744875835881,-5.400497072972267,-3.7783475919139726,-4.093045409795659,-4.177839163218231,-3.8305921876520124,29
-4.622184110891448,-4.361079204673468,-4.7217943019639534,-4.545588649119467,-4.624783407001566,-5.311680766886451,-3.7324604013114993,-4.084433360556971,-4.173268717003773,-3.8234459518827486,30
-4.640674337004249,-4.383080024561686,-4.732925303029561,-4.54546165487604,-4.624423979414361,-5.21429711916865,-3.691138444753028,-4.075372619388202,-4.1679415476697805,-3.8159272249260825,31
-4.662302152753667,-4.4053704842227,-4.744375904887876,-4.544292881634216,-4.622723943924043,-5.109560282118495,-3.6541506602776437,-4.065971849806514,-4.16196435004236,-3.8081211505154813,32
-4.686515639091844,-4.427732184486487,-4.7560105073196315,-4.542187758900521,-4.619740651380387,-4.998684408035621,-3.621265985924428,-4.056339715329076,-4.155443818947621,-3.800112872384414,33
-4.71276287697092,-4.44994672618302,-4.767693510105549,-4.539251716181482,-4.615531452633172,-4.882883649219659,-3.5922533597324615,-4.046584879473048,-4.148486649211671,-3.791987534266346,34
-4.740491947343036,-4.471795710142273,-4.779289313026361,-4.535590182983625,-4.610153698532171,-4.76337215797024,-3.566881719740826,-4.036816005755596,-4.141199535660617,-3.783830279894746,35
-4.769150931160332,-4.493060737194219,-4.790662315862795,-4.531308588813475,-4.603664739927163,-4.641364086587,-3.544920003988605,-4.027141757693884,-4.133689173120568,-3.775726253003082,36
-4.798187909374951,-4.513523408168833,-4.801676918395579,-4.52651236317756,-4.596121927667925,-4.518073587369569,-3.5261371505148795,-4.017670798805076,-4.126062256417632,-3.767760597324821,37
-4.827050962939032,-4.532965323896089,-4.812197520405442,-4.521306935582404,-4.587582612604229,-4.394714812617581,-3.5103020973587316,-4.008511792606335,-4.118425480377917,-3.7600184565934307,38
-4.855188172804717,-4.551168085205963,-4.822088521673111,-4.515797735534536,-4.578104145585856,-4.272501914630667,-3.497183782559244,-3.9997734026148275,-4.110885539827532,-3.7525849745423794,39
