C1,C2,C3,C4,C5,C6,time
-4.802679794897283,-4.375068089129599,-4.215278917231752,-5.923237421324316,-4.068910171483517,-3.851152536009809,10
-4.779630749579727,-4.386602293274443,-4.235886659236025,-5.854515835053807,-4.073894910832568,-3.8519803170728735,11
-4.747938312268087,-4.402461823973604,-4.264222304491899,-5.7600236539318574,-4.0807489274375115,-3.8531185160345833,12
-4.709763330960885,-4.421565349588501,-4.298353877186475,-5.646203526671328,-4.089004901984374,-3.8544895284202756,13
-4.667266653656641,-4.442831538480557,-4.336349401506853,-5.519498101985079,-4.098195515159186,-3.8560157497552905,14
-4.622609128353877,-4.465179059011192,-4.37627690164013,-5.386350028585969,-4.10785344764797,-3.8576195755649647,15
-4.577951603051112,-4.487526579541828,-4.416204401773409,-5.253201955186861,-4.1175113801367536,-3.859223401374638,16
-4.535454925746868,-4.508792768433883,-4.454199926093786,-5.126496530500613,-4.126701993311565,-3.860749622709648,17
-4.497279944439667,-4.527896294048781,-4.488331498788362,-5.012676403240085,-4.134957967858429,-3.8621206350953328,18
-4.465587507128027,-4.543755824747942,-4.516667144044237,-4.9181842221181356,-4.141811984463373,-3.86325883405703,19
-4.442538461810471,-4.555290028892785,-4.537274886048508,-4.849462635847628,-4.146796723812423,-3.8640866151200806,20
-4.427055405680798,-4.564130815786136,-4.552552231839146,-4.79520949736545,-4.149881998359356,-3.8641411753134167,21
-4.4163964669234685,-4.5726266643886175,-4.566224706378858,-4.739955773039828,-4.151421068687045,-3.8630676344448545,22
-4.410225790022988,-4.580771097548348,-4.578352360741855,-4.683893781730621,-4.151521787675161,-3.8609502722080515,23
-4.408207519463869,-4.58855763811345,-4.588995246002349,-4.627215842297688,-4.150292008203376,-3.857873368296667,24
-4.410005799730618,-4.595979808932041,-4.598213413234551,-4.5701142736008915,-4.147839583151358,-3.8539212024043596,25
-4.415284775307742,-4.603031132852242,-4.60606691351267,-4.512781394500088,-4.144272365398777,-3.849178054224787,26
-4.4237085906797535,-4.609705132722174,-4.612615797910921,-4.45540952385514,-4.1396982078253055,-3.8437282034516094,27
-4.434941390331158,-4.615995331389955,-4.617920117503513,-4.398190980525906,-4.134224963310613,-3.8376559297784847,28
-4.448647318746466,-4.621895251703708,-4.622039923364657,-4.341318083372246,-4.12796048473437,-3.831045512899071,29
-4.464490520410184,-4.62739841651155,-4.625035266568563,-4.28498315125402,-4.121012624976247,-3.823981232507027,30
-4.482135139806823,-4.6324983486616045,-4.626966198189445,-4.229378503031089,-4.113489236915916,-3.8165473682960123,31
-4.50124532142089,-4.637188571001987,-4.6278927693015115,-4.174696457563311,-4.105498173433045,-3.8088281999596836,32
-4.521485209736894,-4.641462606380823,-4.627875030978977,-4.121129333710548,-4.0971472874073065,-3.8009080071917025,33
-4.542518949239344,-4.645313977646227,-4.626973034296048,-4.068869450332657,-4.088544431718369,-3.792871069685725,34
-4.564010684412749,-4.648736207646323,-4.6252468303269385,-4.018109126289501,-4.079797459245904,-3.7848016671354103,35
-4.585624559741616,-4.65172281922923,-4.62275647014586,-3.969040680440937,-4.071014222869583,-3.776784079234418,36
-4.607024719710456,-4.654267335243067,-4.6195620048270225,-3.921856431646827,-4.062302575469074,-3.7689025856764062,37
-4.627875308803775,-4.656363278535956,-4.615723485444637,-3.8767486987670314,-4.053770369924051,-3.761241466155033,38
-4.6478404715060835,-4.658004171956016,-4.6113009630729165,-3.833909800661407,-4.04552545911418,-3.7538850003639572,39
-4.666584352301889,-4.659183538351366,-4.60635448878607,-3.7935320561898167,-4.037675695919137,-3.7469174679968376,40
-4.6837710956757,-4.659894900570127,-4.600944113658309,-3.7558077842121187,-4.030328933218588,-3.7404231487473334,41
-4.699064846112028,-4.6601317814604215,-4.595129888763846,-3.720929303588174,-4.023593023892204,-3.734486322309103,42
-4.7121297480953785,-4.659887703870365,-4.588971865176888,-3.689088933177841,-4.017575820819657,-3.7291912683758035,43
-4.72262994611026,-4.659156190648081,-4.582530093971653,-3.660478991840981,-4.012385176880618,-3.7246222666410955,44
-4.730229584641184,-4.657930764641689,-4.575864626222347,-3.6352917984374544,-4.008128944954755,-3.7208635967986368,45
-4.734592808172655,-4.656204948699307,-4.569035513003182,-3.6137196718271185,-4.00491497792174,-3.717999538542086,46
-4.735383761189185,-4.653972265669057,-4.56210280538837,-3.5959549308698344,-4.002851128661243,-3.7161143715651006,47
-4.732266588175282,-4.651226238399058,-4.555126554452122,-3.582189894425463,-4.0020452500529355,-3.715292375561342,48
-4.7249054336154535,-4.647960389737432,-4.548166811268649,-3.572616881353864,-4.002605194976487,-3.7156178302244665,49
-4.71296444199421,-4.644168242532298,-4.541283626912161,-3.5674282105148962,-4.004638816311569,-3.7171750152481335,50
-4.693314721067294,-4.638609528459601,-4.5319335304641495,-3.563410831507533,-4.008483598697579,-3.7201905817542964,51
-4.664772425706299,-4.630535191959846,-4.518352003506816,-3.5575753685698293,-4.014068355594043,-3.7245708571902503,52
-4.629919271069506,-4.620675575027984,-4.501767525865453,-3.550449652520273,-4.020887933110832,-3.72991963573767,53
-4.5913369723151956,-4.609761019658968,-4.48340857736534,-3.542561514177348,-4.028437177357813,-3.735840711578226,54
-4.55160724460165,-4.598521867847749,-4.464503637831768,-3.5344387843595397,-4.036210934444852,-3.741937878893594,55
