C1,C2,C3,C4,C5,time
-4.802679794897283,-3.8065094112491717,-4.295309079696477,-5.923237421324306,-3.862589857749348,10
-4.779630749579727,-3.804575632865303,-4.310536385938261,-5.854515835053797,-3.863635975447393,11
-4.747938312268088,-3.8019166875874832,-4.331473932020714,-5.760023653931849,-3.8650743872822035,12
-4.709763330960886,-3.7987138671392007,-4.356694157983669,-5.64620352667132,-3.8668070197195883,13
-4.667266653656643,-3.7951484632439425,-4.384769503866958,-5.5194981019850715,-3.868735799225356,14
-4.622609128353879,-3.7914017676251976,-4.414272409710416,-5.386350028585964,-3.870762652265316,15
-4.577951603051115,-3.787655072006452,-4.443775315553873,-5.253201955186857,-3.872789505305276,16
-4.535454925746873,-3.784089668111194,-4.4718506614371645,-5.126496530500609,-3.8747182848110455,17
-4.497279944439671,-3.7808868476629116,-4.49707088740012,-5.012676403240082,-3.876450917248433,18
-4.465587507128032,-3.778227902385092,-4.5180084334825725,-4.918184222118134,-3.877889329083247,19
-4.442538461810476,-3.776294124001223,-4.533235739724358,-4.849462635847626,-3.878935446781297,20
-4.427055405680803,-3.774442659540092,-4.544557918213844,-4.795209497365448,-3.879149189705878,21
-4.416396466923474,-3.7719498212167455,-4.554761216359376,-4.739955773039826,-3.878212871464522,22
-4.410225790022993,-3.768875648534062,-4.563889777180749,-4.683893781730618,-3.8762120098893886,23
-4.408207519463874,-3.7652801809949215,-4.571987743697756,-4.627215842297686,-3.8732321228126407,24
-4.410005799730623,-3.7612234581022017,-4.579099258930192,-4.57011427360089,-3.86935872806644,25
-4.4152847753077475,-3.756765519358781,-4.58526846589785,-4.512781394500085,-3.864677343482947,26
-4.423708590679758,-3.7519664042675394,-4.5905395076205275,-4.455409523855138,-3.8592734868943244,27
-4.434941390331163,-3.746886152331355,-4.594956527118016,-4.3981909805259045,-3.8532326761327336,28
-4.44864731874647,-3.7415848030531063,-4.598563667410109,-4.341318083372244,-3.8466404290303355,29
-4.464490520410188,-3.7361223959356726,-4.601405071516603,-4.284983151254019,-3.839582263419292,30
-4.482135139806827,-3.7305589704819315,-4.60352488245729,-4.229378503031087,-3.8321436971317655,31
-4.501245321420893,-3.7249545661947625,-4.604967243251965,-4.174696457563309,-3.8244102479999156,32
-4.521485209736898,-3.719369222577046,-4.605776296920424,-4.121129333710546,-3.8164674338559066,33
-4.542518949239347,-3.7138629791316573,-4.605996186482459,-4.068869450332656,-3.8084007725318982,34
-4.564010684412751,-3.708495875361478,-4.605671054957864,-4.018109126289499,-3.8002957818600525,35
-4.5856245597416185,-3.7033279507693853,-4.604845045366434,-3.9690406804409357,-3.7922379796725307,36
-4.607024719710458,-3.6984192448582585,-4.603562300727965,-3.921856431646826,-3.7843128838014954,37
-4.627875308803777,-3.693829797130977,-4.601866964062249,-3.87674869876703,-3.7766060120791063,38
-4.647840471506084,-3.6896196470904172,-4.599803178389081,-3.8339098006614063,-3.7692028823375274,39
-4.666584352301891,-3.685848834239461,-4.597415086728254,-3.7935320561898163,-3.762189012408919,40
-4.683771095675703,-3.682577398080985,-4.594746832099562,-3.7558077842121182,-3.7556499201254425,41
-4.69906484611203,-3.6798653781178694,-4.591842557522804,-3.7209293035881736,-3.7496711233192603,42
-4.712129748095379,-3.6777728138529904,-4.588746406017767,-3.6890889331778407,-3.7443381398225326,43
-4.722629946110261,-3.6763597447892296,-4.58550252060425,-3.660478991840981,-3.739736487467422,44
-4.730229584641184,-3.6756862104294648,-4.582155044302047,-3.6352917984374535,-3.7359516840860905,45
-4.734592808172656,-3.6758122502765733,-4.57874812013095,-3.613719671827118,-3.733069247510698,46
-4.735383761189185,-3.676797903833436,-4.575325891110755,-3.5959549308698344,-3.731174695573408,47
-4.732266588175282,-3.6787032106029303,-4.571932500261254,-3.582189894425463,-3.7303535461063815,48
-4.7249054336154535,-3.681588210087935,-4.568612090602245,-3.572616881353864,-3.7306913169417792,49
-4.71296444199421,-3.6855129417913304,-4.5654088051535195,-3.5674282105148962,-3.732273525911764,50
-4.693314721067294,-3.691629458834226,-4.561120692818516,-3.563410831507533,-3.735332645466188,51
-4.664772425706299,-3.7005140346848546,-4.554891974901246,-3.5575753685698297,-3.7397761840890356,52
-4.6299192710695065,-3.711363039366779,-4.547286053022371,-3.5504496525202733,-3.745202213663669,53
-4.591336972315196,-3.723372842903559,-4.538866328802545,-3.5425615141773483,-3.751208806073447,54
-4.551607244601651,-3.7357398153187558,-4.5301962038624275,-3.5344387843595406,-3.7573940332017317,55
