C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,time
-5.655418135194986,-5.99867186380489,-6.999999999999999,-6.981441122445595,-6.921732428582663,-1.3948181428280875,-7.000000000000003,-6.967350122820924,-6.815766983972212,-6.896832932479985,-7.000000000000002,-6.858535886713851,-6.882207362521772,-1.5717822072290744,10
-5.57131207165827,-5.96063617993548,-6.814621246844769,-6.835866251835916,-6.727798096975487,-1.5577207856025965,-6.862517285468183,-6.818184411935671,-6.621895732937797,-6.794441320057113,-6.876741111024372,-6.701241348040427,-6.681470249502402,-1.7416594714877025,11
-5.455666234295287,-5.908337114615042,-6.559725461256329,-6.635700804747605,-6.461138391015622,-1.7817119194175457,-6.673478552986929,-6.613081559468449,-6.355322762765476,-6.653652852975667,-6.707260138682882,-6.484961357364471,-6.405456719100778,-1.975240709843316,12
-5.316365566562601,-5.845340513206333,-6.2526919013429785,-6.39459242530032,-6.139934654291236,-2.051519421512826,-6.445772807043601,-6.366025850814746,-6.0342235032397245,-6.484066744900286,-6.5031126038169935,-6.224442277686611,-6.0729858756624635,-2.256599928771669,13
-5.161295011916781,-5.77521222107211,-5.910899825213025,-6.126188757613721,-5.782368230390507,-2.3518711691283256,-6.192289052125557,-6.091001571370061,-5.676773384145021,-6.2952822094956185,-6.275854027268176,-5.934430472007485,-5.702876823533024,-2.569811134748514,14
-4.998339513814395,-5.701518083575129,-5.5517284909747655,-5.844137445807462,-5.4066204629016035,-2.6674950395039367,-5.925916292720155,-5.801993006529883,-5.301147835265842,-6.0968984604263055,-6.037039929877892,-5.629672303327725,-5.313948667058019,-2.8989483342496065,15
-4.835384015712008,-5.6278239460781485,-5.192557156736508,-5.562086134001205,-5.030872695412701,-2.983118909879548,-5.659543533314752,-5.512984441689705,-4.925522286386661,-5.8985147113569925,-5.798225832487609,-5.324914134647965,-4.925020510583015,-3.2280855337506984,16
-4.680313461066189,-5.557695653943925,-4.850765080606553,-5.293682466314605,-4.67330627151197,-3.2834706574950485,-5.406059778396708,-5.237960162245019,-4.568072167291958,-5.709730175952324,-5.5709672559387915,-5.034902328968839,-4.5549114584535735,-3.541296739727544,17
-4.541012793333503,-5.494699052535216,-4.543731520693204,-5.052574086867321,-4.352102534787586,-3.5532781595903287,-5.17835403245338,-4.990904453591319,-4.246972907766208,-5.540144067876945,-5.366819721072904,-4.774383249290979,-4.22244061501526,-3.822655958655897,18
-4.425366955970519,-5.4423999872147775,-4.288835735104763,-4.852408639779011,-4.08544282882772,-3.777269293405278,-4.989315299972127,-4.785801601124096,-3.9803999375938868,-5.399355600795498,-5.197338748731414,-4.55810325861502,-3.946427084613636,-4.05623719701151,19
-4.341260892433803,-5.404364303345368,-4.103456981949533,-4.70683376916933,-3.891508497220544,-3.9401719361797864,-4.851832585440306,-4.636635890238842,-3.7865286865594707,-5.296963988372626,-5.074079859755783,-4.400808719941596,-3.7456899715942646,-4.2261144612701385,20
-4.280422330218485,-5.373983254042276,-3.967523786028153,-4.60048717885318,-3.7500762671528753,-4.058952074129454,-4.751954418135225,-4.526806274955349,-3.6449149134797865,-5.225201222072443,-4.9797557220098385,-4.286815088742142,-3.5991321370090072,-4.350308693799659,21
-4.2288964135464475,-5.342366632828301,-3.8487780685769413,-4.508412009006379,-3.6281159346373224,-4.1613206559799565,-4.666594113860045,-4.429942199798703,-3.522332312732377,-5.169128456969047,-4.889325838227953,-4.1899246074449925,-3.472414095884564,-4.458027114717408,22
-4.18604421096439,-5.309658095677465,-3.746319182357716,-4.429864058289959,-3.5245984465007485,-4.248123002736295,-4.594937856890907,-4.345373685922335,-3.4177832174427936,-5.127588652142058,-4.802715981557418,-4.109113819486117,-3.3644914335287566,-4.550123147123334,23
-4.1512267910190115,-5.276001298563789,-3.6592464801322975,-4.364099125364951,-3.4384947495700153,-4.320204435403476,-4.536171831503951,-4.27243075447968,-3.3302699607365884,-5.099424766671099,-4.719851925145522,-4.043359268301492,-3.274319735249407,-4.627450214117381,24
-4.123805222257012,-5.241539897461298,-3.5866593146625063,-4.310373008892391,-3.3687757906719855,-4.3784102749865,-4.489482221975318,-4.2104434266241695,-3.2587948757393135,-5.083479759635793,-4.640659442139558,-3.9916374973270883,-3.200854586354339,-4.690861738799496,25
-4.1031405732250885,-5.206417548344009,-3.5276570387101582,-4.267941507533309,-3.3144125166335194,-4.42358584249037,-4.454055212581144,-4.158741723509234,-3.2023602955765194,-5.078596590115759,-4.565064305686815,-3.95292504999888,-3.1430515721513714,-4.741211144269621,26
-4.088593912469943,-5.17077790718595,-3.481339005037077,-4.236060419948741,-3.2743758742814824,-4.456576458920092,-4.4290769875975755,-4.11665566628831,-3.15996855337376,-5.083618217190623,-4.492992288934586,-3.9261984697528423,-3.0998662779483306,-4.779351853627706,27
-4.079526308538273,-5.13476462996114,-3.4468045664050795,-4.2139855447997165,-3.247636810442735,-4.478227445280666,-4.4137337313007485,-4.083515276114828,-3.130621982256586,-5.097387599940005,-4.42436916503016,-3.910434300024947,-3.0702542890530364,-4.806137289973694,28
-4.075298829976777,-5.098521372643599,-3.423153075575986,-4.200972680747271,-3.2331662719441385,-4.489384122577096,-4.407211627966804,-4.05865057414222,-3.1133229153505484,-5.118747697443528,-4.359120707120826,-3.904609084251168,-3.053171190773311,-4.82242087640753,29
-4.075272545332155,-5.062191791207353,-3.409483885311616,-4.196277626452437,-3.229935205612557,-4.490891811814387,-4.408696861871883,-4.041391581523921,-3.1070736857812005,-5.146541468780812,-4.297172688353877,-3.907699365867479,-3.047572568416977,-4.82905603602916,30
-4.078808523151108,-5.025919541626423,-3.4048963483737875,-4.199156180576246,-3.236914558274852,-4.48359583399754,-4.417375617292125,-4.031068319413363,-3.1108766266740933,-5.179611873031481,-4.238450881876602,-3.9186816883098534,-3.052414007291857,-4.8268961919385305,31
-4.085267831980332,-4.989848279874829,-3.4084898175243223,-4.208864141779733,-3.253075276757886,-4.468341510131557,-4.43243407850367,-4.027010808963977,-3.1237340711547783,-5.216801869275157,-4.182881060836294,-3.936532595014264,-3.0666510927057726,-4.816794767235584,32
-4.0940115403665285,-4.954121661926597,-3.4193636455250394,-4.2246573087239305,-3.2773883078885215,-4.445974161221446,-4.453058429782661,-4.028549071329199,-3.1446483523488094,-5.256954416591463,-4.130388998380243,-3.960228629416685,-3.089239409966548,-4.799605185020272,33
-4.104400716856396,-4.918883343755746,-3.4366171851377567,-4.245791480069871,-3.30882459849362,-4.4173391082722056,-4.478434855405234,-4.0350131276624595,-3.1726218033817357,-5.298912474060018,-4.080900467655737,-3.9887463349530896,-3.119134544382002,-4.776180868392535,34
-4.115796429996631,-4.884276981336298,-3.4593497891242952,-4.271522454478585,-3.346355095400044,-4.383281672288841,-4.5077495396475324,-4.04573299911719,-3.20665675737911,-5.341519000760448,-4.03434124181007,-4.021062255059451,-3.1552920812599585,-4.747375240452318,35
-4.127559748333937,-4.8504462306422775,-3.486660810246474,-4.301106030611109,-3.3889507454346557,-4.344647174276354,-4.540188666785695,-4.060038706846826,-3.245755547466485,-5.383616955772372,-3.9906370939905313,-4.056152933171743,-3.1966676059082406,-4.714041724299571,36
-4.1390517404150104,-4.817534747647704,-3.517649601266113,-4.333798007128475,-3.4355824954243186,-4.302280935239749,-4.574938421095862,-4.0772602720048,-3.2889205067694127,-5.424049298175414,-3.949713797344411,-4.092994912725939,-3.24221670363467,-4.677033743034236,37
-4.149633474786552,-4.7856861883266015,-3.55141551494503,-4.368854182691715,-3.485221292195893,-4.2570282761840295,-4.611184986854174,-4.096727715744542,-3.335153968413443,-5.461658987049194,-3.9114971250190007,-4.130564737158013,-3.2908949597470682,-4.637204719756259,38
-4.15866601999526,-4.755044208652991,-3.587057904045046,-4.405530355961864,-3.5368380825762427,-4.209734518114198,-4.648114548336771,-4.1177710592194865,-3.383458265524129,-5.495288981473337,-3.875912850161591,-4.167838949903938,-3.341657959553258,-4.595408077565586,39
-4.1655104445878335,-4.725752464600894,-3.6236761213279802,-4.443082325599952,-3.589403813392229,-4.1612449820352575,-4.684913289819794,-4.139720323583067,-3.4328357312270223,-5.523782240527463,-3.842886745919471,-4.2037940943996865,-3.393461288361061,-4.552497239562163,40
-4.169527817110971,-4.6979546121443345,-3.660369519555652,-4.480765890267014,-3.6418894314707146,-4.1124049889522105,-4.720767395579382,-4.161905529988715,-3.4822886986476744,-5.545981723291193,-3.8123445854399334,-4.237406714081233,-3.4452605314783002,-4.509325628845934,41
-4.170079206111374,-4.6717943072573345,-3.696237451489882,-4.517836848624084,-3.6932658836385626,-4.064059859870063,-4.754863049891678,-4.183656699589864,-3.5308195009116394,-5.560730388844154,-3.7842121418702677,-4.267653352384553,-3.4960112742127984,-4.466746668516846,42
-4.166525680135739,-4.647415205913913,-3.7303792698924867,-4.553550999332191,-3.742504116722634,-4.017054915793813,-4.786386437032817,-4.204303853539947,-3.5774304711444658,-5.5668711962659625,-3.7584151883577643,-4.293510552745614,-3.544669101872376,-4.425613781674843,43
-4.158228307730767,-4.624960964088096,-3.761894327525288,-4.587164141052371,-3.7885750775497913,-3.9722354777284683,-4.814523741278944,-4.223177012992395,-3.6211239424717077,-5.563247104636243,-3.734879498049715,-4.313954858600396,-3.5901895997648565,-4.386780391419872,44
-4.1445481574431575,-4.604575237753904,-3.7898819771501056,-4.617932072445656,-3.8304497129468973,-3.9304468666790315,-4.838461146906199,-4.239606199100643,-3.6609022480189157,-5.54870107303462,-3.7135308440934103,-4.327962813384868,-3.6315283531980627,-4.351099920851879,45
-4.124846297819607,-4.5864016828853575,-3.8134415715287564,-4.645110592173079,-3.867098969740814,-3.8925344036505036,-4.857384838190718,-4.252921433018122,-3.695767720911642,-5.522076060540711,-3.6942949996361394,-4.334510960535007,-3.6676409474798146,-4.319425793070807,46
-4.098483797406817,-4.570583955456481,-3.831672463423063,-4.667955498895674,-3.8974937947584025,-3.8593434096478885,-4.870480999408644,-4.262452735898266,-3.724722694275438,-5.48221502623414,-3.677097737825194,-4.332575843486784,-3.697482967917937,-4.292611431176604,47
-4.064821724751485,-4.557265711441296,-3.843674005594843,-4.685722591274471,-3.9206051348265274,-3.8317192056761904,-4.87693581483612,-4.267530128894506,-3.746769501235857,-5.427960929194529,-3.661864831807865,-4.3211340056761705,-3.7200099998202494,-4.271510258269213,48
-4.023221148400312,-4.546590606813823,-3.8485455508059156,-4.697667667970507,-3.9354039367720492,-3.8105071127404124,-4.875935468749282,-4.267483633160276,-3.7609104749184494,-5.358156728501503,-3.6485220547314428,-4.299161990539145,-3.7341776284945762,-4.256975697448583,49
-3.9730431368999963,-4.538702297548087,-3.8453864518181025,-4.703046527644813,-3.940861147421831,-3.7965524518455567,-4.866666145424271,-4.261643269849009,-3.7661479484487677,-5.271645383234681,-3.636995179743218,-4.265636341511678,-3.7389414392487397,-4.249861171814656,50
-3.8981319393703933,-4.52986987157162,-3.8351461993564575,-4.705577854793931,-3.941468601692051,-3.7827919372932546,-4.847931280546963,-4.249367215815703,-3.7667687883749976,-5.141152064165777,-3.6224133570103607,-4.211324584631524,-3.738549295330542,-4.2455867256813775,51
-3.7893193239806786,-4.517040289313831,-3.8202716720581558,-4.709254746054327,-3.94235096227434,-3.7628040365931943,-4.820717863681384,-4.231535575285573,-3.767670592355434,-4.951603374423356,-3.601232461215919,-4.132433784491737,-3.7379796848216347,-4.239377858670265,52
-3.65644763785153,-4.5013740155015585,-3.8021083045531943,-4.713744618296923,-3.943428417658744,-3.738396700562469,-4.787487409920903,-4.209761260467373,-3.768771790180791,-4.72014442162231,-3.5753683522809983,-4.036099792361246,-3.737284130280612,-4.231796176842624,53
-3.5093592281036226,-4.484031514861634,-3.78200153147157,-4.718714888392635,-3.9446211563353066,-3.7113778800181674,-4.75070143435889,-4.18565718356986,-3.7699908116417835,-4.463920313377528,-3.5467368901267027,-3.929458459508971,-3.736514154266066,-4.223403286259764,54
-3.357896441857638,-4.4661732521208934,-3.7612967874432806,-4.7238329732123825,-3.945849366794071,-3.6835555257773804,-4.712821452088711,-4.1608362568017885,-3.7712460865291244,-4.200076157303907,-3.517253934674138,-3.819645637203842,-3.7357212793365906,-4.214760792982988,55
-3.2119016262342504,-4.448959692006173,-3.741339507098323,-4.728766289627086,-3.947033237525083,-3.6567375886571996,-4.676308978203738,-4.136911392371914,-3.77245604463353,-3.945757061016336,-3.4888353458444095,-3.7137971767147815,-3.7349570280507804,-4.206430303073605,56
-3.081217128354141,-4.433551299244306,-3.7234751250666944,-4.733182254507663,-3.9480929570183854,-3.6327320194747164,-4.643625527797339,-4.115495502488994,-3.7735391157457117,-3.71810813212971,-3.463396983558623,-3.619048929310717,-3.7342729229672282,-4.198973422592922,57
-2.975685295337985,-4.421108538562129,-3.709049075978391,-4.736748284725032,-3.948948713764023,-3.6133467690470202,-4.617232615962883,-4.098201499361781,-3.7744137296563864,-3.534274478258918,-3.4428547077378826,-3.5425367462605726,-3.733720486644527,-4.192951757602245,58
-2.9051484743064617,-4.412791874686477,-3.6994067944634113,-4.7391317971501135,-3.9495206962520397,-3.6003897881912024,-4.599591757793738,-4.086642295199033,-3.7749983161562675,-3.411401207018857,-3.4291243783032948,-3.4913964788332743,-3.7333512416412713,-4.18892691416288,59
-2.8794490123802476,-4.409761772344186,-3.6958937151517524,-4.740000208653825,-3.94972909297248,-3.5956690277243544,-4.593164468383275,-4.082430802209505,-3.775211305036069,-3.366633426024416,-3.4241218551759647,-3.472763978297747,-3.733216710516054,-4.187460498336135,60
-2.8254046965304656,-4.401964511023914,-3.687261258128435,-4.741473935704788,-3.9521936541769893,-3.5914731276916445,-4.5483322776831505,-4.077534688073087,-3.777305170833748,-3.369864533960065,-3.428831187541499,-3.476143492584552,-3.73553156450033,-4.1894889565972,61
-2.6787129820810587,-4.380800516011746,-3.6638303033508586,-4.745474051985973,-3.958883177446371,-3.5800842561742883,-4.426644902925669,-4.064245235417097,-3.78298852085602,-3.3786346840711103,-3.441613661105091,-3.485316459934451,-3.741814739600507,-4.194994771877236,62
-2.462535718681931,-4.349611470730657,-3.629300475257588,-4.751368960189823,-3.9687414222644075,-3.5633006560434484,-4.24731614012517,-4.044660778871427,-3.7913639840467366,-3.3915591158137044,-3.460450990567227,-3.498834517081671,-3.75107415553761,-4.2031086049215,63
-2.2000347559829936,-4.31173905860362,-3.587371398287189,-4.758527063008786,-3.9807121481148813,-3.5429205701702857,-4.029559785295994,-4.020879653065972,-3.80153418934975,-3.4072530686439975,-3.483324890628393,-3.515249300760438,-3.7623177320326637,-4.212961116475249,64
-1.9143719436341493,-4.270524963053609,-3.541742696878225,-4.766316763135303,-3.9937391144815724,-3.5207422414259613,-3.7925896344524794,-3.9950001926306227,-3.8126017657089113,-3.4243317820181396,-3.508217075989073,-3.5331124477049785,-3.7745533888066927,-4.2236829672837395,65
-1.628709131285303,-4.229310867503599,-3.4961139954692606,-4.774106463261821,-4.006766080848264,-3.498563912681637,-3.555619483608963,-3.969120732195274,-3.8236693420680727,-3.441410495392282,-3.533109261349753,-3.550975594649519,-3.786789045580722,-4.234404818092231,66
-1.3662081685863652,-4.191438455376562,-3.4541849184988616,-4.781264566080783,-4.018736806698737,-3.478183826808474,-3.3378631287797877,-3.945339606389818,-3.8338395473710856,-3.457104448222575,-3.5559831614109183,-3.567390378328286,-3.798032622075776,-4.244257329645979,67
-1.1500309051872382,-4.160249410095472,-3.4196550904055916,-4.787159474284634,-4.028595051516773,-3.461400226677634,-3.1585343659792886,-3.9257551498441483,-3.842215010561802,-3.470028879965169,-3.574820490873054,-3.580908435475506,-3.8072920380128785,-4.252371162690243,68
