C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-5.655418135194986,-5.998671863804886,-6.999999999999999,-6.982009251350323,-6.945212700007866,-1.3948181428280875,-6.955922665808257,-6.971563010198881,-6.825463458500006,-6.8968329324799775,-6.900142978856811,-6.882207362521816,-1.5717822072290741,10
-5.57131207165827,-5.960636179935476,-6.814621246844769,-6.836507668729363,-6.750887256108981,-1.5577207856025965,-6.761131387703084,-6.823904782714069,-6.631221278656222,-6.794441320057107,-6.7528589253886215,-6.681470249502444,-1.7416594714877025,11
-5.455666234295287,-5.90833711461504,-6.559725461256329,-6.6364429926255415,-6.483689770748016,-1.7817119194175457,-6.493293380308472,-6.620874719922456,-6.364138281371019,-6.653652852975661,-6.550343351869862,-6.405456719100802,-1.9752407098433158,12
-5.316365566562601,-5.84534051320633,-6.2526919013429785,-6.395455996409573,-6.161838254290486,-2.051519421512826,-6.170670325946779,-6.376315780650737,-6.042424671004749,-6.484066744900282,-6.306404138313174,-6.0729858756624555,-2.2565999287716685,13
-5.161295011916781,-5.775212221072107,-5.910899825213025,-6.127187453452175,-5.803550717101918,-2.3518711691283256,-5.8115239069403675,-6.104070923725619,-5.684290651917771,-6.295282209495618,-6.0348491647312015,-5.702876823532975,-2.569811134748514,14
-4.998339513814395,-5.701518083575127,-5.5517284909747655,-5.845278137124061,-5.427045169547829,-2.6674950395039367,-5.434115805611595,-5.817983107973797,-5.307946428470439,-6.096898460426307,-5.749486311136586,-5.313948667057926,-2.8989483342496065,15
-4.835384015712008,-5.627823946078147,-5.192557156736509,-5.563368820795947,-5.050539621993739,-2.983118909879548,-5.056707704282822,-5.531895292221976,-4.931602205023105,-5.898514711356999,-5.464123457541971,-4.9250205105828755,-3.2280855337506984,16
-4.680313461066189,-5.557695653943924,-4.850765080606553,-5.295100277838548,-4.69225208480517,-3.2834706574950485,-4.697561285276409,-5.259650435296857,-4.573468185936127,-5.709730175952334,-5.192568483959998,-4.554911458453392,-3.541296739727544,17
-4.541012793333503,-5.494699052535215,-4.543731520693204,-5.0541132816225804,-4.370400568347642,-3.5532781595903287,-4.374938230914718,-5.015091496025141,-4.251754575569859,-5.540144067876956,-4.948629270403311,-4.222440615015044,-3.822655958655897,18
-4.425366955970519,-5.4423999872147775,-4.2888357351047635,-4.854048605518758,-4.103203082986675,-3.777269293405278,-4.1071002235201055,-4.812061433233525,-3.9846715782846562,-5.39935560079551,-4.746113696884551,-3.9464270846133953,-4.05623719701151,19
-4.341260892433803,-5.404364303345368,-4.103456981949533,-4.708547022897797,-3.9088776390877897,-3.9401719361797864,-3.9123089454149325,-4.664403205748715,-3.7904293984408715,-5.29696398837264,-4.598829643416361,-3.7456899715940155,-4.2261144612701385,20
-4.280422330218485,-5.373983254042276,-3.967523786028153,-4.602383417588287,-3.7670023770757237,-4.058952074129454,-3.770152140299818,-4.555857648268889,-3.6485220946701973,-5.2252012220724575,-4.490621157350294,-3.5991321370087594,-4.350308693799659,21
-4.2288964135464475,-5.342366632828301,-3.848778068576941,-4.510730189758842,-3.644339129086342,-4.1613206559799565,-3.647364533252563,-4.460477930645336,-3.5256396369152267,-5.1691284569690605,-4.395630851792927,-3.472414095884319,-4.458027114717408,22
-4.18604421096439,-5.309658095677465,-3.746319182357716,-4.4328243872902116,-3.5398814430518524,-4.248123002736295,-3.542928278661304,-4.377575514434417,-3.4207860965026655,-5.127588652142071,-4.313114455389446,-3.3644914335285154,-4.550123147123334,23
-4.1512267910190115,-5.276001298563789,-3.659246480132297,-4.367903058063143,-3.452622866904462,-4.320204435403476,-3.4558255309141765,-4.306461861192497,-3.332965544759223,-5.099424766671113,-4.242327696785034,-3.2743197352491715,-4.627450214117381,24
-4.123805222257012,-5.241539897461298,-3.586659314662506,-4.315203249958384,-3.3815569485763803,-4.3784102749865,-3.3850384443993176,-4.246448432475939,-3.261182053011606,-5.0834797596358055,-4.182526304624878,-3.2008545863541094,-4.690861738799496,25
-4.1031405732250885,-5.206417548344009,-3.527657038710158,-4.2739620108566845,-3.3256772359998137,-4.42358584249037,-3.329549173504861,-4.196846689841101,-3.2044396925865213,-5.0785965901157715,-4.13296600755416,-3.1430515721511503,-4.741211144269621,26
-4.088593912469943,-5.17077790718595,-3.481339005037076,-4.243416388638793,-3.283977277106973,-4.456576458920092,-3.288339872618944,-4.156968094844352,-3.1617425348106782,-5.083618217190636,-4.092902534218065,-3.099866277948118,-4.7793518536277055,27
-4.079526308538273,-5.13476462996114,-3.446804566405079,-4.222803431185458,-3.2554506198300652,-4.478227445280666,-3.2603926961297027,-4.126124109042051,-3.132094651010784,-5.097387599940018,-4.061591613261778,-3.070254289052833,-4.806137289973694,28
-4.075298829976777,-5.098521372643599,-3.4231530755759847,-4.211360186377428,-3.2390908121012973,-4.489384122577096,-3.244689798425272,-4.103626193990561,-3.1145001125135443,-5.118747697443538,-4.0382889733304825,-3.0531711907731176,-4.822420876407529,29
-4.075272545332155,-5.062191791207353,-3.409483885311614,-4.20832370209545,-3.2338914018528793,-4.490891811814387,-3.240213333893789,-4.088785811246247,-3.107962990645669,-5.146541468780823,-4.022250343069364,-3.0475725684167947,-4.82905603602916,30
-4.078808523151108,-5.025919541626424,-3.4048963483737866,-4.212931026220275,-3.238845937017018,-4.48359583399754,-3.245945456923389,-4.080914422365468,-3.111487356733865,-5.179611873031492,-4.012731451123606,-3.052414007291686,-4.82689619193853,31
-4.085267831980332,-4.989848279874829,-3.408489817524321,-4.22441920663265,-3.252947965525923,-4.468341510131557,-3.2608683219022074,-4.07932348890459,-3.1240772821048393,-5.216801869275166,-4.008988026138392,-3.066651092705613,-4.816794767235583,32
-4.0940115403665285,-4.954121661926598,-3.419363645525038,-4.2420252912133245,-3.2751910353118023,-4.445974161221446,-3.2839640832183816,-4.083324472419974,-3.1447368380853007,-5.256954416591472,-4.0102757967589096,-3.0892394099664,-4.799605185020271,33
-4.104400716856396,-4.918883343755747,-3.4366171851377554,-4.2649863278430455,-3.304568694306863,-4.4173391082722056,-3.314214895260046,-4.092228834467984,-3.172470096001956,-5.298912474060026,-4.01585049163034,-3.119134544381867,-4.776180868392534,34
-4.115796429996631,-4.884276981336299,-3.459349789124294,-4.292539364402564,-3.340074490443313,-4.383281672288841,-3.350602912415337,-4.1053480366049815,-3.206281127181512,-5.341519000760455,-4.024967839397869,-3.155292081259836,-4.747375240452318,35
-4.127559748333937,-4.8504462306422775,-3.4866608102464727,-4.323921448772626,-3.380701971653363,-4.344647174276354,-3.3921102890723906,-4.12199354038733,-3.245174002950678,-5.3836169557723785,-4.036883568706681,-3.19666760590813,-4.71404172429957,36
-4.1390517404150104,-4.817534747647705,-3.517649601266111,-4.358369628833982,-3.4254446858692194,-4.302280935239749,-3.437719179619344,-4.141476807371393,-3.2881527946361615,-5.42404929817542,-4.05085340820196,-3.242216703634572,-4.677033743034235,37
-4.149633474786552,-4.7856861883266015,-3.551415514945028,-4.395120952467378,-3.47329618102309,-4.2570282761840295,-3.4864117384443305,-4.163109299113531,-3.3342215735646685,-5.4616589870492,-4.0661330865288905,-3.2908949597469817,-4.637204719756258,38
-4.15866601999526,-4.755044208652991,-3.5870579040450443,-4.433412467553565,-3.523250005047184,-4.209734518114198,-3.5371701199354875,-4.186202477170108,-3.3823844110629073,-5.495288981473341,-4.081978332332658,-3.341657959553183,-4.595408077565585,39
-4.1655104445878335,-4.7257524646008955,-3.623676121327978,-4.4724812219732915,-3.5742997058737087,-4.1612449820352575,-3.588976478480951,-4.210067803097488,-3.431645378457586,-5.523782240527467,-4.097644874258445,-3.3934612883609976,-4.552497239562161,40
-4.169527817110971,-4.697954612144335,-3.66036951955565,-4.511564263607306,-3.6254388314348733,-4.1124049889522105,-3.6408129684688566,-4.2340167384520315,-3.4810085470754117,-5.545981723291197,-4.112388440951436,-3.4452605314782474,-4.509325628845933,41
-4.170079206111374,-4.6717943072573345,-3.6962374514898797,-4.549898640336356,-3.675660929662887,-4.064059859870063,-3.6916617442873414,-4.257360744790103,-3.5294779882430936,-5.560730388844157,-4.125464761056819,-3.4960112742127563,-4.466746668516844,42
-4.166525680135739,-4.647415205913914,-3.7303792698924845,-4.586721400041189,-3.723959548489955,-4.017054915793813,-3.740504960324539,-4.279411283668062,-3.576057773287337,-5.566871196265964,-4.136129563219773,-3.544669101872343,-4.4256137816748415,43
-4.158228307730767,-4.624960964088097,-3.761894327525286,-4.621269590602557,-3.7693282358482874,-3.9722354777284683,-3.786324770968587,-4.299479816642275,-3.61975197353485,-5.563247104636245,-4.143638576085486,-3.5901895997648317,-4.3867803914198715,44
-4.1445481574431575,-4.604575237753905,-3.789881977150103,-4.652780259901206,-3.8107605396700928,-3.9304468666790315,-3.8281033306076213,-4.316877805269104,-3.6595646603123417,-5.5487010730346205,-4.147247528299142,-3.631528353198045,-4.351099920851877,45
-4.124846297819607,-4.586401682885359,-3.813441571528754,-4.680490455817884,-3.847250007887578,-3.8925344036505036,-3.8648227936297768,-4.33091671110491,-3.6944999049465177,-5.522076060540711,-4.146212148505925,-3.667640947479803,-4.319425793070806,46
-4.098483797406817,-4.570583955456482,-3.83167246342306,-4.703637226233341,-3.877790188432952,-3.8593434096478885,-3.89546531442319,-4.340907995706059,-3.723561778764087,-5.482215026234141,-4.139788165351018,-3.69748296791793,-4.292611431176602,47
-4.064821724751485,-4.557265711441297,-3.8436740055948406,-4.721457619028326,-3.9013746292384237,-3.8317192056761904,-3.919013047375997,-4.346163120628909,-3.7457543530917565,-5.42796092919453,-4.127231307479606,-3.720009999820247,-4.271510258269212,48
-4.023221148400312,-4.546590606813824,-3.8485455508059134,-4.733188682083586,-3.916996878236199,-3.8105071127404124,-3.9344481468763335,-4.345993547429826,-3.7600816992562343,-5.358156728501503,-4.107797303536875,-3.7341776284945762,-4.256975697448581,49
