C1,C2,C3,C4,C5,C6,C7,time
-5.506311189471553,-4.312774843068625,-5.586881606829497,-6.035840912482269,-6.056810716504644,-6.384539944718964,-3.162445590094104,10
-5.4494962479769065,-4.255054912879752,-5.40017144047896,-5.771874593847752,-5.965495622392077,-6.074967455639396,-3.152728780276736,11
-5.395906525766498,-4.200853683531185,-5.226034556288624,-5.525984155249724,-5.880331905242648,-5.7892203782385865,-3.143717544682265,12
-5.345542022840326,-4.150171155022925,-5.06447095425849,-5.298169596688185,-5.801319565056353,-5.527298712516533,-3.135411883310692,13
-5.298402739198394,-4.103007327354972,-4.915480634388556,-5.088430918163137,-5.728458601833195,-5.2892024584732384,-3.127811796162017,14
-5.254488674840702,-4.0593622005273255,-4.779063596678825,-4.896768119674577,-5.6617490155731724,-5.074931616108702,-3.1209172832362397,15
-5.213799829767249,-4.019235774539986,-4.655219841129296,-4.723181201222509,-5.6011908062762865,-4.884486185422922,-3.1147283445333604,16
-5.176336203978039,-3.982628049392954,-4.543949367739968,-4.567670162806929,-5.546783973942537,-4.7178661664159005,-3.10924498005338,17
-5.1420977974730695,-3.9495390250862275,-4.4452521765108415,-4.430235004427841,-5.4985285185719235,-4.575071559087637,-3.1044671897962974,18
-5.111084610252344,-3.919968701619808,-4.359128267441917,-4.310875726085242,-5.4564244401644455,-4.4561023634381325,-3.100394973762113,19
-5.083296642315861,-3.893917078993695,-4.285577640533193,-4.209592327779134,-5.420471738720103,-4.360958579467384,-3.0970283319508267,20
-5.062706290601389,-3.872394811024625,-4.225721982839546,-4.133977949169899,-5.39396367870838,-4.304362009611157,-3.0945908018244443,21
-5.051520442296572,-3.8559633720552284,-4.1801844538359045,-4.08825100117997,-5.378729851501211,-4.294491433000424,-3.0932065708618586,22
-5.047090832776235,-3.8439489928743495,-4.148217262152355,-4.067349390702429,-5.372574747452273,-4.3215323146780165,-3.092726614088398,23
-5.0467691974151965,-3.835677904270829,-4.129072616418977,-4.06621102463035,-5.373302856915246,-4.375670119686756,-3.093001906529393,24
-5.04790727158828,-3.830476337033509,-4.122002725265857,-4.079773809856814,-5.3787186702438055,-4.447090313069472,-3.0938834232101717,25
-5.0478567906703065,-3.827670521951235,-4.126259797323078,-4.102975653274897,-5.386626677791633,-4.525978359868988,-3.095222139156064,26
-5.043969490036098,-3.8265866898128484,-4.141096041220724,-4.130754461777679,-5.394831369912405,-4.602519725128134,-3.0968690293924,27
-5.0335971050604735,-3.8265510714071906,-4.165763665588877,-4.158048142258235,-5.401137236959798,-4.6668998738897285,-3.0986750689445075,28
-5.014091371118259,-3.8268898975231065,-4.199514879057622,-4.179794601609649,-5.4033487692874935,-4.709304271196606,-3.1004912328377183,29
-4.982804023584272,-3.8269293989494373,-4.241601890257042,-4.190931746724994,-5.399270457249168,-4.719918382091588,-3.10216849609736,30
-4.942355071288162,-3.8310049778184885,-4.309363920281572,-4.200449647708459,-5.39649599202857,-4.7006993586580155,-3.1014719575498884,31
-4.896946423191027,-3.842223914496815,-4.413209357085813,-4.218592365988066,-5.401520915768413,-4.6629125438607355,-3.0973145498504002,32
-4.8463026648648695,-3.8580702571246346,-4.541994159590094,-4.242178795442646,-5.41050249526082,-4.6107056890648455,-3.0912689987671866,33
-4.790148381881692,-3.8760280538421648,-4.684574286714746,-4.268027829951034,-5.419597997297917,-4.548226545635435,-3.0849080300685396,34
-4.728208159813493,-3.893581352789621,-4.829805697380095,-4.292958363392059,-5.4249646886718255,-4.479622864937598,-3.079804369522748,35
-4.660206584232274,-3.908214202107222,-4.966544350506476,-4.313789289644555,-5.422759836174672,-4.4090423983364255,-3.0775307428981056,36
