C1,C2,C3,C4,C5,C6,C7,C8,time
-5.512387726739539,-5.642899657519002,-3.5672683988194707,-5.834887202196275,-5.84645047075629,-3.450601620253098,-5.325058775832327,-4.736373201954367,10
-5.43447392185875,-5.467392425774718,-3.5846213111389833,-5.6296991030816,-5.703413275974008,-3.4323664872350728,-5.207943150585144,-4.6732465924241575,11
-5.361393844842748,-5.3042873496328875,-3.6009089979312137,-5.439079934304522,-5.569317623684201,-3.4154514305774133,-5.098638490516448,-4.613970440420571,12
-5.293147495691533,-5.153584429093511,-3.6161314591961604,-5.263029695865044,-5.444163513886866,-3.3998564502801187,-4.997144795626237,-4.558544745943608,13
-5.229734874405108,-5.015283664156589,-3.630288694933825,-5.101548387763166,-5.327950946582005,-3.3855815463431895,-4.903462065914514,-4.506969508993267,14
-5.171155980983473,-4.88938505482212,-3.6433807051442075,-4.954636009998886,-5.220679921769619,-3.372626718766625,-4.817590301381278,-4.4592447295695505,15
-5.117410815426625,-4.775888601090106,-3.6554074898273075,-4.822292562572206,-5.122350439449707,-3.3609919675504254,-4.73952950202653,-4.415370407672457,16
-5.068499377734571,-4.674794302960546,-3.6663690489831247,-4.704518045483125,-5.032962499622268,-3.350677292694591,-4.669279667850267,-4.375346543301987,17
-5.0244216679073075,-4.58610216043344,-3.67626538261166,-4.601312458731644,-4.952516102287303,-3.341682694199121,-4.6068407988524935,-4.339173136458141,18
-4.985177685944834,-4.509812173508789,-3.6850964907129122,-4.512675802317759,-4.881011247444812,-3.3340081720640145,-4.552212895033205,-4.306850187140917,19
-4.950767431847154,-4.445924342186592,-3.692862373286883,-4.438608076241476,-4.818447935094795,-3.327653726289272,-4.505395956392405,-4.2783776953503185,20
-4.925064568103525,-4.396795812308485,-3.69696356001806,-4.38577847338634,-4.768487173511429,-3.3233133625411835,-4.470780394295203,-4.254731608275564,21
-4.9102211294302,-4.363736109342042,-3.6959559007311586,-4.357892100909883,-4.733162856180366,-3.321372639523243,-4.450805326166659,-4.236454118799553,22
