C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,time
-4.751740609895858,-4.845090151487332,-5.341062305720039,-5.172243161149065,-3.6447175368570885,-4.986967692603434,-4.338256208528061,-4.37266972307944,-5.246236926283293,-5.394562154909154,-4.635915533872632,-4.82339604973562,-4.031082501533122,-4.50586717215776,-4.384074772913052,-5.387344127072778,-4.449657181328342,20
-4.66505663175271,-4.730490306079715,-5.3034792761589395,-4.743271186180024,-3.6192220903040435,-5.163380777543034,-4.105531206960913,-4.198968257172414,-4.911173740029976,-5.051063341795221,-4.377859943134056,-4.511553745273263,-3.921787685549332,-4.322054803113022,-4.227991664661359,-5.0330955780101,-4.225022948904993,21
-4.587171712375044,-4.5640277569109875,-5.248887868256322,-4.358423004351004,-3.5821885584496203,-5.317650560425875,-3.896996067762063,-4.042890988400724,-4.614345691136199,-4.746323578771004,-4.1481410706116,-4.23324095787152,-3.8244511852799636,-4.156620337518045,-4.08799994986036,-4.718813906914026,-3.8987294288156042,22
-4.518085851762865,-4.360759417976311,-5.182225998304885,-4.017698615662006,-3.536966707994219,-5.449777041251962,-3.712650790931514,-3.9044379167643726,-4.355752779601965,-4.480342865836505,-3.9467589163052663,-3.988457687530391,-3.739073000725017,-4.00956377537283,-3.9640996285100556,-4.44449911378456,-3.5002906078019302,23
-4.457799049916168,-4.135742203270845,-5.108431582597325,-3.7210980201130264,-3.4869063056382394,-5.55976022002129,-3.5524953764692633,-3.783609042263359,-4.13539500542727,-4.253121202991721,-3.7737134802150525,-3.777203934249874,-3.6656531318844907,-3.8808851166773746,-3.856290700610446,-4.210151198621697,-3.0592204726057206,24
-4.406311306834954,-3.904033026789752,-5.032442537426346,-3.468621217704067,-3.435357118082082,-5.647600096733862,-3.416529824375312,-3.6804043648976816,-3.953272368612115,-4.064658590236654,-3.62900476234096,-3.599479698029972,-3.6041915787583867,-3.7705843614316796,-3.76457316616153,-4.015770161425439,-2.605033009968732,25
-4.363622622519226,-3.6806888025281936,-4.959196779084642,-3.2602682084351273,-3.385668912026148,-5.713296671389677,-3.3047541346496594,-3.5948238846673424,-3.809384869156501,-3.914955027571304,-3.5126327626829883,-3.455284978870683,-3.554688341346704,-3.678661509635746,-3.6889470251633085,-3.8613560021957856,-2.167242206632718,26
-4.329732996968981,-3.48076644448133,-4.893632223864914,-3.0960389923062084,-3.3411914541708354,-5.756849943988736,-3.2171683072923063,-3.5268676015723406,-3.703732507060429,-3.8040105149956704,-3.4245974812411384,-3.3446197767720074,-3.517143419649442,-3.6051165612895737,-3.629412277615781,-3.7469087209327396,-1.775362049339432,27
-4.30464243018422,-3.3193228666443235,-4.840686788059863,-2.9759335693173097,-3.3052745112165454,-5.778259914531038,-3.153772342303252,-3.4765355156126767,-3.6363152823238964,-3.7318250525097527,-3.3648989180154096,-3.267484091733946,-3.4915568136666026,-3.5499495163931614,-3.5859689235189482,-3.672428317636297,-1.4589065248306283,28
-4.288350922164943,-3.211414983012334,-4.8052983879621864,-2.899951939468431,-3.2812678498636783,-5.7775265830165825,-3.114566239682496,-3.4438276267883503,-3.6071331949469054,-3.6983986401135525,-3.333537073005803,-3.223877923756498,-3.4779285233981843,-3.51316037494651,-3.55861696287281,-3.63791479230646,-1.2473896198480598,29
-4.2808584729111505,-3.172099707580524,-4.792404939864583,-2.868094102759573,-3.2725212368126333,-5.75464994944537,-3.099549999430039,-3.428743935099362,-3.6161862449294553,-3.7037312778070692,-3.330511946212317,-3.213801272839664,-3.4762585488441875,-3.4947491369496193,-3.547356395677366,-3.643368144943228,-1.1703253211334803,30
-4.295515516717703,-3.224452246166124,-4.7786126214579525,-2.9214961582473853,-3.280998424529194,-5.695724226784678,-3.132662908895021,-3.4485048700280867,-3.7030622631385364,-3.7867883823669426,-3.3845416084509843,-3.2701084648707663,-3.4997860672734276,-3.512189789279648,-3.5688475239962556,-3.7290090421924913,-1.2504522514103684,31
-4.339738961526192,-3.3665519937556088,-4.741176328639957,-3.083011494296673,-3.3040079340455715,-5.5930239777941075,-3.2272045721602964,-3.5126773368425113,-3.8897544889447,-3.9692174075579714,-3.5115805435084884,-3.41105190312054,-3.5558661771685784,-3.5751901024239077,-3.6323460711981648,-3.9171822988575213,-1.4679396335904933,32
