C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,time
-4.751740609895853,-5.323802123992677,-4.960192618940301,-4.915824904904045,-4.1996816870673355,-5.320085094771891,-3.364487350466353,-4.3505193177575,-4.659213104493706,-5.072584633991923,-4.511523614295098,-5.3227385631562685,-4.435152466526141,-5.239898607041634,-3.75396428942875,-4.994537639775088,-4.5058671721577594,-4.142195024307062,-3.7772321123415584,-4.44965718132834,-4.281734706461704,20
-4.665056631752704,-5.228898719112986,-4.601772711299789,-5.0737441168134,-4.441653139904348,-5.538008800425119,-3.336762133376634,-4.1992571820281075,-4.393377211994015,-4.827729116146558,-4.382116456957277,-5.002302404483661,-4.318913377190134,-5.366991574654142,-3.6601593065637195,-4.6748650374473915,-4.322054803113021,-4.121590581692003,-3.7357578671804816,-4.225022948904993,-4.242809005364866,21
-4.5871717123750395,-5.144701036682466,-4.280737640647245,-5.212298523124076,-4.656923918207596,-5.72874302896312,-3.3119759996082627,-4.0637718604126,-4.156951096402825,-4.60849893692266,-4.2669366512456675,-4.7179431128002856,-4.215197569369907,-5.483613191994069,-3.576551536846236,-4.39048156895959,-4.156620337518044,-4.103652357908214,-3.6989738044057945,-3.8987294288156025,-4.208622714728238,22
-4.51808585176286,-5.07120907670112,-3.9970874069826685,-5.331488123836076,-4.84549402197708,-5.892287780385895,-3.29012894916124,-3.944063352910977,-3.949934757720134,-4.414894096320231,-4.165984197160272,-4.469660688106144,-4.124005043065464,-5.589763459061419,-3.5031409802763016,-4.141387234311686,-4.009563775372828,-4.088380352955696,-3.666879924017498,-3.500290607801929,-4.179175834551819,23
-4.457799049916164,-5.008422839168944,-3.7508220103060568,-5.431312918949397,-5.0073634512127985,-6.028643054693446,-3.2712209820355667,-3.840131659523236,-3.7723281959459434,-4.24691459433927,-4.079259094701088,-4.257455130401233,-4.0453357982768035,-5.685442375856189,-3.4399276368539144,-3.9275820335036764,-3.880885116677372,-4.075774566834448,-3.6394762260155904,-3.05922047260572,-4.154468364835609,24
-4.406311306834953,-4.95634232408594,-3.541941450617411,-5.511772908464039,-5.142532205914752,-6.137808851885771,-3.2552520982312405,-3.751976780249381,-3.6241314110802536,-4.1045604309797765,-4.006761343868116,-4.081326439685554,-3.979189835003925,-5.770649942378383,-3.3869115065790742,-3.7490659665355626,-3.770584361431678,-4.065834999544469,-3.616762710400072,-2.6050330099687313,-4.134500305579609,25
-4.363622622519224,-4.914967531452106,-3.3704457279167297,-5.572868092380004,-5.2510002860829434,-6.2197851719628705,-3.242222297748264,-3.6795987150894094,-3.5053444031230643,-3.9878316062417505,-3.948490944661357,-3.9412746159591077,-3.9255671532468295,-5.845386158627997,-3.344092589451782,-3.6058390334073454,-3.6786615096357442,-4.058561651085761,-3.598739377170944,-2.1672422066327175,-4.119271656783819,26
-4.329732996968981,-4.884298461267446,-3.236334842204012,-5.614598470697291,-5.332767691717369,-6.274572014924746,-3.232131580586636,-3.622997464043322,-3.415967172074376,-3.8967281201251933,-3.9044478970808103,-3.8372996592218946,-3.884467753005517,-5.9096510246050356,-3.3114708854720383,-3.4979012341190243,-3.605116561289571,-4.053954521458324,-3.5854062263282063,-1.7753620493394315,-4.108782418448238,27
-4.30464243018422,-4.864335113531955,-3.1396087934792583,-5.636964043415899,-5.387834422818029,-6.302169380771396,-3.2249799467463562,-3.5821730271111174,-3.355999717934187,-3.831249972630104,-3.8746322011264756,-3.769401569473912,-3.8558916342799883,-5.963444540309493,-3.2890463946398416,-3.425252568670599,-3.5499495163931583,-4.052013610662156,-3.5767632578718582,-1.4589065248306283,-4.103032590572868,28
-4.288350922164943,-4.855077488245637,-3.080267581742467,-5.639964810535828,-5.416200479384926,-6.30257726950282,-3.220767396227426,-3.5571254042927984,-3.325442040702499,-3.7913971637564834,-3.8590438567983534,-3.7375803467151623,-3.8398387970702426,-6.006766705741374,-3.276819116955193,-3.38789303706207,-3.5131603749465072,-4.05273891869726,-3.5728104718019003,-1.2473896198480596,-4.102022173157708,29
-4.2808584729111505,-4.856525585408491,-3.058311206993638,-5.623600772057079,-5.4178658614180595,-6.27579568111902,-3.219493929029844,-3.5478545955883622,-3.3242941403793114,-3.77716969350433,-3.857682864096443,-3.7418359909456447,-3.83630924137628,-6.039617520900677,-3.2747890524180923,-3.3858226392934365,-3.494749136949616,-4.056130445563634,-3.573547868118332,-1.1703253211334803,-4.105751166202756,30
-4.295515516717703,-4.8857543082529835,-3.109458892657304,-5.576451130003894,-5.373846617811364,-6.202922385756476,-3.2253786141460945,-3.570592211923389,-3.3824715772398677,-3.8132615809762376,-3.8859816397310074,-3.8184403290752527,-3.8588326234463124,-6.063405670292077,-3.2939304067374273,-3.4542480047448088,-3.5121897892796454,-4.066450822457386,-3.584368955795485,-1.2504522514103684,-4.120631965363675,31
-4.3397389615261925,-4.9522497141304855,-3.253554651747095,-5.4921709966119625,-5.273596109061467,-6.073456144602119,-3.2407653787942237,-3.6343558149232003,-3.516594106992637,-3.913391725673643,-3.95251374854108,-3.987544376053927,-3.91492541897379,-6.07891375641817,-3.34033996086258,-3.6127283719606913,-3.575190102423905,-4.086068177820803,-3.608270128707986,-1.4679396335904933,-4.150227012671384,32
-4.404628517806708,-5.044628534219352,-3.466785668646656,-5.378374237198458,-5.129770302572418,-5.899998444231632,-3.262841510312575,-3.7283243306374096,-3.706718022787456,-4.06109744819482,-4.046990912719821,-4.224966913941738,-3.9955678571265714,-6.08520265627584,-3.4067015776542924,-3.8377926546876777,-3.6721007517976227,-4.112140757523142,-3.641655714206283,-1.7884473546980444,-4.190261377688779,33
-4.481283896029345,-5.151507499697939,-3.7253391277396353,-5.24267471708055,-4.955025165748254,-5.69515077122069,-3.288794296039494,-3.8416766851156314,-3.9328996177741633,-4.239916069138042,-4.159124854460389,-4.506526724798759,-4.091740167072517,-6.08133324686197,-3.485699119973305,-4.105969766672365,-3.7912724128160264,-4.141826807433664,-3.680930039640821,-2.1776353017572165,-4.236460129978753,34
-4.560804806664193,-5.261503341744601,-4.005402213409673,-5.092686301575412,-4.762016665993023,-5.471514612144979,-3.315811023313324,-3.9635918044074794,-4.175195185102595,-4.433384909101579,-4.27862729595594,-4.808042590685057,-4.194422577979484,-6.0663664051734445,-3.5700164506803596,-4.39378862166134,-3.921055760894341,-4.1722845734216305,-3.722497432362046,-2.601163361792195,-4.284548339104198,35
-4.634290960181346,-5.363232791537692,-4.2831621100404185,-4.936022856000215,-4.563400770710766,-5.241691453580175,-3.34107897947241,-4.083248614562569,-4.413661017922592,-4.625041288683707,-4.395209959399634,-5.105333293660706,-4.2945953190153325,-6.039363008207146,-3.6523374326361977,-4.677778133401202,-4.049801471447795,-4.200672301356301,-3.762762219720405,-3.0246914218271743,-4.330251074628009,36
-4.692842067050894,-5.44531258025557,-4.534806002015516,-4.780298245672133,-4.3718334473055265,-5.018282782101959,-3.3617854518550963,-4.189826041630514,-4.628353409383989,-4.7984225284826945,-4.498584566984632,-5.3742176157857795,-4.383238619347921,-5.99938393295996,-3.7253459287015604,-4.934467215638544,-4.165860219891617,-4.224148237106938,-3.7981287290663426,-3.413879368886345,-4.369293406113079,37
-4.727557837742932,-5.496359439076587,-4.736521073718609,-4.633126335908336,-4.1999706631813485,-4.813890084286012,-3.3751177277997275,-4.272503011660928,-4.799328652636624,-4.937065949096815,-4.578462840904089,-5.590514339120344,-4.451332708145108,-5.94549005642877,-3.7817258017371884,-5.140384782119959,-4.257582681641033,-4.239870626542799,-3.8250012877503052,-3.734387089993896,-4.397400403122303,38
