C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-4.751740609895855,-5.323802123992677,-4.960192618940328,-4.915824904904046,-4.1996816870673355,-5.320085094771889,-3.3644873504663524,-4.657535921567638,-3.390593051438975,-4.6592131044937055,-5.072584633991926,-4.511523614295104,-4.43515246652614,-5.2398986070416305,-3.7539642894287493,-4.994537639775095,-4.505867172157763,-4.14219502430706,-4.538030456786249,-3.7772321123415575,-4.44965718132834,-4.281734706461701,20
-4.665056631752705,-5.228898719112986,-4.601772711299817,-5.0737441168134,-4.441653139904348,-5.538008800425116,-3.3367621333766335,-4.452850410171968,-3.362566265843465,-4.393377211994014,-4.82772911614656,-4.382116456957283,-4.318913377190132,-5.366991574654138,-3.6601593065637186,-4.674865037447399,-4.322054803113025,-4.1215905816920015,-4.458224814098752,-3.7357578671804808,-4.225022948904993,-4.242809005364863,21
-4.587171712375041,-5.144701036682466,-4.280737640647271,-5.212298523124077,-4.656923918207596,-5.728743028963117,-3.3119759996082623,-4.270352255903448,-3.3374389568283584,-4.156951096402823,-4.608498936922662,-4.266936651245673,-4.215197569369905,-5.483613191994066,-3.5765515368462353,-4.390481568959595,-4.1566203375180475,-4.103652357908214,-4.386780187176871,-3.698973804405794,-3.8987294288156025,-4.208622714728234,22
-4.51808585176286,-5.07120907670112,-3.9970874069826916,-5.331488123836077,-4.845494021977079,-5.892287780385893,-3.2901289491612404,-4.1100414587620815,-3.315211124393657,-3.9499347577201336,-4.414894096320234,-4.1659841971602765,-4.124005043065463,-5.589763459061417,-3.503140980276301,-4.141387234311692,-4.009563775372832,-4.088380352955696,-4.323696576020605,-3.666879924017498,-3.500290607801929,-4.179175834551816,23
-4.457799049916162,-5.008422839168944,-3.7508220103060754,-5.431312918949398,-5.007363451212798,-6.028643054693443,-3.2712209820355667,-3.9719180187478655,-3.295882768539359,-3.772328195945943,-4.246914594339271,-4.079259094701091,-4.045335798276802,-5.68544237585619,-3.439927636853913,-3.927582033503681,-3.8808851166773763,-4.075774566834448,-4.268973980629956,-3.63947622601559,-3.05922047260572,-4.154468364835606,24
-4.406311306834949,-4.95634232408594,-3.5419414506174247,-5.5117729084640414,-5.142532205914753,-6.1378088518857705,-3.2552520982312414,-3.8559819358608003,-3.2794538892654654,-3.624131411080253,-4.1045604309797765,-4.006761343868119,-3.9791898350039245,-5.770649942378384,-3.3869115065790742,-3.7490659665355683,-3.7705843614316814,-4.065834999544469,-4.2226124010049215,-3.616762710400072,-2.6050330099687313,-4.134500305579607,25
-4.3636226225192205,-4.914967531452106,-3.370445727916739,-5.5728680923800065,-5.251000286082942,-6.2197851719628705,-3.2422222977482646,-3.762233210100888,-3.2659244865719756,-3.5053444031230647,-3.987831606241751,-3.9484909446613585,-3.925567153246829,-5.845386158628,-3.344092589451782,-3.6058390334073502,-3.678661509635748,-4.058561651085761,-4.184611837145504,-3.598739377170945,-2.1672422066327175,-4.119271656783817,26
-4.329732996968975,-4.884298461267446,-3.236334842204017,-5.614598470697294,-5.332767691717367,-6.274572014924746,-3.232131580586637,-3.690671841468127,-3.2552945604588905,-3.415967172074376,-3.8967281201251933,-3.904447897080811,-3.884467753005518,-5.909651024605037,-3.3114708854720383,-3.4979012341190283,-3.605116561289575,-4.053954521458325,-4.154972289051703,-3.585406226328207,-1.7753620493394315,-4.108782418448237,27
-4.304642430184214,-4.864335113531955,-3.1396087934792587,-5.636964043415902,-5.387834422818028,-6.302169380771396,-3.224979946746357,-3.641297829962518,-3.2475641109262092,-3.3559997179341874,-3.8312499726301033,-3.874632201126475,-3.8558916342799883,-5.963444540309496,-3.289046394639842,-3.425252568670603,-3.5499495163931623,-4.052013610662158,-4.133693756723518,-3.5767632578718587,-1.4589065248306283,-4.103032590572866,28
-4.288350922164937,-4.855077488245637,-3.080267581742465,-5.639964810535831,-5.4162004793849245,-6.302577269502822,-3.2207673962274272,-3.614111175584062,-3.2427331379739326,-3.3254420407025,-3.7913971637564825,-3.859043856798353,-3.8398387970702434,-6.006766705741377,-3.2768191169551932,-3.3878930370620735,-3.513160374946511,-4.052738918697262,-4.120776240160948,-3.572810471801901,-1.2473896198480596,-4.102022173157706,29
