C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,time
-4.591176442539848,-5.2167744886571485,-5.10407001003363,-4.1996816870673355,-4.564307519323448,-4.946553859829282,-5.192637215309529,-3.8350867334069907,-4.829706340910139,-3.2850477689756126,-4.6575359215676455,-5.266840787158709,-3.8925606462699442,-4.177754749770767,-4.37345618891175,-5.5333198685407154,-4.909226937390731,-4.138841478051,-4.538030456786248,-4.410274676591875,-4.44965718132834,-3.5145237120584834,-4.272665105227771,20
-4.5874954358879325,-5.061368096592089,-5.24772839500101,-4.441653139904348,-4.448209747881768,-4.607310274056282,-5.434146950964778,-3.9311834128200656,-4.6383645034700915,-3.276719840174705,-4.452850410171975,-5.437669887111314,-3.787423474853471,-4.088317097967829,-4.265413334008786,-5.1623372425252505,-5.138503062090676,-4.113653493478102,-4.4582248140987515,-4.395372279691659,-4.225022948904993,-3.5856202249241833,-4.227532215876634,21
-4.584173424687709,-4.92280819595163,-5.37404178551956,-4.656923918207596,-4.343048253073578,-4.304148928601776,-5.646480797317291,-4.016889015717143,-4.466827671437374,-3.2692527002547407,-4.270352255903455,-5.592775616299815,-3.6931750567295345,-4.008771720863912,-4.168939193691495,-4.830684770028056,-5.342845796794208,-4.091167265301979,-4.38678018717687,-4.381843881179799,-3.8987294288156025,-3.6490938391605914,-4.187909866448435,22
-4.581210408939175,-4.801094786735775,-5.48301018158928,-4.845494021977079,-4.248823034898876,-4.037069823465765,-5.8296387543670685,-4.092203542098224,-4.31509584481199,-3.2626463492157214,-4.110041458762089,-5.732157974724215,-3.609815391898134,-3.939118618459016,-4.084033767959881,-4.538362451049136,-5.522255141501328,-4.071382793522632,-4.323696576020605,-4.369689481056299,-3.500290607801929,-3.7049445547677067,-4.153798056943177,23
-4.578606388642332,-4.69622786894452,-5.574633583210169,-5.0073634512127985,-4.165534093357663,-3.8060729586482456,-5.983620822114112,-4.157126991963306,-4.183169023593933,-3.256900787057646,-3.9719180187478718,-5.855816962384514,-3.5373444803592697,-3.8793577907531382,-4.01069705681394,-4.285370285588486,-5.676731096212038,-4.05430007814006,-4.268973980629955,-4.358909079321155,-3.05922047260572,-3.753172371745531,-4.125196787360858,24
-4.576361363797181,-4.608207442577867,-5.6489119903822305,-5.142532205914752,-4.093181428449938,-3.6111583341492195,-6.108427000558419,-4.211659365312392,-4.071047207783208,-3.252016013780515,-3.855981935860808,-5.963752579280711,-3.4757623221129403,-3.8294892377462824,-3.9489290602536746,-4.0717082736461085,-5.806273660926333,-4.039919119154263,-4.2226124010049215,-4.349502675974367,-2.6050330099687313,-3.793777290094063,-4.102106057701478,25
-4.57447533440372,-4.537033507635815,-5.705845403105461,-5.2510002860829434,-4.031765040175701,-3.4523259499686874,-6.204057289699993,-4.2558006621454805,-3.9787303973798145,-3.2479920293843283,-3.7622332101008946,-6.055964825412806,-3.4250689171591473,-3.789512959438446,-3.898729778279084,-3.8973764152220025,-5.910882835644217,-4.02823991656524,-4.184611837145504,-4.341470271015938,-2.1672422066327175,-3.826759309813303,-4.084525867965038,26
-4.5729483004619524,-4.482706064118366,-5.745433821379862,-5.332767691717369,-3.9812849285349547,-3.3295758061066483,-6.27051168953883,-4.2895508824625725,-3.906218592383751,-3.2448288338690854,-3.6906718414681348,-6.1324537007807995,-3.3852642654978906,-3.7594289558296303,-3.8600992108901684,-3.762374710316169,-5.990558620365689,-4.019262470372994,-4.154972289051703,-4.334811864445866,-1.7753620493394315,-3.8521184309032517,-4.0724562181515385,27
-4.571780261971874,-4.4452251120255175,-5.767677245205435,-5.387834422818029,-3.9417410935276966,-3.2429079025631014,-6.307790200074932,-4.3129100262636655,-3.853511792795018,-3.242526427234787,-3.641297829962526,-6.193219205384691,-3.35634836712917,-3.7392372269198346,-3.8330373580869272,-3.6667031589286085,-6.045301015090748,-4.0129867805775215,-4.133693756723518,-4.3295274562641515,-1.4589065248306283,-3.8698546533639075,-4.065897108260978,28
-4.5709712189334875,-4.424590651357271,-5.772575674582179,-5.416200479384926,-3.913133535153928,-3.192322239338047,-6.3158928213083,-4.325878093548764,-3.820609998613617,-3.241084809481433,-3.61411117558407,-6.238261339224479,-3.3383212220529854,-3.72893777270906,-3.8175442198693617,-3.6103617610593206,-6.075110019819396,-4.009412847178825,-4.120776240160948,-4.325617046470795,-1.2473896198480596,-3.8799679771952724,-4.064848538293357,29
-4.570521171346793,-4.420802682113625,-5.760129109510093,-5.4178658614180595,-3.8954622534136485,-3.1778188164314844,-6.294819553238934,-4.328455084317864,-3.807513209839546,-3.240503980609023,-3.6091118783327656,-6.267580102300167,-3.331182830269336,-3.7285305931973047,-3.8136197962374703,-3.5933505167083046,-6.079985634551631,-4.008540670176903,-4.116219739363996,-4.323080635065796,-1.1703253211334803,-3.8824584023973454,-4.069310508248676,30
-4.575657677123047,-4.454294665481248,-5.721241732207265,-5.373846617811363,-3.899975370061453,-3.2344468473156334,-6.224220397730749,-4.309958951007619,-3.8336302790217585,-3.240966939729739,-3.6488600383923973,-6.278397179989981,-3.3461897219967116,-3.748884965214864,-3.8338998177609453,-3.6526910511917086,-6.043573500350688,-4.01455059305205,-4.129763038185585,-4.324744981471133,-1.2504522514103684,-3.8680706855847067,-4.086553195393139,31
-4.589284935101837,-4.536418524341621,-5.65086031057263,-5.273596109061467,-3.932921841627671,-3.3816781172528376,-6.0927898002637,-4.264455222749504,-3.9097439020207836,-3.242575353017017,-3.745889044753954,-6.269169064170716,-3.3895955251342706,-3.796039375889677,-3.8854041347562815,-3.808950934129614,-5.956787862251696,-4.02976502884887,-4.166816572099564,-4.3321805075879025,-1.4679396335904933,-3.8316630248765664,-4.120615587096861,32
-4.607917906675659,-4.653551951236965,-5.555048723127465,-5.129770302572418,-3.9868029202759074,-3.596146483928284,-5.914094426261844,-4.19906526458575,-4.022914843803986,-3.245207221062734,-3.885158830628248,-6.2417479645902185,-3.4538958862030222,-3.8627476406682155,-3.959708926843686,-4.037449081977922,-5.830531626212499,-4.051397081913838,-4.2208878185373155,-4.343502707134789,-1.7884473546980444,-3.7794055825298734,-4.166650898515703,33
-4.628071553237005,-4.792072638709503,-5.439870848393045,-4.955025165748255,-4.054119858169765,-3.8544858050271635,-5.701700941149232,-4.120910441558588,-4.160203869338733,-3.24874054445877,-4.051629329226091,-6.197986090996336,-3.531586451723975,-3.941763574996951,-4.048390373643363,-4.313504411192537,-5.675707698190941,-4.076659856593423,-4.285484254930223,-4.3568270738304715,-2.1776353017572165,-3.717468520801572,-4.219812344805531,34
