C1,C2,C3,C4,C5,C6,time
-4.945629061604802,-4.628781162393967,-3.8446467345381183,-4.719172722961095,-4.564555342103129,-3.6573456604553014,20
-5.068465296844023,-4.439347502062916,-3.931426069853447,-4.830976645772892,-4.716620567559957,-3.7107376141945743,21
-5.177280759299593,-4.270160269673094,-4.008916585701027,-4.929393732973202,-4.852433650212464,-3.7582245315933647,22
-5.27207544897151,-4.1212194652245,-4.0771182820808605,-5.0144239845620255,-4.97199459006065,-3.7998064126516726,23
-5.352849365859777,-3.9925250887171293,-4.136031158992945,-5.086067400539365,-5.075303387104514,-3.835483257369497,24
-5.419602509964394,-3.884077140150984,-4.18565521643728,-5.144323980905217,-5.162360041344057,-3.865255065746839,25
-5.47233488128536,-3.795875619526062,-4.225990454413867,-5.1891937256595835,-5.233164552779277,-3.8891218377836982,26
-5.511046479822678,-3.727920526842362,-4.257036872922708,-5.220676634802464,-5.287716921410175,-3.9070835734800755,27
-5.535737305576342,-3.6802118620998816,-4.2787944719637965,-5.238772708333858,-5.326017147236749,-3.919140272835969,28
-5.546407358546359,-3.65274962529862,-4.291263251537139,-5.243481946253769,-5.348065230259003,-3.9252919358513814,29
-5.543056638732725,-3.6455338164385767,-4.294443211642733,-5.234804348562193,-5.353861170476932,-3.9255385625263104,30
-5.519072879058168,-3.679244754174398,-4.278452466685004,-5.201289854629579,-5.332250717212915,-3.9127795636520077,31
-5.470782597813089,-3.765371504425335,-4.237801080221967,-5.136577319661727,-5.277037064534937,-3.8830701674458328,32
-5.4025939730490045,-3.890127188088289,-4.179076975984006,-5.048300117411679,-5.1956563795614175,-3.8411441000469546,33
-5.318915182817432,-4.039724926060165,-4.108868077701502,-4.944091621632463,-5.095544829410769,-3.7917350875945366,34
-5.224154405169886,-4.200377839237861,-4.033762309104839,-4.831585206077119,-4.984138581201409,-3.7395768562277483,35
-5.122719818157882,-4.358299048518285,-3.960347593924397,-4.718414244498683,-4.8688738020517555,-3.689403132085754,36
-5.019019599832938,-4.499701674798335,-3.895211855890561,-4.612212110650189,-4.757186659080222,-3.6459476413077225,37
-4.917461928246571,-4.610798838974916,-3.8449430187337117,-4.520612178284673,-4.656513319405226,-3.6139441100328185,38
-4.822454981450294,-4.67780366194493,-3.8161290061842332,-4.451247821155171,-4.574289950145183,-3.598126264400209,39
-4.738406937495625,-4.686929264605279,-3.815357741972508,-4.411752413014718,-4.51795271841851,-3.6032278305490615,40
-4.658643976719214,-4.631204197388038,-3.8462919262498803,-4.402926963055352,-4.485228582780335,-3.6327685395210074,41
-4.574886977625032,-4.52105293701053,-3.904134471528184,-4.417300385084317,-4.467143161712562,-3.683794748120782,42
-4.4891361655155855,-4.368782493797538,-3.9827836200785303,-4.450097909777456,-4.461080612223755,-3.751330121132205,43
-4.403391765693376,-4.186699878073852,-4.076137614172033,-4.4965447678106125,-4.464425091322494,-3.8303983233390935,44
-4.319654003460904,-3.9871121001642487,-4.178094696079803,-4.551866189859632,-4.474560756017342,-3.9160230195252663,45
-4.239923104120675,-3.7823261703935116,-4.282553108072957,-4.611287406600359,-4.488871763316875,-4.003227874474543,46
-4.166199292975187,-3.584649099086423,-4.3834110924226035,-4.6700336487086345,-4.504742270229662,-4.087036552970745,47
-4.100482795326944,-3.4063878965677663,-4.474566891399859,-4.723330146860305,-4.519556433764275,-4.162472719797689,48
-4.044773836478449,-3.2598495731623274,-4.549918747275832,-4.7664021317312155,-4.5306984109292845,-4.224560039739193,49
-4.001072641732206,-3.1573411391948856,-4.603364902321639,-4.794474833997208,-4.535552358733261,-4.268322177579079,50
-3.9722505724883916,-3.0955750642746067,-4.6384016215858885,-4.8108990452474085,-4.538788394956058,-4.295279199897466,51
-3.9578285218037705,-3.059962117106808,-4.663299023295914,-4.822487928997121,-4.545713755540553,-4.31143623205565,52
-3.9547810124657228,-3.045856756660501,-4.679116129490914,-4.829660273811459,-4.554668274739864,-4.318544527009203,53
