C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,time
-4.409965296745343,-5.176393255888295,-4.889003888784887,-4.12987544569606,-5.436438347572495,-4.697592718012899,-4.48167111149523,-4.314310176097775,-3.746786892687104,-5.056146235054935,-4.534076725144155,20
-4.471731292534628,-5.169180614317833,-5.003912288666337,-4.1932664905692665,-5.5415619727943435,-4.695824974720363,-4.510488858181144,-4.371205720126116,-3.702978855867268,-5.0908472648128225,-4.577713398840851,21
-4.519126892210344,-5.167354929353412,-5.096437916749589,-4.243846722373384,-5.638064664348583,-4.699680572546396,-4.53027172927112,-4.416563082837648,-3.6682776842414557,-5.116129632603456,-4.61171667440225,22
-4.552152095772493,-5.170916200995033,-5.166580773034645,-4.281616141108412,-5.725946422235218,-4.7091595114909985,-4.541019724765159,-4.450382264232371,-3.6426833778096683,-5.131993338426839,-4.636086551828351,23
-4.570806903221074,-5.179864429242695,-5.214340857521504,-4.306574746774352,-5.805207246454243,-4.72426179155417,-4.542732844663261,-4.472663264310288,-3.6261959365719045,-5.138438382282969,-4.650823031119154,24
-4.575091314556088,-5.194199614096398,-5.239718170210163,-4.318722539371202,-5.875847137005661,-4.7449874127359095,-4.535411088965425,-4.4834060830713955,-3.618815360528165,-5.1354647641718465,-4.65592611227466,25
-4.5650053297775335,-5.213921755556141,-5.2427127111006255,-4.3180595188989654,-5.937866093889473,-4.77133637503622,-4.519054457671652,-4.482610720515695,-3.6205416496784504,-5.123072484093471,-4.651395795294869,26
-4.540548948885413,-5.239030853621927,-5.223324480192886,-4.304585685357639,-5.991264117105677,-4.803308678455099,-4.4936629507819426,-4.470277176643188,-3.6313748040227596,-5.101261542047844,-4.637232080179778,27
-4.501722171879724,-5.269526908293753,-5.181553477486948,-4.278301038747224,-6.0360412066542715,-4.840904322992546,-4.459236568296295,-4.446405451453872,-3.6513148235610924,-5.070031938034963,-4.6134349669293915,28
-4.448524998760468,-5.305409919571622,-5.1173997029828096,-4.239205579067721,-6.07219736253526,-4.884123308648563,-4.415775310214712,-4.41099554494775,-3.680361708293451,-5.029383672054831,-4.5800044555437065,29
-4.380957429527644,-5.346679887455531,-5.03086315668047,-4.187299306319129,-6.099732584748641,-4.932965635423149,-4.3632791765371906,-4.364047457124819,-3.7185154582198328,-4.979316744107447,-4.5369405460227235,30
-4.288050863089202,-5.404601265386425,-4.903059125397076,-4.111321809441354,-6.120813064176766,-4.998913241779392,-4.293318951274454,-4.2958125835500125,-3.7740249227809297,-4.911849261700612,-4.4758337854920685,31
-4.163711632171777,-5.485432083053716,-4.723496101808821,-4.0050173045121245,-6.13664224019872,-5.088344982419007,-4.20121173665468,-4.200875032870514,-3.8514727961104582,-4.822546840116443,-4.392012255688197,32
-4.015252137503407,-5.581662704830111,-4.5047638947042765,-3.875892732238167,-6.1457759855596015,-5.1936062316999365,-4.092577010004054,-4.085733874709704,-3.945359845247959,-4.716730741016402,-4.291082258527363,33
-3.849984779812124,-5.685783495088312,-4.259452312872009,-3.731455033326211,-6.146770173004509,-5.307042363980122,-3.9730342486487618,-3.9568881786909587,-4.05018683723297,-4.599722226061952,-4.178650095925813,34
-3.6752219598259632,-5.790284818201023,-4.000151165100591,-3.5792111484829854,-6.138180675278539,-5.420998753617502,-3.8482029299149905,-3.8208370144376578,-4.160454539105032,-4.476842556914561,-4.0603220697998,35
-3.498276078272959,-5.887657038540951,-3.739450260178588,-3.42666801841522,-6.118563365126795,-5.527820774970021,-3.7237025311289247,-3.6840794515731807,-4.270663717903685,-4.353412995235692,-3.941704482065572,36
-3.326459535881145,-5.970390520480796,-3.4899394068945733,-3.2813325838296423,-6.086474115294374,-5.619853802395618,-3.605152529616751,-3.5531145597209064,-4.375315140668467,-4.234754802686808,-3.828403634639381,37
-3.167084733378557,-6.030975628393264,-3.2642084140371135,-3.150711785432983,-6.040468798526372,-5.6894432102522385,-3.498172402704655,-3.434441408504212,-4.468909574438917,-4.126189240929377,-3.7260258294374755,38
-3.0274640714932266,-6.061902726651063,-3.0748470903947784,-3.0423125639319686,-5.9791032875678916,-5.728934372897819,-3.408381627718822,-3.3345590675464774,-4.545947786254576,-4.03303757162486,-3.640177368376106,39
-2.914909950953192,-6.055662179626893,-2.9344452447561387,-2.9636418600333307,-5.900933455164029,-5.730672664690305,-3.3413996819854397,-3.2599666064710826,-4.600930543154984,-3.9606210564347237,-3.576464553371524,40
-2.8268014667670283,-6.006839333959942,-2.840456838258581,-2.913477981694795,-5.792144929313962,-5.685162134869347,-3.296365415342678,-3.209138398659972,-4.630732482207352,-3.9072181054960997,-3.533674728659914,41
-2.7540993302215395,-5.920213819174362,-2.7784113068643586,-2.8833572355673813,-5.646560672355642,-5.595065385530222,-3.2669728049179207,-3.1744870978640565,-4.639320198926535,-3.8663539345695797,-3.505320253866749,42
-2.6944883664620995,-5.803567423970302,-2.7430116715993442,-2.8699235603977544,-5.474192558542347,-5.470965620314302,-3.250674018971174,-3.1534191942601617,-4.631832398023535,-3.836220013751817,-3.4890949539922125,43
-2.6456534006340835,-5.6646819370479164,-2.7289609534894064,-2.8698208949325803,-5.285052462127352,-5.323446042862966,-3.244921225762442,-3.143341178025114,-4.6134077842093575,-3.815007813139467,-3.482692654036485,44
-2.6052792578828625,-5.5113391471073525,-2.730962173560415,-2.879693177918524,-5.089152257363926,-5.163089856817587,-3.2471665935517278,-3.1416595393357376,-4.589185062195005,-3.8009088028291815,-3.4838071789997476,45
-2.5710507633538113,-5.351320842848762,-2.743718352838239,-2.896184348102252,-4.896503818505343,-5.000480265819539,-3.254862290599038,-3.1457807683688586,-4.5643029366914805,-3.7921144529176156,-3.4901323538821827,46
-2.540652742192303,-5.192408812972294,-2.7619325123487495,-2.9159383442304287,-4.717119019804875,-4.846200473510198,-3.265460485164376,-3.153111355301302,-4.543900112409787,-3.786816233501423,-3.4993620036839705,47
-2.511770019543711,-5.042384846178102,-2.780307673117816,-2.9355991050497194,-4.561009735515796,-4.710833683530937,-3.276413345507746,-3.161057790309893,-4.533115294060929,-3.7832056146772564,-3.5091899534052935,48
-2.4820874205534103,-4.909030731166337,-2.7935468561713077,-2.9518105693067924,-4.4381878398913805,-4.604963099523133,-3.285173039889153,-3.1670265635714587,-4.53708718635591,-3.779474066541772,-3.517310028046333,49
