C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-4.409965296745343,-5.1763932558882955,-4.889003888784859,-5.436438347572498,-4.697592718012896,-4.021968010805285,-4.436003973332461,-4.677490733270819,-5.056146235054937,-4.355194905814404,-4.88079739895307,-3.7903815696522516,-4.5340767251441605,20
-4.471731292534628,-5.169180614317834,-5.003912288666312,-5.541561972794346,-4.6958249747203595,-4.075521300326317,-4.462736273683666,-4.680501443669766,-5.090847264812824,-4.410073200870979,-5.012110391733763,-3.7534607225548227,-4.5777133988408565,21
-4.519126892210344,-5.1673549293534125,-5.09643791674957,-5.638064664348586,-4.699680572546393,-4.118185930224708,-4.481136819303297,-4.687362440400721,-5.116129632603458,-4.453699968058127,-5.122230274052475,-3.7240928666862816,-4.6117166744022535,22
-4.552152095772494,-5.170916200995034,-5.166580773034635,-5.725946422235219,-4.709159511490997,-4.149961900500462,-4.491205610191355,-4.698073723463685,-5.131993338426841,-4.486075207375847,-5.211157045909207,-3.70227800204663,-4.636086551828355,23
-4.570806903221076,-5.179864429242695,-5.214340857521502,-5.805207246454244,-4.7242617915541665,-4.170849211153575,-4.492942646347837,-4.71263529285866,-5.1384383822829705,-4.507198918824137,-5.27889070730396,-3.6880161286358666,-4.650823031119157,24
-4.57509131455609,-5.194199614096398,-5.239718170210171,-5.875847137005661,-4.744987412735907,-4.1808478621840495,-4.486347927772745,-4.731047148585643,-5.135464764171847,-4.517071102402999,-5.3254312582367325,-3.681307246453992,-4.655926112274662,25
-4.565005329777537,-5.213921755556142,-5.2427127111006415,-5.937866093889472,-4.771336375036216,-4.179957853591885,-4.47142145446608,-4.753309290644634,-5.123072484093473,-4.515691758112432,-5.350778698707525,-3.6821513555010066,-4.651395795294868,26
-4.540548948885416,-5.239030853621927,-5.223324480192912,-5.991264117105675,-4.803308678455095,-4.168179185377081,-4.44816322642784,-4.779421719035636,-5.101261542047846,-4.503060885952436,-5.354933028716338,-3.6905484557769106,-4.637232080179778,27
-4.501722171879727,-5.269526908293752,-5.18155347748698,-6.03604120665427,-4.840904322992542,-4.145511857539638,-4.416573243658026,-4.809384433758645,-5.070031938034965,-4.479178485923011,-5.337894248263171,-3.7064985472817025,-4.61343496692939,28
-4.448524998760472,-5.305409919571621,-5.117399702982846,-6.072197362535258,-4.88412330864856,-4.111955870079557,-4.376651506156638,-4.843197434813666,-5.029383672054833,-4.44404455802416,-5.299662357348025,-3.7300016300153844,-4.580004455543706,29
-4.380957429527648,-5.34667988745553,-5.030863156680508,-6.099732584748638,-4.9329656354231455,-4.067511222996836,-4.328398013923676,-4.880860722200694,-4.979316744107449,-4.3976591022558775,-5.240237355970898,-3.761057703977955,-4.536940546022722,30
-4.288050863089206,-5.404601265386424,-4.903059125397113,-6.1208130641767635,-4.9989132417793884,-4.002533508742696,-4.264198589209641,-4.929848862041111,-4.911849261700615,-4.330559205323728,-5.142283425710748,-3.80555530126875,-4.475833785492067,31
-4.163711632171781,-5.485432083053716,-4.723496101808855,-6.136642240198717,-5.088344982419004,-3.9116647231233688,-4.179823133264806,-4.994314391069014,-4.822546840116445,-4.237487693175242,-4.996169556333667,-3.8667658286096214,-4.392012255688195,32
-4.015252137503411,-5.58166270483011,-4.504763894704307,-6.145775985559598,-5.193606231699934,-3.801334471171377,-4.0803477645888435,-5.069274265203485,-4.716730741016404,-4.124753174673383,-4.813452960120348,-3.9407635979343456,-4.2910822585273625,33
-3.8499847798121265,-5.6857834950883115,-4.259452312872033,-6.146770173004506,-5.307042363980119,-3.677972357919238,-3.9708486016814155,-5.149745440363605,-4.599722226061953,-3.998664258681107,-4.605690849351482,-4.0236229211767,-4.178650095925813,34
-3.6752219598259654,-5.790284818201022,-4.0001511651006085,-6.138180675278537,-5.420998753617499,-3.548007988399474,-3.8564017630421925,-5.230744872468455,-4.476842556914562,-3.8655295540613768,-4.3844404363077665,-4.11141811027046,-4.060322069799801,35
