C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,time
-4.409965296745349,-5.176393255888295,-4.875009169969982,-5.436438347572498,-4.697592718012896,-4.0219680108052875,-3.3532263974447867,-4.677490733270819,-4.392491398515042,-5.056146235054937,-4.880797398953068,-3.7903815696522516,-4.534076725144158,-3.1724643469120855,20
-4.471731292534633,-5.169180614317833,-4.993270228110208,-5.541561972794347,-4.6958249747203595,-4.075521300326319,-3.359484125509443,-4.680501443669766,-4.4343792344768325,-5.090847264812824,-5.01211039173376,-3.753460722554823,-4.577713398840854,-3.138816837687603,21
-4.519126892210349,-5.1673549293534125,-5.0889778017925424,-5.638064664348586,-4.699680572546393,-4.11818593022471,-3.364159155814439,-4.687362440400721,-4.4663631301712785,-5.116129632603458,-5.122230274052472,-3.724092866686282,-4.611716674402253,-3.1115396610936665,22
-4.552152095772499,-5.170916200995033,-5.162131891016985,-5.72594642223522,-4.709159511490996,-4.149961900500463,-3.3672514883597757,-4.698073723463685,-4.488443085598386,-5.131993338426841,-5.2111570459092045,-3.702278002046631,-4.636086551828353,-3.0906328171302775,23
-4.57080690322108,-5.179864429242695,-5.212732495783533,-5.805207246454245,-4.724261791554167,-4.170849211153576,-3.3687611231454513,-4.71263529285866,-4.50061910075815,-5.138438382282971,-5.278890707303957,-3.6880161286358675,-4.650823031119156,-3.0760963057974333,24
-4.575091314556094,-5.194199614096399,-5.240779616092189,-5.875847137005662,-4.744987412735907,-4.1808478621840495,-3.3686880601714666,-4.731047148585643,-4.502891175650571,-5.135464764171847,-5.325431258236731,-3.6813072464539927,-4.655926112274661,-3.0679301270951367,25
-4.565005329777539,-5.213921755556143,-5.2462732519429505,-5.937866093889474,-4.771336375036217,-4.179957853591885,-3.3670322994378217,-4.753309290644634,-4.495259310275651,-5.123072484093473,-5.350778698707523,-3.6821513555010075,-4.651395795294868,-3.0661342810233854,26
-4.540548948885418,-5.239030853621929,-5.2292134033358195,-5.991264117105676,-4.803308678455095,-4.168179185377081,-3.363793840944518,-4.779421719035636,-4.477723504633389,-5.101261542047846,-5.354933028716337,-3.6905484557769106,-4.637232080179779,-3.0707087675821807,27
-4.501722171879728,-5.269526908293755,-5.189600070270792,-6.0360412066542715,-4.840904322992541,-4.1455118575396375,-3.3589726846915524,-4.809384433758645,-4.450283758723785,-5.0700319380349645,-5.337894248263169,-3.706498547281703,-4.6134349669293915,-3.0816535867715227,28
-4.4485249987604725,-5.305409919571623,-5.127433252747872,-6.07219736253526,-4.884123308648559,-4.111955870079555,-3.3525688306789276,-4.843197434813666,-4.412940072546839,-5.029383672054832,-5.299662357348023,-3.730001630015385,-4.580004455543707,-3.0989687385914113,29
-4.3809574295276486,-5.346679887455533,-5.042712950767057,-6.09973258474864,-4.932965635423145,-4.067511222996834,-3.3445822789066426,-4.880860722200694,-4.3656924461025515,-4.979316744107448,-5.240237355970896,-3.7610577039779556,-4.5369405460227235,-3.1226542230418457,30
-4.2880508630892065,-5.404601265386427,-4.9165149990916595,-6.120813064176765,-4.998913241779388,-4.002533508742694,-3.333477331942859,-4.929848862041112,-4.2999312286556846,-4.911849261700614,-5.142283425710747,-3.805555301268751,-4.4758337854920685,-3.1521332396439385,31
-4.163711632171782,-5.485432083053718,-4.738325972590184,-6.136642240198719,-5.088344982419003,-3.9116647231233674,-3.3184008245476644,-4.994314391069014,-4.210873280908885,-4.822546840116444,-4.996169556333665,-3.8667658286096214,-4.392012255688197,-3.1870853436871944,32
