C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,time
-4.40996529674534,-5.176393255888295,-4.80003628914629,-4.0219680108052875,-5.130023427679427,-3.35322639744479,-4.677490733270818,-4.968471817004005,-4.033275991957627,-4.298275175259298,-3.2753615411567805,-3.172464346912085,20
-4.471731292534625,-5.169180614317833,-4.90643059164923,-4.0755213003263195,-5.172993923204942,-3.359484125509446,-4.680501443669765,-5.051478828273295,-3.992572422400712,-4.330217571495172,-3.2510555207728995,-3.138816837687603,21
-4.519126892210342,-5.167354929353412,-4.992236876719904,-4.118185930224711,-5.215662437396234,-3.3641591558144417,-4.687362440400721,-5.119179953327968,-3.960407568389676,-4.3550051837870525,-3.2320507734010357,-3.1115396610936665,22
-4.552152095772492,-5.170916200995032,-5.057455144358307,-4.149961900500464,-5.258028970253303,-3.367251488359777,-4.698073723463686,-5.171575192168024,-3.936781429924518,-4.3726380121349395,-3.218347299041191,-3.0906328171302775,23
-4.570806903221074,-5.179864429242694,-5.10208539456444,-4.170849211153577,-5.30009352177615,-3.368761123145452,-4.712635292858659,-5.208664544793464,-3.9216940070052386,-4.383116056538831,-3.2099450976933634,-3.076096305797434,24
-4.575091314556089,-5.194199614096398,-5.126127627338305,-4.180847862184051,-5.341856091964773,-3.3686880601714666,-4.731047148585643,-5.230448011204288,-3.915145299631837,-4.38643931699873,-3.2068441693575545,-3.0679301270951367,25
-4.565005329777535,-5.21392175555614,-5.129581842679901,-4.179957853591886,-5.383316680819173,-3.3670322994378212,-4.753309290644634,-5.236925591400496,-3.917135307804314,-4.382607793514634,-3.2090445140337627,-3.0661342810233863,26
-4.540548948885416,-5.239030853621927,-5.112448040589226,-4.168179185377081,-5.42447528833935,-3.3637938409445156,-4.779421719035636,-5.228097285382089,-3.9276640315226703,-4.371621486086544,-3.2165461317219903,-3.070708767582182,27
-4.501722171879727,-5.269526908293752,-5.074726221066278,-4.145511857539638,-5.465331914525303,-3.3589726846915497,-4.8093844337586455,-5.203963093149063,-3.9467314707869052,-4.35348039471446,-3.2293490224222343,-3.0816535867715236,28
-4.448524998760472,-5.305409919571621,-5.016416384111061,-4.111955870079556,-5.505886559377032,-3.3525688306789245,-4.843197434813666,-5.164523014701424,-3.9743376255970193,-4.3281845193983814,-3.247453186134498,-3.098968738591412,29
-4.380957429527648,-5.34667988745553,-4.937518529723571,-4.067511222996835,-5.546139222894538,-3.3445822789066395,-4.880860722200694,-5.109777050039168,-4.010482495953012,-4.295733860138309,-3.2708586228587793,-3.122654223041847,30
