C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-4.995664639207591,-4.782597807284919,-5.049751765233983,-3.713407458571063,-4.091076480143144,-4.058776575918738,-4.752345176528701,-3.9681841890488476,-3.291435441472982,-3.2198154671911032,20
-4.982064483932775,-4.886994879855575,-5.076857437289049,-3.7397045078114632,-4.064689523630291,-4.021328068467626,-4.826181581893802,-3.9039276094578086,-3.2699639774654865,-3.1881437964364108,21
-4.974293997188096,-4.971110528448798,-5.104955031453023,-3.7603330538665842,-4.044794471157801,-3.9917175950748924,-4.886687608813494,-3.8537746273274687,-3.2532032497638697,-3.1625989405337913,22
-4.972353178973555,-5.034944753064589,-5.134044547725907,-3.775293096736427,-4.031391322725678,-3.9699451557405414,-4.93386325728778,-3.817725242657829,-3.241153258368131,-3.143180899483246,23
-4.976242029289151,-5.078497553702944,-5.164125986107701,-3.78458463642099,-4.024480078333921,-3.9560107504645705,-4.967708527316659,-3.795779455448889,-3.2338140032782703,-3.129889673284773,24
-4.985960548134885,-5.101768930363864,-5.195199346598401,-3.7882076729202736,-4.024060737982529,-3.949914379246983,-4.98822341890013,-3.7879372657006476,-3.2311854844942887,-3.122725261938374,25
-5.0015087355107575,-5.104758883047348,-5.227264629198012,-3.786162206234278,-4.030133301671504,-3.9516560420877744,-4.995407932038194,-3.794198673413106,-3.2332677020161853,-3.1216876654440484,26
-5.022886591416769,-5.0874674117533925,-5.260321833906532,-3.7784482363630043,-4.042697769400844,-3.961235738986949,-4.989262066730852,-3.814563678586264,-3.2400606558439606,-3.1267768838017966,27
-5.050094115852916,-5.049894516481998,-5.294370960723958,-3.765065763306451,-4.061754141170549,-3.978653469944504,-4.9697858229781025,-3.8490322812201208,-3.251564345977614,-3.1379929170116174,28
-5.083131308819202,-4.992040197233162,-5.329412009650294,-3.746014787064619,-4.087302416980621,-4.0039092349604415,-4.936979200779947,-3.8976044813146786,-3.2677787724171456,-3.155335765073513,29
-5.121998170315627,-4.913904454006884,-5.365444980685538,-3.721295307637508,-4.119342596831058,-4.03700303403476,-4.890842200136385,-3.960280278869935,-3.288703935162556,-3.1788054279874816,30
-5.176816198710707,-4.79848474006961,-5.4104975021884965,-3.6857531037455633,-4.162687587460837,-4.08527656869694,-4.8204236475566535,-4.050374761408512,-3.313536608554245,-3.2070295024743736,31
-5.253208448653619,-4.636335196124928,-5.469029367691837,-3.6365247191223653,-4.220011225947165,-4.152808562018909,-4.719639557768107,-4.175285199776308,-3.341830556114655,-3.2392455422679935,32
-5.34442725456535,-4.438790853328535,-5.535688824956358,-3.5770463012876177,-4.288104907797393,-4.234704546314353,-4.59579071309792,-4.3261348689582455,-3.374121261616854,-3.2763684828877757,33
-5.44372495086689,-4.2171867428361365,-5.605124121742855,-3.510753997761023,-4.363760028518872,-4.3260700538969505,-4.456177895873267,-4.494047043939243,-3.4109442088339104,-3.3193132598531534,34
-5.544353871979226,-3.9828578958034373,-5.671983505812125,-3.4410839560622843,-4.443767983618947,-4.422010617080384,-4.308101888421326,-4.670144999704218,-3.4528348815388887,-3.36899480868356,35
-5.639566352323349,-3.747139343386138,-5.7309152249249635,-3.3714723237111057,-4.524920168604972,-4.517631768178335,-4.158863473069267,-4.845552011238093,-3.5003287635048572,-3.42632806489843,36
-5.722614726320244,-3.521366116739942,-5.776567526842168,-3.305355248227191,-4.604007978984294,-4.608039039504483,-4.0157634321442695,-5.011391353525787,-3.5539613385048834,-3.4922279640171965,37
-5.786751328390901,-3.3168732470205535,-5.803588659324535,-3.246168877130241,-4.6778228102642645,-4.68833796337251,-3.886102547973506,-5.158786301552218,-3.6142680903120334,-3.5676094415592927,38
-5.8252284929563105,-3.1449957653836744,-5.80662687013286,-3.197349357939961,-4.743156057952231,-4.7536340720961,-3.7771816028841525,-5.27886013030231,-3.681784502699375,-3.6533874330441547,39
-5.831298554437458,-3.017068702985008,-5.7803304070279395,-3.162332838176054,-4.796799117555546,-4.79903289798893,-3.6963013792033843,-5.3627361147609784,-3.7570460594399746,-3.7504768739912127,40
-5.800934601741172,-2.9306589288367615,-5.714299034615449,-3.140614236308145,-4.841384631571181,-4.8218744758742185,-3.641628456579389,-5.410535651708679,-3.8452594433081333,-3.8680549841186704,41
-5.738897041156887,-2.8726598563768375,-5.6083048096280805,-3.128349539243371,-4.881702620860205,-4.825756791587712,-3.6045730864774206,-5.431531676409451,-3.948761939339729,-4.010271396805376,42
