C1,C2,C3,C4,C5,C6,C7,C8,C9,time
-4.716405097264766,-4.795420898268014,-4.893897723616242,-3.9486033987374687,-4.144139382407761,-4.932211049057008,-4.078489554859892,-4.07655672674878,-3.2124235682363738,20
-4.6873646599290435,-4.891257088881501,-4.909202009731714,-3.962902750864199,-4.102990722392439,-4.976058613259373,-4.104756071291597,-4.029917001993386,-3.1866420538342,21
-4.6663868276364076,-4.9686572715818516,-4.927503379771763,-3.9732691153715036,-4.07169801775974,-5.014017251268642,-4.130037504224563,-3.9946893554052276,-3.166190799435455,22
-4.65347160038686,-5.027621446369066,-4.948801833736393,-3.9797024922593853,-4.050261268509664,-5.04608696308482,-4.154333853658792,-3.9708737869843063,-3.1510698050401387,23
-4.648618978180399,-5.068149613243142,-4.9730973716256015,-3.982202881527841,-4.038680474642209,-5.072267748707901,-4.177645119594281,-3.9584702967306207,-3.1412790706482503,24
-4.651828961017025,-5.090241772204079,-5.0003899934393905,-3.9807702831768723,-4.036955636157377,-5.092559608137888,-4.199971302031031,-3.957478884644173,-3.1368185962597908,25
-4.663101548896738,-5.093897923251876,-5.030679699177762,-3.9754046972064785,-4.045086753055167,-5.106962541374781,-4.221312400969043,-3.96789955072496,-3.137688381874759,26
-4.682436741819538,-5.079118066386532,-5.063966488840713,-3.96610612361666,-4.06307382533558,-5.115476548418578,-4.2416684164083165,-3.989732294972985,-3.143888427493157,27
-4.709834539785426,-5.045902201608047,-5.100250362428246,-3.9528745624074157,-4.090916852998612,-5.118101629269281,-4.2610393483488505,-4.022977117388247,-3.1554187331149826,28
-4.745294942794401,-4.994250328916419,-5.139531319940359,-3.9357100135787473,-4.128615836044267,-5.11483778392689,-4.279425196790647,-4.067634017970746,-3.1722792987402375,29
-4.788817950846463,-4.924162448311646,-5.181809361377056,-3.9146124771306523,-4.176170774472543,-5.105685012391405,-4.296825961733704,-4.123702996720481,-3.1944701243689204,30
-4.850702812351738,-4.82044312990771,-5.236231352495163,-3.8856268609753215,-4.2436111462430555,-5.088404961303292,-4.312627197330277,-4.20413566801896,-3.2214367200752045,31
-4.936671331982516,-4.674650468212378,-5.307878885381811,-3.846555891730635,-4.3365088835555925,-5.061754101018368,-4.326487544776066,-4.316127373189243,-3.2528710359002972,32
-5.039857344132049,-4.496914749816332,-5.390654049532443,-3.8000362974551374,-4.448177667770409,-5.027224667109657,-4.33881663463623,-4.451043702643657,-3.2891427317947497,33
-5.153394683193587,-4.29736626131025,-5.478458934442507,-3.7487048062073662,-4.571931180247762,-4.9863088951501755,-4.350024097475935,-4.600250246794532,-3.3306214677091135,34
-5.270417183560377,-4.086135289284818,-5.565195629607449,-3.6951981460458647,-4.701083102347907,-4.940499020712947,-4.360519563860343,-4.755112596054195,-3.3776769035939402,35
-5.384058679625672,-3.873352120330713,-5.6447662245227175,-3.6421530450291737,-4.8289471154311014,-4.891287279370994,-4.370712664354619,-4.906996340834977,-3.4306786993997807,36
-5.487453005782719,-3.66914704103862,-5.711072808683756,-3.592206231215833,-4.948836900857601,-4.840165906697336,-4.381013029523923,-5.047267071549206,-3.4899965150771877,37
-5.5737339964247665,-3.4836503379992183,-5.758017471586013,-3.5479944326643853,-5.054066139987661,-4.788627138264992,-4.391830289933422,-5.167290378609208,-3.5560000105767116,38
-5.63603548594507,-3.3269922978031885,-5.779502302724934,-3.5121543774333714,-5.137948514181542,-4.738163209646988,-4.403574076148278,-5.258431852427317,-3.6290588458489053,39
-5.667491308736873,-3.2093032070412137,-5.769429391595967,-3.487322793581332,-5.193797704799495,-4.690266356416342,-4.416654018733652,-5.312057083415857,-3.7095426808443186,40
-5.666077043409466,-3.1279893837470483,-5.718757712048629,-3.4737520523640146,-5.219043262273239,-4.639932527384617,-4.430887896840481,-5.320191825929291,-3.8034808255145016,41
-5.637788479449081,-3.071104411104663,-5.628788230818858,-3.468847975381311,-5.21919111913568,-4.582834190556585,-4.445749674596152,-5.287360146033238,-3.9138395454393735,42
-5.58778976756439,-3.0347494734300655,-5.5089360267317256,-3.4709774662079775,-5.199669529898868,-4.521478360295078,-4.461133260030505,-5.223675101706761,-4.036393934012039,43
-5.5212450584640616,-3.015025755039265,-5.368616178612306,-3.4785074284187707,-5.165906749074852,-4.4583720509629385,-4.476932561173384,-5.139249750928931,-4.166919084625603,44
-5.443318502856766,-3.0080344402482666,-5.217243765285669,-3.4898047655884468,-5.123331031175674,-4.396022276922998,-4.493041486054629,-5.044197151678809,-4.301190090673169,45
-5.359174251451173,-3.009876713373079,-5.06423386557689,-3.5032363812917615,-5.077370630713387,-4.3369360525380936,-4.509353942704083,-4.948630361935463,-4.434982045547844,46
-5.273976454955952,-3.0166537587297078,-4.919001558311039,-3.517169179103472,-5.033453802200033,-4.28362039217106,-4.525763839151589,-4.862662439677956,-4.564070042642735,47
-5.192889264079772,-3.0244667606341613,-4.79096192231319,-3.529970062598334,-4.997008800147663,-4.238582310184734,-4.542165083426986,-4.796406442885356,-4.684229175350944,48
-5.121076829531305,-3.029416903402447,-4.689530036408417,-3.5400059353511044,-4.973463879068324,-4.204328820941952,-4.558451583560117,-4.759975429536728,-4.791234537065577,49
-5.063703302019221,-3.027605371350571,-4.6241209794217895,-3.545643700936539,-4.968247293474063,-4.183366938805548,-4.574517247580825,-4.763482457611138,-4.880861221179739,50
-5.017561888440171,-3.023334548689051,-4.599129072658678,-3.5478375551900125,-4.986656262896652,-4.180054098284192,-4.594165265597697,-4.817813661621335,-4.958803493456553,51
-4.97551562152034,-3.0230378651330523,-4.607231820284952,-3.5488111883869844,-5.02600438610051,-4.194211229580497,-4.619618542306777,-4.918529278392407,-5.0326062195049,52
-4.9368333907127004,-3.0260130732555623,-4.640269075416437,-3.548835745762341,-5.079744486446652,-4.22154059059822,-4.648400557619096,-5.052753519371933,-5.100820392486533,53
