C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,time
-5.2949839932863485,-4.669690119267342,-4.408368986815826,-5.299844547295346,-4.165915046601849,-4.715585601195722,-3.7877398704446157,-3.367245793549131,-4.4418405877333065,-5.5538810934442004,-6.564193750958994,-4.8081070530230985,-5.731976314950271,-4.899908653183329,-3.5846489827819266,-4.089219466693773,10
-5.294183165406844,-4.630679887923635,-4.421508034706183,-5.284513457577981,-4.168128721595233,-4.695318787273014,-3.789438578782288,-3.3728535779041784,-4.4218773904864115,-5.616359894306788,-6.494409402746082,-4.77423842739524,-5.7332484184314865,-4.833195848561902,-3.580690117792809,-4.0790533544026175,11
-5.292689061573376,-4.597489969870946,-4.4330904558279,-5.269918734190802,-4.170316068071991,-4.676021596672476,-3.7914541344385797,-3.37801437255997,-4.403413060325944,-5.673909598944969,-6.430768433854486,-4.743891989015529,-5.737384028700687,-4.7761034545061465,-3.576843554471313,-4.069813731112366,12
-5.290501681785945,-4.570120365109274,-4.443116250180977,-5.256060377133807,-4.172477086032122,-4.6576940293941105,-3.793786537413489,-3.3827281775165052,-4.386447597251904,-5.726530207358745,-6.373270844284207,-4.717067737883969,-5.744383145757866,-4.728631471016059,-3.573109292817439,-4.061500596823019,13
-5.287621026044553,-4.54857107363862,-4.451585417765414,-5.242938386406995,-4.1746117754756265,-4.640336085437914,-3.796435787707018,-3.3869949927737846,-4.370981001264292,-5.774221719548113,-6.321916634035244,-4.69376567400056,-5.754245769603031,-4.690779898091643,-3.569487332831188,-4.054113951534577,14
-5.284047094349199,-4.532842095458982,-4.458497958581212,-5.230552762010367,-4.176720136402505,-4.623947764803892,-3.799401885319165,-3.390814818331809,-4.357013272363107,-5.816984135513076,-6.276705803107597,-4.673985797365301,-5.766971900236178,-4.662548735732896,-3.565977674512559,-4.04765379524704,15
-5.279779886699883,-4.522933430570363,-4.46385387262837,-5.218903503943922,-4.178802168812756,-4.608529067492038,-3.8026848302499316,-3.3941876541905787,-4.34454441054835,-5.854817455253634,-6.2376383515012686,-4.657728107978191,-5.7825615376573065,-4.643937983939819,-3.562580317861552,-4.042120127960407,16
-5.274819403096605,-4.51884507897276,-4.467653159906889,-5.207990612207659,-4.1808578727063805,-4.594079993502357,-3.8062846224993168,-3.3971135003500916,-4.3335744158200225,-5.8877216787697835,-6.2047142792162555,-4.644992605839233,-5.801014681866419,-4.6349476427124126,-3.5592952628781678,-4.03751294967468,17
-5.269165643539365,-4.520577040666176,-4.469895820416768,-5.197814086801578,-4.18288724808338,-4.580600542834847,-3.8102012620673205,-3.39959235681035,-4.32410328817812,-5.915696806061528,-6.17793358625256,-4.635779290948426,-5.822331332863514,-4.635577712050675,-3.556122509562406,-4.033832260389857,18
-5.262818608028163,-4.528129315650608,-4.470581854158008,-5.188373927725677,-4.184890294943751,-4.568090715489506,-3.8144347489539436,-3.4016242235713516,-4.316131027622646,-5.938742837128866,-6.15729627261018,-4.630088163305768,-5.84651149064859,-4.645828191954609,-3.5530620579142655,-4.031078060105939,19
-5.255778296563001,-4.541501903926058,-4.469711261130607,-5.179670134979957,-4.186867013287497,-4.556550511466338,-3.818985083159185,-3.4032091006330987,-4.3096576341535995,-5.956859771971798,-6.142802338289119,-4.627919222911261,-5.87355515522165,-4.665699082424213,-3.5501139079337483,-4.029250348822925,20
-5.251622780256623,-4.566129516193137,-4.463983064835389,-5.176909491311497,-4.19094986916243,-4.544861220189981,-3.824768288619531,-3.4041420050129023,-4.302919226137456,-5.967319663636253,-6.1484436625084555,-4.63449579024958,-5.9078804296970615,-4.706912375650106,-3.5472824524370004,-4.029616328738357,21
-5.252339876393889,-4.605031436174409,-4.451563389439477,-5.18298465380201,-4.198323565928449,-4.532401335785234,-3.8322932675219192,-3.404309057275936,-4.294935869333369,-5.96860698603664,-6.1819935115010125,-4.652719710034431,-5.951941815805026,-4.775980289515962,-3.5445701318774376,-4.032880001073089,22
-5.255544204232968,-4.654584523402798,-4.434652885942322,-5.1944244339534444,-4.207566459553677,-4.51991666530234,-3.8409493372420256,-3.403846912743992,-4.286883484830353,-5.96254037047567,-6.234123965787404,-4.6791087686093675,-6.002793911469302,-4.8650881625613716,-3.541974017710962,-4.038196564362095,23
-5.258850383032028,-4.711165637411229,-4.415452205343377,-5.207757643267745,-4.217256906006237,-4.508153015791534,-3.850125815155524,-3.4028922267388615,-4.279937993717427,-5.950938448256055,-6.295507105888242,-4.710180752317935,-6.057491314613642,-4.966421333325922,-3.539491181393475,-4.0447212171403475,24
-5.259873032049238,-4.771151637732627,-4.396161998642093,-5.219513093246858,-4.225973261254252,-4.49785619430306,-3.8592120186380927,-3.401581654582337,-4.275275317083605,-5.93561985068051,-6.3568150123241365,-4.742453447503689,-6.113088623161801,-5.072165140349201,-3.537118694380877,-4.05160915794282,25
-5.256226770542769,-4.830919383899919,-4.378982916837922,-5.226219595392735,-4.232293881265847,-4.489772007887159,-3.867597265065407,-3.40005185159621,-4.274071376017906,-5.918403209051747,-6.408719765615703,-4.772444640510175,-6.166640435037534,-5.174504922170796,-3.534853628129071,-4.058015585304488,26
-5.24552621777079,-4.8868457354460295,-4.3661156109303185,-5.224405961207318,-4.234797122009146,-4.48464626359407,-3.8746708718131426,-3.3984394731022722,-4.277502091609344,-5.90110715467248,-6.441893446283552,-4.796672117680946,-6.215201348164595,-5.265626017330297,-3.5326930540939587,-4.06309569776032,27
-5.225385992991468,-4.935307551903881,-4.35976073191873,-5.210601002192555,-4.232061339452272,-4.48322476847403,-3.879822156256975,-3.3968811744223157,-4.286743384946938,-5.885550318845421,-6.447008134848295,-4.811653665359551,-6.25582596046674,-5.33771376436729,-3.530634043731441,-4.066004693845294,28
-5.193420715462974,-4.972681692806403,-4.3621189308026125,-5.181333529850396,-4.222664889563348,-4.486253329577283,-3.8824404357725815,-3.3955136108781327,-4.302971177119705,-5.873551332873282,-6.4147359118305465,-4.813907069889541,-6.285568869867724,-5.382953501821366,-3.528673668497421,-4.065897772094381,29
-5.147245004443477,-4.9953450176865175,-4.375390858581416,-5.133132355682784,-4.2051861283104985,-4.494477753954069,-3.881915027735637,-3.3944734377915147,-4.327361389216658,-5.866928828058779,-6.335748857750918,-4.799950117614466,-6.3014846742913,-5.3935305682321095,-3.526808999847799,-4.061930131042554,30
-5.087606266481561,-5.003469775914743,-4.407894184251126,-5.064086997690217,-4.179831529097908,-4.5042908883772546,-3.8801968532401987,-3.3947030744048097,-4.371457947148324,-5.876251286108805,-6.198855312164021,-4.769131021937754,-6.312994076888562,-5.368092766391225,-3.525034677173909,-4.055559293705552,31
-5.017393455614262,-5.0009089924405545,-4.461967678439709,-4.976735828019098,-4.1481900968868795,-4.512915329298183,-3.8790030578378185,-3.3965843703337604,-4.440454669365269,-5.905504097731781,-6.007511083912153,-4.724698863727255,-6.32838529267437,-5.313992968993787,-3.523350759368521,-4.048471085500292,32
-4.937433512332433,-4.989560690165316,-4.530843644594592,-4.874280939390237,-4.110913984981227,-4.5223415082848115,-3.877372295590417,-3.3994131264602503,-4.526002315766584,-5.94663125773272,-5.774359457447456,-4.6690227305231575,-6.343014187368134,-5.236474119434446,-3.5217624471396887,-4.040163158563521,33
-4.848553377126922,-4.971322891990392,-4.6077543861632,-4.759924424524446,-4.068655346684759,-4.534559856905094,-3.8743432205599144,-3.402485143666164,-4.619751646251353,-5.991576760916627,-5.5120437172220695,-4.604471709865651,-6.352236626689258,-5.140779161107853,-3.5202749411954657,-4.030133165031985,34
