C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,time
-4.669690119267342,-4.948047686406581,-5.419703657744033,-4.253012132714164,-4.715585601195722,-6.577008315687448,-3.4081384528706344,-3.8981922133479756,-5.136633214022078,-4.53471015020129,-5.5289228233969645,-5.731976314950272,-4.9786282523372805,-4.899908653183325,-4.14521668213305,-3.6316989065139844,-4.667093226851161,-4.981885074377783,-3.466741276782606,-4.089219466693775,10
-4.630679887923635,-4.952701592523978,-5.397390478132376,-4.2514152664853935,-4.695318787273014,-6.3962512926023205,-3.413522897197264,-3.895696001425347,-5.167596498874194,-4.511555698353923,-5.487401522517157,-5.733248418431487,-4.959598256096022,-4.8331958485619,-4.146685368692306,-3.632803823574588,-4.645557235101899,-5.0135145249916775,-3.462796915427034,-4.079053354402619,11
-4.597489969870946,-4.9563243897599305,-5.376593820076489,-4.25009779055572,-4.676021596672476,-6.230352965483989,-3.418467101281027,-3.8934790363252936,-5.196262834218965,-4.490659061684388,-5.451700838909244,-5.737384028700686,-4.942959477736046,-4.776103454506144,-4.14828021296688,-3.6335492180206197,-4.627220944394248,-5.041494646285273,-3.4590775428901974,-4.069813731112368,12
-4.570120365109274,-4.958916078114438,-5.3573136835763675,-4.249059704925144,-4.65769402939411,-6.079313334332451,-3.4229710651219216,-3.8915413180478136,-5.222632220056394,-4.472020240192685,-5.4218207725732235,-5.744383145757868,-4.9287119172573535,-4.728631471016057,-4.150001214956772,-3.6339350898520797,-4.612084354728204,-5.06582543825857,-3.4555831591720936,-4.06150059682302,13
-4.54857107363862,-4.9604766575875,-5.339550068632017,-4.248301009593665,-4.640336085437915,-5.943132399147706,-3.4270347887199493,-3.8898828465929096,-5.246704656386483,-4.455639233878816,-5.3977613235091,-5.754245769603031,-4.916855574659943,-4.690779898091641,-4.151848374661981,-3.633961439068969,-4.600147466103771,-5.086506900911569,-3.4523137642727257,-4.054113951534578,14
-4.532842095458982,-4.961006128179117,-5.323302975243434,-4.247821704561285,-4.623947764803891,-5.821810159929758,-3.4306582720751098,-3.8885036219605804,-5.268480143209229,-4.441516042742779,-5.3795224917168705,-5.766971900236177,-4.907390449943816,-4.662548735732894,-4.153821692082509,-3.6336282656712875,-4.591410278520948,-5.1035390342442675,-3.4492693581920912,-4.047653795247041,15
-4.522933430570363,-4.960504489889291,-5.30857240341062,-4.2476217898280035,-4.608529067492038,-5.715346616678601,-3.4338415151874027,-3.8874036441508273,-5.287958680524633,-4.429650666784575,-5.367104277196535,-5.7825615376573065,-4.9003165431089695,-4.643937983939819,-4.155921167218354,-3.6329355696590344,-4.585872791979734,-5.116921838256668,-3.4464499409301927,-4.042120127960407,16
-4.51884507897276,-4.95897174271802,-5.295358353133574,-4.247701265393823,-4.594079993502356,-5.623741769394241,-3.4365845180568275,-3.886582913163649,-5.305140268332697,-4.420043106004204,-5.360506679948096,-5.80101468186642,-4.895633854155408,-4.6349476427124126,-4.158146800069518,-3.6318833510322106,-4.583535006480131,-5.1266553129487695,-3.443855512487028,-4.03751294967468,17
-4.520577040666176,-4.956407886665304,-5.283660824412297,-4.2480601312587405,-4.580600542834846,-5.546995618076674,-3.4388872806833852,-3.8860414289990457,-5.320024906633418,-4.412693360401666,-5.35972969997155,-5.822331332863514,-4.893342383083128,-4.635577712050677,-4.160498590635999,-3.6304716097908156,-4.584396922022137,-5.1327394583205725,-3.441486072862598,-4.033832260389857,18
-4.528129315650608,-4.9528129217311445,-5.273479817246786,-4.248698387422759,-4.568090715489505,-5.485108162725903,-3.440749803067076,-3.8857791916570177,-5.3326125954267996,-4.40760142997696,-5.3647733372669,-5.846511490648591,-4.893442129892132,-4.645828191954611,-4.1629765389178,-3.628700345934849,-4.588458538605754,-5.135174274372076,-3.4393416220569026,-4.031078060105939,19
