C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,time
-4.669690119267342,-4.948047686406575,-5.465311723081835,-4.253012132714166,-5.049298340175876,-3.6273730299262947,-5.136633214022054,-4.534710150201289,-5.528922823396961,-5.731976314950273,-4.978628252337278,-3.7940783083783933,-4.899908653183327,-4.145216682133054,-3.6316989065139818,-4.66709322685116,-4.981885074377781,-3.4667412767826047,-4.089219466693772,10
-4.630679887923635,-4.952701592523972,-5.43675445111654,-4.251415266485395,-5.073681764281711,-3.6292319175098346,-5.16759649887417,-4.511555698353922,-5.487401522517153,-5.733248418431489,-4.95959825609602,-3.7875025100678914,-4.8331958485619015,-4.146685368692309,-3.6328038235745854,-4.645557235101898,-5.013514524991676,-3.462796915427033,-4.079053354402616,11
-4.597489969870946,-4.956324389759925,-5.410239500683798,-4.250097790555722,-5.094800344245088,-3.6309724406429416,-5.1962628342189445,-4.490659061684387,-5.4517008389092405,-5.737384028700688,-4.9429594777360455,-3.7815718664049123,-4.776103454506145,-4.148280212966883,-3.633549218020618,-4.627220944394247,-5.0414946462852726,-3.4590775428901956,-4.069813731112364,12
-4.570120365109274,-4.958916078114433,-5.385766871783612,-4.249059704925146,-5.1126540800660045,-3.632594599325615,-5.222632220056377,-4.472020240192684,-5.421820772573222,-5.744383145757867,-4.928711917257353,-3.776286377389453,-4.728631471016058,-4.150001214956774,-3.633935089852079,-4.612084354728204,-5.065825438258568,-3.4555831591720927,-4.061500596823017,13
-4.54857107363862,-4.9604766575874955,-5.363336564415981,-4.248301009593667,-5.1272429717444625,-3.634098393557856,-5.246704656386468,-4.455639233878814,-5.397761323509099,-5.754245769603032,-4.916855574659942,-3.7716460430215153,-4.690779898091642,-4.151848374661983,-3.633961439068969,-4.600147466103771,-5.086506900911567,-3.452313764272724,-4.0541139515345765,14
-4.532842095458982,-4.961006128179114,-5.3429485785809065,-4.247821704561288,-5.1385670192804636,-3.635483823339664,-5.268480143209217,-4.4415160427427764,-5.3795224917168705,-5.766971900236178,-4.907390449943814,-3.7676508633010997,-4.662548735732896,-4.15382169208251,-3.633628265671289,-4.591410278520949,-5.103539034244266,-3.449269358192091,-4.047653795247039,15
-4.522933430570363,-4.960504489889288,-5.3246029142783895,-4.247621789828007,-5.146626222674005,-3.636750888671039,-5.287958680524625,-4.42965066678457,-5.367104277196537,-5.782561537657306,-4.90031654310897,-3.7643008382282046,-4.64393798393982,-4.155921167218356,-3.6329355696590366,-4.585872791979735,-5.116921838256667,-3.4464499409301914,-4.042120127960407,16
-4.51884507897276,-4.958971742718017,-5.308299571508432,-4.247701265393826,-5.151420581925088,-3.6378995895519823,-5.305140268332692,-4.420043106004199,-5.360506679948098,-5.801014681866419,-4.895633854155408,-3.761595967802833,-4.6349476427124126,-4.1581468000695185,-3.631883351032214,-4.583535006480132,-5.126655312948769,-3.4438555124870267,-4.03751294967468,17
-4.520577040666176,-4.956407886665302,-5.2940385502710345,-4.248060131258744,-5.152950097033713,-3.6389299259824934,-5.320024906633416,-4.4126933604016605,-5.359729699971553,-5.822331332863514,-4.893342383083128,-3.7595362520249815,-4.635577712050677,-4.160498590635999,-3.6304716097908196,-4.58439692202214,-5.132739458320572,-3.4414860728625962,-4.0338322603898575,18
-4.528129315650608,-4.952812921731142,-5.281819850566197,-4.248698387422763,-5.151214767999878,-3.639841897962571,-5.3326125954268,-4.407601429976954,-5.364773337266904,-5.84651149064859,-4.893442129892132,-3.758121690894652,-4.645828191954611,-4.1629765389178,-3.6287003459348535,-4.588458538605757,-5.1351742743720745,-3.4393416220569013,-4.03107806010594,19
-4.541501903926058,-4.948186847915538,-5.271643472393921,-4.249616033885882,-5.1462145948235865,-3.6406355054922175,-5.342903334712841,-4.404767314730082,-5.375637591834149,-5.87355515522165,-4.895933094582418,-3.7573522844118443,-4.665699082424215,-4.165580644914917,-3.6265695594643166,-4.595719856230983,-5.133959761103279,-3.4374221600699406,-4.029250348822926,20
-4.566129516193137,-4.943415935091789,-5.269925301034526,-4.253105180157008,-5.132994728958828,-3.6412285826052813,-5.348216293311981,-4.4062636418737755,-5.402662169690494,-5.9078804296970615,-4.905716152097305,-3.7576721129086432,-4.7069123756501074,-4.170178718876468,-3.6239638967046117,-4.604544077317273,-5.123612035713142,-3.4357107776532665,-4.029616328738358,21
-4.605031436174409,-4.9389925554117236,-5.280229717199297,-4.260439220407755,-5.10880247676893,-3.6415754815427905,-5.347062120568904,-4.413241870970666,-5.451591351956608,-5.951941815805027,-4.925514010738636,-3.7593278876806497,-4.775980289515964,-4.177808433163067,-3.6208192722809622,-4.614021869875433,-5.101084496645529,-3.4341980807799617,-4.0328800010730905,22
-4.654584523402798,-4.9343258622931465,-5.298279464034688,-4.270090081632186,-5.0769410706179,-3.6417309796155117,-5.34122803726999,-4.424320250545596,-5.5155320012876885,-6.002793911469303,-4.9520594205442015,-3.762023555173144,-4.8650881625613724,-4.187224580941977,-3.6172125886431012,-4.6252444322924955,-5.070033065767803,-3.432895342282326,-4.038196564362096,23
-4.711165637411229,-4.928825009153856,-5.319797284687152,-4.280529690824361,-5.040713742869743,-3.641749854134211,-5.332501264201608,-4.438117029123411,-5.587590980338931,-6.057491314613643,-4.982085131551786,-3.7654630618313996,-4.966421333325924,-4.197181955380451,-3.6132207482407575,-4.639302962955491,-5.034113664947323,-3.4318138349926586,-4.044721217140349,24
