C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-4.948047686406574,-4.690252403399438,-5.100349676696503,-5.049298340175873,-3.627373029926288,-3.106240562223694,-4.534710150201285,-5.201916399241135,-4.760197189361461,-3.794078308378397,-5.110854395042301,-3.3666254439138514,-3.631698906513981,-3.314534964124051,-4.667093226851161,-4.13004056760102,-4.910919547989606,-3.466741276782606,10
-4.952701592523971,-4.6498025343867475,-5.079408938130807,-5.073681764281708,-3.629231917509828,-3.0982863366425253,-4.511555698353917,-5.228238741076135,-4.742559214836689,-3.787502510067896,-5.104964717017848,-3.3681102742372584,-3.6328038235745845,-3.3096554907221636,-4.6455572351019,-4.111949561611234,-4.843700125406577,-3.462796915427034,11
-4.956324389759923,-4.61452379135076,-5.060010614717617,-5.094800344245085,-3.6309724406429345,-3.0912062146512276,-4.490659061684383,-5.252827846416568,-4.727578268941268,-3.7815718664049154,-5.100313119353415,-3.3695088604581835,-3.633549218020617,-3.305375307646048,-4.6272209443942485,-4.095192631723341,-4.7846400745173066,-3.4590775428901974,12
-4.958916078114431,-4.584416174291474,-5.042154706456933,-5.112654080066003,-3.6325945993256075,-3.085000196249801,-4.47202024019268,-5.275683715262433,-4.715254351675199,-3.7762863773894555,-5.096899602049003,-3.3708212025766264,-3.6339350898520784,-3.3016944148957035,-4.612084354728204,-4.079769777937339,-4.733739395321797,-3.455583159172094,13
-4.960476657587495,-4.559479683208891,-5.0258412133487544,-5.1272429717444625,-3.634098393557849,-3.079668281438245,-4.45563923387881,-5.296806347613733,-4.7055874630384835,-3.771646043021518,-5.094724165104614,-3.3720473005925875,-3.6339614390689685,-3.298612812471132,-4.600147466103772,-4.065681000253232,-4.6909980878200495,-3.452313764272726,14
-4.961006128179113,-4.539714318103011,-5.011070135393078,-5.1385670192804644,-3.6354838233396567,-3.0752104702165597,-4.441516042742773,-5.316195743470466,-4.6985776030311195,-3.767650863301102,-5.093786808520244,-3.3731871545060668,-3.633628265671287,-3.296130500372333,-4.591410278520949,-4.052926298671016,-4.656416152012063,-3.4492693581920917,15
-4.960504489889287,-4.525120078973834,-4.997841472589905,-5.146626222674006,-3.6367508886710316,-3.0716267625847458,-4.429650666784569,-5.333851902832632,-4.694224771653107,-3.7643008382282077,-5.094087532295896,-3.374240764317064,-3.632935569659035,-3.2942474785993054,-4.585872791979735,-4.041505673190693,-4.629993587897836,-3.4464499409301927,16
-4.958971742718017,-4.515696965821359,-4.986155224939232,-5.15142058192509,-3.637899589551975,-3.0689171585428032,-4.420043106004197,-5.349774825700232,-4.692528968904448,-3.7615959678028346,-5.095626336431569,-3.37520813002558,-3.6318833510322115,-3.2929637471520503,-4.583535006480132,-4.031419123812263,-4.6117303954773705,-3.443855512487028,17
-4.956407886665302,-4.511444978645587,-4.976011392441058,-5.152950097033715,-3.6389299259824854,-3.067081658090731,-4.412693360401659,-5.363964512073264,-4.69349019478514,-3.7595362520249833,-5.098403220927263,-3.376089251631613,-3.630471609790817,-3.292279306030568,-4.5843969220221386,-4.022666650535726,-4.601626574750667,-3.441486072862598,18
-4.952812921731143,-4.512364117446518,-4.967409975095383,-5.151214767999882,-3.6398418979625644,-3.06612026122853,-4.407601429976953,-5.376420961951729,-4.697108449295184,-3.7581216908946535,-5.1024181857829785,-3.3768841291351652,-3.628700345934851,-3.2921941552348564,-4.588458538605756,-4.015248253361081,-4.599682125717724,-3.4393416220569026,19
-4.948186847915539,-4.518454382224152,-4.960350972902205,-5.14621459482359,-3.6406355054922104,-3.0660329679562004,-4.404767314730081,-5.387144175335628,-4.703383732434581,-3.7573522844118457,-5.107671230998715,-3.377592762536235,-3.626569559464314,-3.292708294764918,-4.595719856230982,-4.009163932288329,-4.605897048378541,-3.437422160069942,20
-4.94341593509179,-4.534360237224367,-4.960013338362597,-5.132994728958831,-3.6412285826052755,-3.067721522856531,-4.406263641873775,-5.394043621774132,-4.717949141460485,-3.7576721129086446,-5.118639781946359,-3.3782514476633474,-3.623963896704609,-3.2940113825084523,-4.604544077317272,-4.005621235286795,-4.629566118501331,-3.4357107776532674,21
-4.938992555411724,-4.56266194036154,-4.969274267310487,-5.108802476768933,-3.6415754815427848,-3.0716868951421823,-4.413241870970665,-5.395957895461223,-4.743934174849091,-3.7593278876806515,-5.137811297165847,-3.3788803488656822,-3.62081927228096,-3.2962087839586274,-4.614021869875433,-4.005291022339438,-4.675853100401763,-3.434198080779962,22
-4.934325862293147,-4.600263182138418,-4.9846811247451654,-5.076941070617903,-3.6417309796155073,-3.0773279217579623,-4.424320250545596,-5.394280683364124,-4.777583434428966,-3.762023555173145,-5.162200826409255,-3.3794552689242243,-3.6172125886430995,-3.2991740605236424,-4.625244432292495,-4.0073682614667065,-4.738561476901033,-3.4328953422823267,23
-4.928825009153857,-4.64406765305775,-5.002781275665916,-5.0407137428697455,-3.6417498541342086,-3.0840434396486773,-4.438117029123411,-5.390405672450051,-4.815141522028669,-3.7654630618314004,-5.188823419428659,-3.379952010619956,-3.613220748240756,-3.302780773611696,-4.639302962955491,-4.011047920689051,-4.811494730820333,-3.431813834992659,24
-4.921899149411657,-4.690979043622282,-5.020122085072025,-5.0034237258884655,-3.641686882409654,-3.0912322857591343,-4.453250455228955,-5.385726549686222,-4.852853039476768,-3.769350354100695,-5.214694125976134,-3.3803463767338613,-3.6089206535236626,-3.3069024846309873,-4.657288660251449,-4.015524968026921,-4.888456344980855,-3.4309648317432586,25
-4.91295743648435,-4.737901044334765,-5.033250917962779,-4.968374252038072,-3.6415968417526123,-3.0982932970341412,-4.468338777387072,-5.381637002039858,-4.8869625886018255,-3.7733893784263066,-5.236827995803757,-3.380614170046925,-3.6043892069415495,-3.3114127549897177,-4.680292722567404,-4.0199943715007675,-4.963249802203795,-3.4303596053664243,26
-4.901409023789734,-4.781737345697945,-5.038715139337466,-4.938868553682567,-3.641534509473849,-3.104625310418505,-4.4820002441226086,-5.379530716478177,-4.913714771232406,-3.7772840812535113,-5.252240078663604,-3.38073119334013,-3.59970331094415,-3.3161851460960836,-4.709406348290384,-4.02365109913104,-5.029678585310343,-3.430009428694457,27
-4.886663064745613,-4.819391638214569,-5.03306211419537,-4.918209863185958,-3.64155466288413,-3.1096271628570324,-4.492853103960406,-5.380801379968397,-4.929354189197071,-3.7807384090275864,-5.257945424307749,-3.38067324939446,-3.594939867981191,-3.321093219358286,-4.745720735807421,-4.025690118938188,-5.081546177121694,-3.4299255745596526,28
-4.8681287127697885,-4.847767612387387,-5.01283920753578,-4.909701412912252,-3.641712079294223,-3.1126976912945317,-4.49951560542531,-5.3868426794777395,-4.930125444324387,-3.7834563081938084,-5.250959082488271,-3.3804161409908984,-3.5901757805024075,-3.3260105361845245,-4.790327083505546,-4.0253063989426625,-5.11265606045904,-3.4301193157943133,29
-4.845215121280061,-4.863768958719146,-4.97459378435798,-4.916646435225453,-3.642061536014894,-3.113235732675809,-4.500605997042165,-5.399048301973419,-4.912273138442917,-3.7851417251974544,-5.228296102957243,-3.37993567091043,-3.5854879509575293,-3.3308106579829975,-4.8443165897717915,-4.021694907164912,-5.116811718143575,-3.4306019252307367,30
-4.821631973434868,-4.866282978049438,-4.916779963853535,-4.938203777230333,-3.644630341638912,-3.10694270192726,-4.4992251355755695,-5.429239049770552,-4.873662856082705,-3.7863358840900565,-5.188770316973561,-3.377341932371089,-3.5807417469947542,-3.3336361108340373,-4.9235450881672564,-4.016460564275236,-5.0927628315898925,-3.4279542201639517,31
-4.800052934111175,-4.857902491804814,-4.842119433722199,-4.970480557459462,-3.6504879726177606,-3.0920539245837486,-4.498528646683799,-5.482536730263383,-4.817003297864153,-3.787646483401438,-5.134818245864087,-3.3716100705729866,-3.5757826221744695,-3.333586086284881,-5.035689761972669,-4.011329840847038,-5.046240797176716,-3.4202649643021443,32
-4.77833312930458,-4.841089471368466,-4.75356091172555,-5.012202415418547,-3.6582524580502795,-3.0717691035027843,-4.497216932232205,-5.550286538037822,-4.745803739751363,-3.7888771812943127,-5.068888974482848,-3.364013466270218,-3.570657607814695,-3.3319691439440855,-5.1695738341545,-4.005680029755424,-4.981521670171428,-3.409807350097352,33
-4.754327685010681,-4.818305888123584,-4.654053115625167,-5.062094990613292,-3.666541827035309,-3.049287941541879,-4.493990394086141,-5.623833667679788,-4.663573457708438,-3.7898316359313946,-4.993431587683875,-3.355825500216882,-3.565413735233448,-3.330093843420209,-5.3140205276792205,-3.9988884238755005,-4.902881505841418,-3.3988545700016126,34
-4.725891727225073,-4.792013713453358,-4.546544763182623,-5.118883922549398,-3.6739741086716866,-3.0278101415585423,-4.487549434110958,-5.694523313775189,-4.573821727699479,-3.790313505475396,-4.910895170321196,-3.3483195531670744,-3.5600980357487435,-3.3292687443218054,-5.457853065513301,-3.990332316082373,-4.814596359454071,-3.389679816466963,35
-4.690880381943354,-4.764674918740978,-4.4339845721594955,-5.1812948507325745,-3.679167332058252,-3.0105354064102845,-4.476594454172012,-5.753700670909944,-4.480057825688588,-3.7901264480890315,-4.823728807248837,-3.3427690058748922,-3.554757540678602,-3.3308024062574324,-5.589894670623215,-3.979388999251149,-4.720942286276769,-3.3845562819454407,36
-4.6471487751611225,-4.738751475369635,-4.319321260317362,-5.248053414668524,-3.680739526293846,-3.0006634389546156,-4.459825856134655,-5.792710933669965,-4.385791027639867,-3.789074121935015,-4.734381583320828,-3.340447239094432,-3.5494392813410394,-3.336003388835648,-5.6989685659754334,-3.965435766256935,-4.626195341576901,-3.385757158889083,37
-4.592552032873974,-4.71670535472252,-4.2055035454177965,-5.317885253862952,-3.6773087204773063,-3.0013939420490465,-4.43594404186424,-5.802899296641165,-4.294530609517416,-3.7869601851760595,-4.645302583391197,-3.342627633579791,-3.544190289054074,-3.3461802516650074,-5.7738979745364265,-3.9478499099748365,-4.534631580621851,-3.395555639749927,38
-4.524945281077506,-4.70099852818282,-4.0954801452223775,-5.389516007821562,-3.6674929437074715,-3.0159266185510876,-4.40364941322612,-5.7756109544094585,-4.209785847285336,-3.7835882959748783,-4.558940892313971,-3.350583570085066,-3.5390575951357226,-3.362641554354067,-5.803506119272665,-3.9260087232799594,-4.450527058679006,-3.416224916980011,39
-4.442183645767317,-4.694092967133728,-3.992199777492681,-5.461671316050058,-3.6499102250831825,-3.047461171318248,-4.361642372085647,-5.702191101560761,-4.135066016907734,-3.778762112494186,-4.477745594943181,-3.3655884293643537,-3.5340882309040036,-3.3866958565113854,-5.776616223150621,-3.899289499047412,-4.378157831015749,-3.4500381830313707,40
-4.336348726437586,-4.697060389942431,-3.888644677286284,-5.539847410350927,-3.621602585300802,-3.0992753711054353,-4.30446535070346,-5.5677946371877844,-4.065573835361293,-3.7713472185615977,-4.395590504623365,-3.3902173721210476,-3.5290462815530037,-3.421051198360897,-5.6790212858042874,-3.8643369442771323,-4.311895574711847,-3.4998651551536883,41
