C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,time
-4.873984232846168,-5.116003323697002,-5.415550997002173,-4.53402026953541,-3.772825711808526,-3.213082593447459,-4.990191959190887,-6.061864455592896,-4.917283727524797,-3.486160626455274,-3.6617906154015962,-3.4547373194570805,-4.667093226851161,-4.694808450247305,-3.4168773448789627,10
-4.86619651874677,-5.103198076384988,-5.376545008109052,-4.59200833464945,-3.768326238221908,-3.2084415941898903,-4.955594063079283,-5.974012146969574,-4.866208199205811,-3.479812016121378,-3.664044136760856,-3.454429454458864,-4.6455572351019,-4.699043778045988,-3.4131078967185386,11
-4.858942723132837,-5.091383189422118,-5.339681512977032,-4.64444859897423,-3.7641846292981764,-3.2043981613608707,-4.923844294156503,-5.89383514661898,-4.821272908351016,-3.4741782730011237,-3.665818684030635,-3.4541611235681664,-4.6272209443942485,-4.703040936022439,-3.4095598168855985,12
-4.852222846004369,-5.080558662808394,-5.304960511606113,-4.691341062509749,-3.7604008850373307,-3.200952294960399,-4.894942652422546,-5.82133345454111,-4.782477854960414,-3.46925939709451,-3.6671142572109328,-3.4539323267849857,-4.612084354728204,-4.7067999241766545,-3.406233105380143,13
-4.8460368873613655,-5.070724496543815,-5.272382003996297,-4.732685725256007,-3.7569750054393722,-3.198103994988477,-4.868889137877413,-5.7565070707359665,-4.749823039034002,-3.465055388401538,-3.66793085630175,-3.4537430641093247,-4.600147466103772,-4.71032074250864,-3.4031277622021725,14
-4.840384847203828,-5.061880690628384,-5.241945990147583,-4.768482587213004,-3.753906990504299,-3.195853261445104,-4.845683750521104,-5.69935599520355,-4.723308460571783,-3.4615662469222066,-3.6682684813030875,-3.4535933355411816,-4.591410278520949,-4.713603391018392,-3.4002437873516866,15
-4.835266725531755,-5.054027245062104,-5.213652470059969,-4.798731648380742,-3.751196840232112,-3.19420009433028,-4.825326490353619,-5.649880227943859,-4.7029341195737535,-3.4587919726565164,-3.6681271322149436,-3.453483141080557,-4.585872791979735,-4.716647869705912,-3.397581180828686,16
-4.830682522345147,-5.047164159844974,-5.18750144373346,-4.823432908759219,-3.7488445546228113,-3.193144493644006,-4.807817357374957,-5.608079768956894,-4.688700016039919,-3.456732565604467,-3.6675068090373197,-3.4534124807274513,-4.583535006480132,-4.719454178571199,-3.3951399426331696,17
-4.826632237644004,-5.041291434976996,-5.16349291116805,-4.842586368348436,-3.7468501336763964,-3.1926864593862807,-4.79315635158512,-5.573954618242657,-4.680606149970273,-3.455388025766059,-3.6664075117702155,-3.4533813544818632,-4.5843969220221386,-4.722022317614254,-3.392920072765138,18
-4.823115871428326,-5.036409070458169,-5.1416268723637435,-4.856192027148393,-3.745213577392866,-3.1928259915571044,-4.781343472984106,-5.547504775801143,-4.6786525213648185,-3.4547583531412926,-3.664829240413631,-3.453389762343794,-4.588458538605756,-4.724352286835075,-3.3909215712245917,19
-4.820133423698113,-5.032517066288499,-5.121903327320538,-4.864249885159088,-3.743934885772222,-3.193563090156478,-4.772378721571914,-5.528730241632356,-4.682839130223556,-3.4548435477301664,-3.6627719949675654,-3.4534377043132434,-4.595719856230982,-4.7264440862336645,-3.3891444380115296,20
-4.8195012608591785,-5.03363335375548,-5.102806732834109,-4.856611525603585,-3.7433275721979316,-3.195658742559819,-4.767928223560878,-5.520307145739666,-4.701339283428854,-3.455967756205588,-3.660083811466351,-3.453525447658305,-4.604544077317272,-4.729394116348855,-3.387658284252573,21
-4.822228475359195,-5.041990116907724,-5.083495120457609,-4.827638939161357,-3.7435658107719223,-3.1995357195312493,-4.768917604624513,-5.523722227013829,-4.738693707026473,-3.458311060052505,-3.6566802654846144,-3.4536531408612525,-4.614021869875433,-4.733811488591111,-3.3865017827958424,22
-4.827104156260955,-5.054908734886893,-5.064978852327256,-4.784097737017036,-3.744440592571882,-3.2046866961538223,-4.774236113954599,-5.5371913987859385,-4.789453529761501,-3.46165736148898,-3.652662666332803,-3.453820605743357,-4.6252444322924955,-4.738965269267876,-3.385628526223592,23
-4.832917392627248,-5.069710586834654,-5.048268290579264,-4.732753530355244,-3.7457429086754988,-3.210604347510593,-4.782773000742916,-5.558930574387077,-4.848169880379026,-3.465790562733075,-3.648132323321362,-3.4540276641258894,-4.639302962955492,-4.744124524686594,-3.3849921071180753,24
-4.838457273520867,-5.083717051892675,-5.034373797349852,-4.68037193036061,-3.7472637501604598,-3.2167813486846164,-4.793417514181242,-5.587155667148331,-4.909393887624131,-3.470494566002853,-3.643190545760738,-3.4542741378301205,-4.65728866025145,-4.748558321154707,-3.3845461180615457,25
-4.842512888004605,-5.094249509202619,-5.024305734775236,-4.63371854821776,-3.748794108104453,-3.2227103747589454,-4.805058903461359,-5.620082590400793,-4.967676680241909,-3.4755532735163763,-3.6379386429613767,-3.454559848677322,-4.680292722567405,-4.751535724979662,-3.3842441516362567,26
-4.843873325141251,-5.098629337906154,-5.019074464991636,-4.5995589951113205,-3.750124973585167,-3.2278841008166363,-4.816586417775045,-5.655927257475546,-5.017569386977444,-3.4807505874917064,-3.6324779242337253,-3.454884618488764,-4.709406348290385,-4.752325802468902,-3.3840398004244627,27
-4.841327673993596,-5.094177917144942,-5.019690350135265,-4.584658882225918,-3.751047337680289,-3.231795201940742,-4.826889306314079,-5.692905581703676,-5.053623136575821,-3.485870410146907,-3.626909698888229,-3.455248269085718,-4.7457207358074225,-4.750197619929869,-3.383886657008415,28
-4.833665023624432,-5.078216626060653,-5.027163752342345,-4.595783820746179,-3.751352191467507,-3.2339363532143177,-4.834856818270244,-5.729233476416274,-5.0703890577821324,-3.49069664370004,-3.6213352762353344,-3.4556506222894545,-4.790327083505548,-4.744420243670009,-3.38373831397037,29
-4.819674463096551,-5.048066843794951,-5.04250503374909,-4.639699421856733,-3.750830526024509,-3.233800229720418,-4.839378202835316,-5.763126854944425,-5.062418279341462,-3.495013190369168,-3.615855965585487,-3.4560914999212455,-4.844316589771793,-4.734262739996765,-3.3835483638925785,30
-4.801742924492866,-5.004306037271519,-5.065591965034727,-4.73002710916456,-3.75110209352751,-3.226973565898927,-4.846416214181132,-5.8097423158435015,-5.027799039873228,-3.497224538790614,-3.610256156009358,-3.456008463359403,-4.923545088167258,-4.721071791541197,-3.378921750194868,31
