ID,rank,mean,variable,value,average,cluster
76945,524,1.6027697714579074e-4,5,1.5028418372595788e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,4,4.228165331412055e-7,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,3,9.969943942328526e-6,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,14,1.9409492529569625e-4,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,13,2.430883702190862e-4,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,17,1.699581777533962e-4,6.923433272594578e-5,4
603,6,5.925022271804319e-5,14,8.68627470261801e-5,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,15,1.1295593896232812e-4,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,7,3.63786136608671e-5,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,16,9.43327309166791e-5,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,6,0,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,1,4.354053765268019e-5,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,1,2.965463645533894e-5,6.923433272594578e-5,4
603,6,5.925022271804319e-5,10,1.3227405980594398e-4,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,2,2.703597300445462e-5,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,4,4.228165331412055e-7,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,18,9.173639094420688e-5,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,10,9.937928486295968e-5,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,6,1.8458991947440008e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,1,3.742132695554675e-5,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,15,1.2546688156891508e-4,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,14,1.0372020736549269e-4,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,9,1.9624694079638645e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,6,2.2968593777637376e-4,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,5,0,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,2,2.29932106860315e-5,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,4,1.9449560524495457e-5,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,13,3.1258238346458885e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,7,1.9858736361445944e-4,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,16,5.0818979618412987e-5,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,13,1.1310361669915816e-4,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,8,1.1500225745172036e-4,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,9,1.7335146437014135e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,9,2.2731937308914765e-4,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,6,8.178034407093673e-5,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,17,1.282981471977915e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,11,2.455082775505885e-4,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,3,3.8882781375081254e-5,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,17,2.577023129059088e-4,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,2,5.1292546914993345e-5,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,9,2.105566135627896e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,8,1.9300147373263257e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,7,1.4700946616377802e-4,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,1,9.64952456086426e-6,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,5,8.821559402450536e-5,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,4,0,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,2,2.526726449014451e-7,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,14,9.154537489821136e-5,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,5,2.4680817164750808e-5,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,16,3.71613788459645e-5,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,10,3.159751621283846e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,3,1.030227540707281e-5,6.923433272594578e-5,4
603,6,5.925022271804319e-5,12,4.1933159122746744e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,16,8.639226535130208e-5,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,3,2.658651717954274e-6,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,4,4.228165331412055e-7,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,10,8.409016411481203e-5,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,1,1.6710152288325912e-5,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,15,9.57980748161517e-5,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,11,1.1416831054337386e-4,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,18,1.716276984423211e-4,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,11,1.1625675524843556e-4,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,12,1.2493189476570063e-4,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,2,8.843542571550576e-6,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,15,6.648672356643364e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,1,3.389101309181593e-5,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,12,2.727101313982771e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,9,2.8353594467144585e-4,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,17,1.762256159785757e-4,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,11,3.782405410278443e-5,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,10,2.666329997139081e-4,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,8,3.516619955873208e-4,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,16,4.7960412014877255e-5,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,7,1.4202609442941265e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,5,2.1870625111338588e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,8,2.646116757106714e-4,6.923433272594578e-5,4
603,6,5.925022271804319e-5,1,1.0120233076028368e-5,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,14,2.495840655792668e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,5,0,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,3,8.64061808335139e-6,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,4,1.1838862927953754e-5,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,9,2.708616630783459e-4,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,15,1.830172175592152e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,12,2.3569327368992135e-4,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,18,1.1315835036799146e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,2,5.1292546914993345e-5,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,6,0,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,17,1.5152453591463306e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,16,1.937473597951995e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,13,1.5755727699385218e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,8,3.1146444726507595e-4,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,12,8.213115304041432e-5,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,7,1.036541320747994e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,3,2.8912837432752727e-5,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,11,2.048996305077218e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,2,3.2847443837187854e-5,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,15,1.730084634739456e-4,6.923433272594578e-5,4
603,6,5.925022271804319e-5,3,4.984971971164263e-6,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,6,0,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,1,4.707085151641102e-7,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,2,0,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,3,4.087677016354696e-5,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,4,4.228165331412055e-7,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,12,2.458150707195499e-4,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,14,2.22658955315087e-4,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,8,2.0977263627767508e-4,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,15,7.077618960297774e-5,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,7,2.3920184324953712e-5,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,18,4.763235683641511e-5,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,4,4.228165331412055e-7,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,14,4.6358015933109594e-5,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,13,2.591254501988176e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,3,2.9577500362241296e-5,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,13,2.090447442972003e-4,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,5,0,6.923433272594578e-5,4
603,6,5.925022271804319e-5,13,1.3533044684650516e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,1,3.671526418280059e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,15,3.932010533498763e-5,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,13,2.2930210848212413e-4,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,2,6.822161412339016e-6,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,12,1.2001559335130964e-4,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,9,2.8537575974141196e-4,6.923433272594578e-5,4
603,6,5.925022271804319e-5,2,1.2380959600170807e-5,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,18,5.1160679565038456e-5,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,10,1.4362507369472028e-4,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,8,2.161616505805484e-4,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,14,1.5780455928745388e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,5,8.210648086491358e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,18,7.207859288473398e-5,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,11,2.0629192697776296e-4,6.923433272594578e-5,4
603,6,5.925022271804319e-5,16,9.528558678452436e-6,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,12,7.143096760909273e-5,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,12,4.49696982316353e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,8,1.49609418258951e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,4,4.228165331412055e-7,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,17,1.8028101718310356e-4,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,18,6.124160164681943e-5,6.923433272594578e-5,4
603,6,5.925022271804319e-5,5,1.3440048951101924e-5,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,3,3.323314647442843e-7,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,18,3.2510973713743647e-5,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,1,3.059605348566716e-6,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,12,2.7242093719743055e-4,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,2,5.558798187831791e-6,6.923433272594578e-5,4
603,6,5.925022271804319e-5,4,0,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,8,2.3053693276201348e-4,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,11,1.5732950111464934e-4,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,11,1.8749592463220748e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,5,5.864748633208113e-5,6.923433272594578e-5,4
46211,329,7.84937146465233e-5,4,0,6.923433272594578e-5,4
603,6,5.925022271804319e-5,17,5.124552431176155e-5,6.923433272594578e-5,4
603,6,5.925022271804319e-5,15,6.040998001466282e-5,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,16,8.512179086084175e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,10,2.7311929336463743e-4,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,18,6.376183216726468e-5,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,7,2.6162701605418123e-5,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,16,1.873949873428979e-5,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,10,2.1960737074612068e-4,6.923433272594578e-5,4
