C1,C2,C3,C4,C5,time
-4.974219237927436,-4.895071301375919,-4.087401751938954,-4.027595593268984,-3.490293815902675,10
-4.973855025691648,-4.877481350239072,-4.07220666085639,-4.02622734024533,-3.491838470135348,11
-4.973121219710367,-4.8614826946692,-4.058324847419756,-4.025003222397752,-3.493250306375372,12
-4.972017819983593,-4.847075334666303,-4.045756311629054,-4.023923239726248,-3.494529324622745,13
-4.9705448265113255,-4.8342592702303815,-4.0345010534842825,-4.022987392230819,-3.495675524877469,14
-4.968702239293565,-4.823034501361435,-4.024559072985442,-4.0221956799114675,-3.4966889071395433,15
-4.966490058330311,-4.813401028059462,-4.015930370132533,-4.0215481027681905,-3.497569471408968,16
-4.963908283621561,-4.805358850324466,-4.0086149449255535,-4.02104466080099,-3.498317217685743,17
-4.960956915167318,-4.798907968156444,-4.002612797364507,-4.020685354009864,-3.4989321459698672,18
-4.957635952967579,-4.794048381555397,-3.9979239274493894,-4.020470182394814,-3.4994142562613417,19
-4.953945397022347,-4.790780090521325,-3.9945483351802036,-4.0203991459558415,-3.4997635485601664,20
-4.9480744393000755,-4.792569036159781,-3.993010193949493,-4.020677774681054,-3.4998472847884217,21
-4.939017075338799,-4.801340741307183,-3.993600711197559,-4.021420251897179,-3.4995917215694847,22
-4.927980510492879,-4.814784578559831,-3.9959704379960392,-4.022489557612144,-3.499085350955304,23
-4.916171950116677,-4.8305899205140195,-3.9997699254165724,-4.023748671833877,-3.4984166649978237,24
-4.9047985995645575,-4.846446139766049,-4.004649724530794,-4.025060574570302,-3.4976741557489897,25
-4.89506766419088,-4.860042608912216,-4.010260386410342,-4.026288245829348,-3.4969463152607503,26
-4.888186349350007,-4.86906870054882,-4.016252462126853,-4.027294665618942,-3.4963216355850517,27
-4.885361860396301,-4.871213787272159,-4.022276502751966,-4.027942813947008,-3.495888608773839,28
-4.887801402684126,-4.8641672416785315,-4.027983059357318,-4.028095670821476,-3.495735726879059,29
-4.89671218156784,-4.845618436364234,-4.033022683014544,-4.027616216250272,-3.495951481952659,30
-4.9162047812293,-4.816922927572328,-4.031196760590416,-4.026783443684671,-3.4936841373247103,31
-4.947310942883533,-4.781230008300946,-4.0194240096032905,-4.0258944442930895,-3.4872576253099012,32
-4.9866196074346565,-4.738919656278992,-4.002030977102192,-4.024839344659161,-3.4785239414371025,33
-5.030719715786787,-4.6903718492353725,-3.98334421013614,-4.02350827136652,-3.4693350812351853,34
-5.076200208844041,-4.635966564898991,-3.967690255754158,-4.0217913509988,-3.4615430402330185,35
-5.119650027510536,-4.576083780998754,-3.95939566100527,-4.019578710139635,-3.456999813959473,36
-5.157658112690394,-4.511103475263565,-3.9627869729384955,-4.01676047537266,-3.45755739794342,37
-5.186813405287729,-4.4414056254223295,-3.9821907386028585,-4.013226773281508,-3.465067787713729,38
-5.203704846206657,-4.36737020920395,-4.021933505047381,-4.008867730449812,-3.48138297879927,39
-5.204921376351299,-4.289377204337336,-4.086341819321085,-4.00357347346121,-3.5083549667289144,40
-5.188670384690649,-4.2001696069842165,-4.18422814408628,-3.996264808577882,-3.5498503452223953,41
-5.157493370825433,-4.09532169736743,-4.316001502400822,-3.9864561265254213,-3.6060966339459197,42
-5.114480441607368,-3.9794603793075405,-4.473383281907047,-3.974927930582576,-3.673487217348073,43
-5.06272170388817,-3.857212556625118,-4.648094870247287,-3.962460724028094,-3.748415479877437,44
-5.005307264519553,-3.733205133140724,-4.831857655063881,-3.949835010140722,-3.827274805982595,45
