C1,C2,C3,C4,time
-4.974219237927436,-4.895071301375919,-4.087401751938954,-3.5913703878825003,10
-4.973855025691648,-4.877481350239072,-4.07220666085639,-3.592367069462992,11
-4.973121219710367,-4.8614826946692,-4.058324847419756,-3.593283033151881,12
-4.972017819983593,-4.847075334666303,-4.045756311629054,-3.594118278949165,13
-4.9705448265113255,-4.8342592702303815,-4.0345010534842825,-3.594872806854846,14
-4.968702239293565,-4.823034501361435,-4.024559072985442,-3.5955466168689254,15
-4.966490058330311,-4.813401028059462,-4.015930370132533,-3.596139708991401,16
-4.963908283621561,-4.805358850324466,-4.0086149449255535,-3.5966520832222755,17
-4.960956915167318,-4.798907968156444,-4.002612797364507,-3.597083739561548,18
-4.957635952967579,-4.794048381555397,-3.9979239274493894,-3.5974346780092183,19
-4.953945397022347,-4.790780090521325,-3.9945483351802036,-3.597704898565288,20
-4.9480744393000755,-4.792569036159781,-3.993010193949493,-3.597825297738516,21
-4.939017075338799,-4.801340741307183,-3.993600711197559,-3.5977574847004328,22
-4.927980510492879,-4.814784578559831,-3.9959704379960392,-3.597547528445201,23
-4.916171950116677,-4.8305899205140195,-3.9997699254165724,-3.5972414979669796,24
-4.9047985995645575,-4.846446139766049,-4.004649724530794,-3.5968854622599284,25
-4.89506766419088,-4.860042608912216,-4.010260386410342,-3.59652549031821,26
-4.888186349350007,-4.86906870054882,-4.016252462126853,-3.596207651135983,27
-4.885361860396301,-4.871213787272159,-4.022276502751966,-3.5959780137074073,28
-4.887801402684126,-4.8641672416785315,-4.027983059357318,-3.595882647026645,29
-4.89671218156784,-4.845618436364234,-4.033022683014544,-3.5959676200878565,30
-4.9162047812293,-4.816922927572328,-4.031196760590416,-3.5939701454518347,31
-4.947310942883533,-4.781230008300946,-4.0194240096032905,-3.588585343732484,32
-4.9866196074346565,-4.738919656278992,-4.002030977102192,-3.581296146003631,33
-5.030719715786787,-4.6903718492353725,-3.98334421013614,-3.5735854833391025,34
-5.076200208844041,-4.635966564898991,-3.967690255754158,-3.5669362868127217,35
-5.119650027510536,-4.576083780998754,-3.95939566100527,-3.562831487498317,36
-5.157658112690394,-4.511103475263565,-3.9627869729384955,-3.562754016469714,37
-5.186813405287729,-4.4414056254223295,-3.9821907386028585,-3.5681868048007375,38
-5.203704846206657,-4.36737020920395,-4.021933505047381,-3.5806127835652144,39
-5.204921376351299,-4.289377204337336,-4.086341819321085,-3.6015148838369706,40
-5.188670384690649,-4.2001696069842165,-4.18422814408628,-3.633829303675408,41
-5.157493370825433,-4.09532169736743,-4.316001502400822,-3.6776494097777084,42
-5.114480441607368,-3.9794603793075405,-4.473383281907047,-3.7301938861743666,43
-5.06272170388817,-3.857212556625118,-4.648094870247287,-3.7886814168958782,44
-5.005307264519553,-3.733205133140724,-4.831857655063881,-3.850330685972738,45
-4.945327230353234,-3.6120650126749254,-5.016393023999165,-3.912360377435443,46
-4.88587170824093,-3.4984190990482866,-5.193422364695476,-3.971989175314487,47
-4.830030805034353,-3.3968942960813733,-5.35466706479515,-4.026435763640366,48
-4.780894627585223,-3.3121175075947527,-5.491848511940519,-4.0729188264435745,49
-4.741553282745253,-3.2487156374089885,-5.596688093773924,-4.108657047754609,50
