C1,C2,C3,time
-4.9030733039339935,-4.105675656543193,-3.6192264441870083,10
-4.887483493468855,-4.1004321688413965,-3.6199421744072477,11
-4.873257014664132,-4.095559191589095,-3.6206198415406288,12
-4.860393867519825,-4.091056724786288,-3.621259445587151,13
-4.848894052035937,-4.0869247684329775,-3.6218609865468148,14
-4.838757568212468,-4.0831633225291615,-3.6224244644196197,15
-4.829984416049418,-4.079772387074842,-3.622949879205566,16
-4.822574595546789,-4.076751962070016,-3.623437230904654,17
-4.81652810670458,-4.074102047514686,-3.623886519516882,18
-4.811844949522794,-4.071822643408852,-3.624297745042251,19
-4.808525124001431,-4.069913749752512,-3.624670907480761,20
-4.8094144883597485,-4.06778931540417,-3.6250671125056906,21
-4.816094074941781,-4.065123756396324,-3.625520307713306,22
-4.826666644934688,-4.062307773489975,-3.6259897559880883,23
-4.839234959525629,-4.05973206744612,-3.626434720214518,24
-4.851901779901764,-4.0577873390257615,-3.626814463277076,25
-4.862769867250256,-4.056864288989895,-3.627088248060243,26
-4.869941982758263,-4.0573536180995236,-3.627215337448502,27
-4.871520887612946,-4.059646027115644,-3.627154994326331,28
-4.8656093430014655,-4.064132216799255,-3.6268664815782126,29
-4.850310110110982,-4.071202887911357,-3.6263090620886276,30
-4.827297681857908,-4.07634680795601,-3.6230309392651416,31
-4.799469839001712,-4.076652565498134,-3.615712249787313,32
-4.7667642744941405,-4.074910592890025,-3.606010156447607,33
-4.729118681286944,-4.073911322483977,-3.5955818220384903,34
-4.686470752331866,-4.076445186632284,-3.5860844093524276,35
-4.638758180580654,-4.085302617687242,-3.579175081181887,36
-4.585918658985056,-4.103274048001144,-3.576511000319334,37
-4.5278898804968195,-4.133149909926284,-3.579749329557234,38
-4.464609538067689,-4.177720635814957,-3.5905472316880536,39
-4.396015324649415,-4.239776658019458,-3.610561869504259,40
-4.315506528175224,-4.328208346226465,-3.6427932612886176,41
-4.219480701102506,-4.4450610130076855,-3.687189544672702,42
-4.112372933169247,-4.582857505042943,-3.7408300614721863,43
-3.998618314113438,-4.734120669012065,-3.8007941535027445,44
-3.882651933673063,-4.891373351594878,-3.864161162580049,45
-3.76890888158611,-5.04713839947121,-3.9280104305197754,46
-3.6618242475905656,-5.193938659320889,-3.9894212991375975,47
-3.5658331214244168,-5.324296977823739,-4.045473110249188,48
-3.4853705928256535,-5.430736201659589,-4.093245205670221,49
-3.4248717515322613,-5.5057791775082645,-4.12981692721637,50
-3.385406646646621,-5.5517647614480845,-4.15574689649426,51
-3.362970397571402,-5.577746402891625,-4.1743742895505696,52
-3.3543856994950256,-5.586318838520106,-4.186949279861071,53
-3.3564752476059097,-5.580076805014745,-4.194722040901525,54
-3.3660617370924757,-5.561615039056758,-4.1989427461477025,55
-3.379967863143144,-5.533528277327365,-4.200861569075369,56
-3.395016320946333,-5.498411256507783,-4.201728683160289,57
-3.408029805690464,-5.4588587132792314,-4.202794261878232,58
-3.415831012563957,-5.4174653843229255,-4.205308478704962,59
-3.4152426367552304,-5.376826006320086,-4.210521507116247,60
-3.408160541600017,-5.331406249735649,-4.2179884094306,61
-3.3989329672746202,-5.275440649010351,-4.2261655218501,62
-3.3880611742283184,-5.2111772367891165,-4.234654928675873,63
-3.376046422910394,-5.1408640457168655,-4.243058714209039,64
-3.363389973770123,-5.066749108438519,-4.250978962750718,65
-3.350593087256786,-4.991080457598995,-4.258017758602032,66
-3.3381570238196625,-4.9161061258432195,-4.263777186064101,67
-3.3265830439080313,-4.8440741458161085,-4.26785932943805,68
-3.316372407971173,-4.777232550162588,-4.269866273024996,69
-3.3080263764583666,-4.717829371527575,-4.269400101126063,70
-3.301234986627924,-4.663138712146476,-4.265545734722122,71
-3.295306211305581,-4.609314891259039,-4.258207449897676,72
-3.2901682142917514,-4.556926267016706,-4.248216363609302,73
-3.285749159386852,-4.506541197570923,-4.236403592813575,74
-3.2819772103912945,-4.458728041073124,-4.223600254467067,75
-3.2787805311054945,-4.414055155674755,-4.210637465526354,76
-3.276087285329867,-4.3730908995272575,-4.19834634294801,77
-3.273825636864825,-4.336403630782068,-4.1875580036886095,78
-3.2719237495107834,-4.304561707590634,-4.179103564704727,79
-3.2703097870681574,-4.278133488104393,-4.173814142952937,80
-3.2692610425795166,-4.258048775857874,-4.171573024344028,81
-3.269006064534749,-4.2442347199169115,-4.171453468651252,82
-3.269399899905244,-4.235755696729909,-4.173071553624873,83
-3.270297595662392,-4.2316760827452695,-4.176043357015159,84
-3.2715541987775816,-4.231060254411396,-4.179984956572373,85
-3.273024756222204,-4.232972588176692,-4.18451243004678,86
-3.274564314967649,-4.236477460489562,-4.189241855188649,87
-3.276027921985306,-4.2406392477984065,-4.193789309748243,88
-3.2772706242465657,-4.244522326551629,-4.197770871475828,89
-3.2781474687228167,-4.247191073197635,-4.200802618121669,90
-3.27871300334455,-4.24953480824174,-4.2027709531065245,91
-3.279147854176893,-4.253017874907074,-4.204010908812021,92
-3.2794961853931897,-4.257567183718756,-4.204811506429728,93
-3.279802161166788,-4.263109645201907,-4.205461767151216,94
-3.2801099456710316,-4.269572169881645,-4.206250712168053,95
-3.2804637030792674,-4.276881668283091,-4.207467362671811,96
-3.2809075975648407,-4.284965050931363,-4.2094007398540585,97
-3.2814857933010972,-4.293749228351581,-4.212339864906365,98
-3.2822424544613815,-4.3031611110688655,-4.2165737590203,99
-3.2832217452190404,-4.313127609608336,-4.222391443387435,100
-3.2842869686368363,-4.325449184322626,-4.229109267221612,101
-3.2853163820883884,-4.341201887455671,-4.236047698850376,102
-3.286376581213331,-4.359226017369535,-4.2435019381358465,103
-3.2875341616512967,-4.378361872426283,-4.251767184940149,104
-3.2888557190419174,-4.397449750987981,-4.261138639125399,105
-3.290407849024826,-4.4153299514166955,-4.271911500553721,106
-3.2922571472396553,-4.430842772074491,-4.284380969087236,107
-3.2944702093260374,-4.442828511323434,-4.298842244588064,108
-3.297113630923606,-4.450127467525589,-4.315590526918329,109
-3.3002540076719935,-4.451579939043022,-4.334921015940148,110
-3.3035964324300813,-4.447703342601376,-4.3584012207890765,111
-3.3069080057524443,-4.439987785487574,-4.386595846683405,112
-3.3103483348222533,-4.42873260190559,-4.418295887609363,113
-3.3140770268226816,-4.414237126059406,-4.452292337553188,114
-3.3182536889369,-4.3968006921530005,-4.487376190501105,115
-3.323037928348081,-4.376722634390349,-4.5223384404393485,116
-3.3285893522393946,-4.354302286975432,-4.555970081354148,117
-3.3350675677940145,-4.3298389841122304,-4.587062107231737,118
-3.342632182195111,-4.303632060004721,-4.6144055120583465,119
-3.3514428026258565,-4.275980848856881,-4.636791289820207,120
-3.3612513118663125,-4.2426799260053984,-4.6531393232661005,121
-3.3717543484561863,-4.201082523759122,-4.664103331270741,122
-3.383028653218119,-4.15382596178027,-4.671075062009255,123
-3.3951509669747533,-4.1035475597310676,-4.675446263656772,124
-3.4081980305487294,-4.05288463727373,-4.678608684388418,125
-3.4222465847626893,-4.004474514070482,-4.681954072379323,126
-3.437373370439273,-3.960954509783545,-4.686874175804614,127
-3.4536551284011225,-3.9249619440751378,-4.694760742839418,128
-3.471168599470881,-3.8991341366074823,-4.707005521658863,129
-3.4899905244711875,-3.8861084070427996,-4.72500026043808,130
-3.510471378712788,-3.886740810140506,-4.748734653518976,131
-3.532726287626319,-3.8987719337098268,-4.776759681132107,132
-3.556478967214262,-3.920165896987693,-4.808309020285575,133
-3.581453133479099,-3.9488868192110393,-4.842616347987483,134
-3.607372502423311,-3.982898819616798,-4.878915341245927,135
-3.6339607900493793,-4.020166017441902,-4.91643967706901,136
-3.6609417123597843,-4.058652531923284,-4.954423032464831,137
-3.6880389853570077,-4.096322482297876,-4.992099084441491,138
-3.714976325043531,-4.1311399878026105,-5.028701510007089,139
-3.7414774474218353,-4.161069167674423,-5.063463986169726,140
-3.767657363718525,-4.188858245107922,-5.097157872584761,141
-3.793866485797657,-4.218145294521074,-5.131006407718993,142
-3.8201816306178955,-4.248229211985842,-5.164921086797681,143
-3.846679615137904,-4.278408893574187,-5.1988134050460895,144
-3.8734372563163455,-4.3079832353580745,-5.232594857689476,145
-3.9005313711118843,-4.336251133409467,-5.266176939953104,146
-3.928038776483182,-4.362511483800329,-5.299471147062233,147
-3.9560362893889036,-4.386063182602622,-5.332388974242124,148
-3.984600726787711,-4.406205125888312,-5.364841916718039,149
-4.013808905638269,-4.422236209729359,-5.396741469715239,150
-4.044419875464503,-4.435631939701595,-5.429838309444406,151
-4.076775668415163,-4.447939111865109,-5.465196816529725,152
-4.110327575386151,-4.458563558018259,-5.501699042816704,153
-4.144526887273375,-4.466911109959403,-5.538227040150856,154
-4.178824894972733,-4.4723875994868925,-5.573662860377689,155
-4.212672889380132,-4.474398858399089,-5.606888555342717,156
-4.245522161391472,-4.472350718494345,-5.636786176891449,157
-4.276824001902658,-4.465649011571019,-5.662237776869395,158
-4.306029701809593,-4.453699569427467,-5.682125407122066,159
-4.332590552008181,-4.435908223862047,-5.695331119494973,160
-4.356562674034127,-4.405852997033647,-5.698530569087584,161
-4.378546278181887,-4.360582297906322,-5.691036251263515,162
-4.398808788485487,-4.304707538486168,-5.675685478264509,163
-4.417617628978955,-4.242840130779283,-5.655315562332301,164
-4.4352402236963195,-4.179591486791757,-5.632763815708627,165
-4.451943996671606,-4.119573018529691,-5.610867550635225,166
-4.467996371938841,-4.06739613799918,-5.592464079353835,167
-4.483664773532051,-4.027672257206322,-5.580390714106194,168
-4.499216625485266,-4.005012788157212,-5.577484767134041,169
-4.514919351832511,-4.004029142857945,-5.58658355067911,170
-4.530550099212109,-4.0208784779701094,-5.60532263787329,171
-4.5457077315730245,-4.048643675484558,-5.629446060353975,172
-4.560392248915257,-4.087324735401295,-5.658953818121163,173
-4.574603651238799,-4.136921657720318,-5.693845911174856,174
-4.588341938543645,-4.197434442441627,-5.734122339515051,175
-4.6016071108297885,-4.268863089565223,-5.779783103141749,176
-4.6143991680972265,-4.351207599091102,-5.8308282020549465,177
-4.626718110345953,-4.444467971019271,-5.887257636254649,178
-4.638563937575962,-4.548644205349725,-5.9490714057408525,179
-4.649936649787249,-4.663736302082462,-6.016269510513554,180
